gen,nevals,avg,std,min,max
0,50,[0.86992 0.64448],[0.0258711  0.24534435],[0.833 0.326],[0.898 0.904]
1,4,[0.857 0.776],[0.02064946 0.1866119 ],[0.842 0.404],[0.898 0.882]
2,5,[0.855  0.7684],[0.02202726 0.18107855],[0.835 0.41 ],[0.898 0.88 ]
3,5,[0.8454 0.86  ],[0.00344093 0.02269802],[0.839 0.82 ],[0.849 0.882]
4,4,[0.8454 0.8588],[0.00233238 0.0136587 ],[0.841 0.836],[0.847 0.87 ]
5,4,[0.8476 0.8752],[0.0008 0.0064],[0.847 0.87 ],[0.849 0.884]
6,1,[0.8474 0.8756],[0.0004899  0.00685857],[0.847 0.87 ],[0.848 0.884]
7,4,[0.8572 0.7844],[0.02042939 0.18988586],[0.845 0.406],[0.898 0.904]
8,5,[0.8464 0.882 ],[0.00372022 0.03204996],[0.839 0.82 ],[0.849 0.904]
9,5,[0.8466 0.886 ],[0.00195959 0.02928481],[0.843 0.844],[0.848 0.924]
10,4,[0.8448 0.8828],[0.00444522 0.04165765],[0.836 0.808],[0.848 0.914]
11,5,[0.8454 0.8676],[0.00215407 0.01803996],[0.842 0.842],[0.848 0.896]
12,5,[0.8422 0.852 ],[0.00820731 0.0494611 ],[0.826 0.764],[0.848 0.916]
13,5,[0.8438 0.8564],[0.00890842 0.04651709],[0.826 0.764],[0.849 0.89 ]
14,2,[0.8304 0.7904],[0.0088 0.0528],[0.826 0.764],[0.848 0.896]
15,3,[0.8304 0.7904],[0.0088 0.0528],[0.826 0.764],[0.848 0.896]
16,5,[0.8348 0.8176],[0.01077775 0.06565851],[0.826 0.764],[0.848 0.9  ]
17,4,[0.8392 0.8432],[0.01077775 0.06530666],[0.826 0.764],[0.848 0.912]
18,4,[0.8484 0.7392],[0.02639394 0.17370596],[0.826 0.41 ],[0.898 0.912]
19,3,[0.8522 0.7464],[0.0241694  0.20380932],[0.826 0.35 ],[0.898 0.912]
20,4,[0.8464 0.8664],[0.00174356 0.01399428],[0.844 0.846],[0.849 0.888]
21,2,[0.8464 0.8688],[0.00215407 0.01800444],[0.844 0.846],[0.849 0.892]
22,4,[0.842  0.8476],[0.00632456 0.03373781],[0.833 0.802],[0.849 0.888]
23,5,[0.8566 0.764 ],[0.02033322 0.19968776],[0.842 0.366],[0.897 0.884]
24,4,[0.8646 0.6604],[0.0278539  0.24243234],[0.832 0.348],[0.898 0.884]
25,4,[0.8676 0.6728],[0.02482418 0.24653957],[0.847 0.36 ],[0.898 0.878]
