gen,nevals,avg,std,min,max
0,50,[0.74696 0.21438],[0.03024034 0.21434037],[0.667 0.   ],[0.81 0.72]
1,5,[0.763 0.179],[0.02416609 0.17537617],[0.727 0.016],[0.797 0.516]
2,5,[0.762  0.3136],[0.02472246 0.25876213],[0.723 0.02 ],[0.787 0.658]
3,5,[0.7748 0.302 ],[0.01077775 0.18905978],[0.76  0.102],[0.787 0.54 ]
4,4,[0.7688 0.2862],[0.01391977 0.15714121],[0.747 0.143],[0.787 0.492]
5,4,[0.77   0.2332],[0.02733496 0.1690129 ],[0.717 0.   ],[0.793 0.44 ]
6,4,[0.7528 0.1692],[0.02931484 0.20087947],[0.717 0.   ],[0.78  0.548]
7,5,[0.7414 0.0494],[0.03005062 0.06755028],[0.717 0.   ],[0.783 0.171]
8,4,[0.7694 0.15  ],[0.02714111 0.15464023],[0.717 0.   ],[0.793 0.448]
9,3,[0.7762 0.2164],[0.02984225 0.17188438],[0.717 0.108],[0.797 0.556]
10,3,[0.7734 0.2348],[0.03177798 0.16345323],[0.713 0.129],[0.797 0.558]
11,5,[0.7866 0.2298],[0.0088227  0.19080818],[0.773 0.108],[0.8  0.61]
12,4,[0.768 0.206],[0.00997998 0.2061252 ],[0.75  0.037],[0.78 0.61]
13,5,[0.774 0.315],[0.00394968 0.24329899],[0.77 0.09],[0.78  0.614]
14,4,[0.7688 0.4594],[0.01175415 0.15509945],[0.75  0.165],[0.787 0.614]
15,4,[0.7662 0.4208],[0.02581782 0.21670478],[0.717 0.   ],[0.787 0.61 ]
16,4,[0.7402 0.1498],[0.02886105 0.21442985],[0.717 0.   ],[0.783 0.55 ]
17,4,[0.7536 0.241 ],[0.03056534 0.23167564],[0.717 0.   ],[0.787 0.55 ]
18,3,[0.7602 0.3554],[0.02247132 0.24169535],[0.717 0.   ],[0.783 0.55 ]
19,5,[0.7514 0.2166],[0.02910395 0.21218445],[0.717 0.   ],[0.787 0.472]
20,4,[0.7506 0.3202],[0.02246419 0.24606861],[0.717 0.   ],[0.787 0.566]
21,4,[0.7494 0.1444],[0.02829558 0.18308097],[0.717 0.   ],[0.783 0.48 ]
22,5,[0.717 0.   ],[0. 0.],[0.717 0.   ],[0.717 0.   ]
23,3,[0.725  0.1108],[0.016  0.2216],[0.717 0.   ],[0.757 0.554]
24,5,[0.717 0.   ],[0. 0.],[0.717 0.   ],[0.717 0.   ]
25,3,[0.717 0.   ],[0. 0.],[0.717 0.   ],[0.717 0.   ]
