accuracy,recall,precision,f1,mcc,spd,aod,eod
0.837,0.743,0.799,0.763,0.538,0.087,0.045,0.063
0.834,0.756,0.786,0.769,0.541,0.093,0.029,0.018
0.821,0.73,0.769,0.745,0.498,0.08,0.033,0.038
0.763,0.651,0.678,0.661,0.328,0.043,0.053,0.147
0.839,0.76,0.794,0.774,0.553,0.097,0.046,0.054
0.817,0.682,0.792,0.708,0.46,0.062,0.031,0.045
0.825,0.713,0.787,0.737,0.495,0.072,0.032,0.041
0.837,0.741,0.799,0.763,0.538,0.083,0.04,0.055
0.826,0.72,0.786,0.742,0.502,0.084,0.053,0.079
0.838,0.747,0.798,0.766,0.543,0.084,0.036,0.045
0.841,0.752,0.802,0.771,0.552,0.084,0.033,0.04
0.835,0.736,0.797,0.758,0.53,0.089,0.054,0.08
0.835,0.742,0.794,0.762,0.534,0.09,0.047,0.061
0.838,0.749,0.798,0.768,0.545,0.087,0.041,0.054
0.838,0.748,0.798,0.767,0.544,0.086,0.038,0.049
0.835,0.735,0.799,0.757,0.53,0.084,0.047,0.068
0.838,0.747,0.799,0.767,0.544,0.081,0.03,0.036
0.841,0.753,0.801,0.771,0.552,0.087,0.039,0.05
0.838,0.747,0.798,0.766,0.543,0.084,0.036,0.045
0.783,0.711,0.712,0.712,0.424,0.089,0.059,0.083
0.826,0.72,0.785,0.742,0.501,0.084,0.052,0.076
0.827,0.721,0.788,0.744,0.505,0.079,0.042,0.059
0.838,0.749,0.798,0.768,0.545,0.087,0.041,0.055
0.818,0.684,0.793,0.711,0.465,0.069,0.041,0.059
0.835,0.742,0.795,0.762,0.534,0.088,0.042,0.053
0.821,0.729,0.769,0.745,0.497,0.071,0.016,0.009
0.838,0.749,0.798,0.768,0.545,0.087,0.043,0.058
0.723,0.611,0.623,0.616,0.234,0.067,0.053,0.198
0.762,0.7,0.689,0.694,0.389,0.083,0.091,0.169
0.839,0.748,0.799,0.768,0.545,0.082,0.03,0.035
0.748,0.5,0.374,0.428,0.0,0.0,0.0,0.0
0.81,0.662,0.788,0.687,0.432,0.101,0.127,0.219
0.825,0.715,0.787,0.738,0.496,0.088,0.061,0.09
0.831,0.759,0.779,0.768,0.537,0.093,0.048,0.064
0.835,0.743,0.794,0.762,0.534,0.092,0.05,0.066
