accuracy,recall,precision,f1,mcc,spd,aod,eod
0.795,0.709,0.727,0.717,0.435,0.149,0.046,0.012
0.832,0.739,0.788,0.758,0.525,0.167,0.098,0.13
0.826,0.711,0.793,0.736,0.497,0.149,0.093,0.129
0.808,0.74,0.745,0.742,0.485,0.184,0.083,0.068
0.833,0.737,0.792,0.757,0.525,0.163,0.1,0.139
0.811,0.744,0.749,0.746,0.493,0.178,0.074,0.057
0.843,0.765,0.801,0.78,0.565,0.175,0.093,0.122
0.8,0.721,0.735,0.727,0.456,0.168,0.091,0.1
0.795,0.723,0.727,0.725,0.451,0.173,0.082,0.071
0.848,0.764,0.811,0.782,0.573,0.182,0.102,0.132
0.819,0.72,0.769,0.737,0.486,0.177,0.126,0.173
0.827,0.734,0.779,0.751,0.511,0.15,0.076,0.099
0.77,0.607,0.695,0.619,0.289,0.128,0.108,0.133
0.781,0.592,0.759,0.598,0.309,0.044,0.008,0.031
0.832,0.768,0.779,0.773,0.546,0.193,0.103,0.12
0.805,0.739,0.742,0.741,0.481,0.167,0.062,0.042
0.814,0.696,0.768,0.718,0.458,0.144,0.088,0.114
0.821,0.694,0.791,0.721,0.476,0.151,0.142,0.236
0.824,0.686,0.812,0.715,0.482,0.111,0.063,0.097
0.807,0.68,0.761,0.702,0.433,0.137,0.076,0.086
0.803,0.737,0.739,0.738,0.476,0.177,0.094,0.104
0.803,0.733,0.739,0.736,0.472,0.171,0.078,0.073
0.808,0.736,0.746,0.741,0.482,0.186,0.095,0.092
0.827,0.713,0.793,0.738,0.5,0.149,0.104,0.157
0.789,0.712,0.72,0.716,0.432,0.181,0.087,0.065
0.845,0.766,0.804,0.782,0.569,0.179,0.09,0.109
0.83,0.763,0.777,0.769,0.54,0.183,0.1,0.126
0.814,0.746,0.753,0.749,0.499,0.165,0.071,0.071
0.812,0.671,0.784,0.696,0.441,0.117,0.068,0.092
0.828,0.727,0.786,0.748,0.51,0.141,0.064,0.08
0.8,0.698,0.738,0.713,0.434,0.163,0.112,0.147
0.793,0.716,0.725,0.72,0.441,0.178,0.099,0.102
0.818,0.717,0.769,0.735,0.482,0.171,0.117,0.157
0.84,0.746,0.804,0.767,0.547,0.16,0.086,0.115
0.81,0.724,0.75,0.735,0.474,0.151,0.073,0.084
0.812,0.743,0.751,0.747,0.494,0.188,0.09,0.081
0.803,0.731,0.739,0.734,0.469,0.168,0.086,0.094
0.813,0.733,0.754,0.742,0.487,0.167,0.089,0.104
0.815,0.73,0.758,0.742,0.487,0.17,0.105,0.136
0.831,0.735,0.788,0.754,0.52,0.167,0.103,0.14
0.813,0.744,0.753,0.748,0.496,0.171,0.07,0.059
0.803,0.724,0.739,0.73,0.462,0.174,0.08,0.066
0.791,0.714,0.722,0.718,0.436,0.184,0.109,0.116
0.848,0.764,0.811,0.783,0.573,0.179,0.099,0.129
0.794,0.714,0.727,0.72,0.441,0.165,0.093,0.105
0.798,0.72,0.731,0.725,0.451,0.185,0.12,0.145
0.802,0.734,0.737,0.735,0.471,0.169,0.066,0.044
0.817,0.731,0.761,0.744,0.492,0.201,0.136,0.168
0.817,0.705,0.772,0.727,0.472,0.149,0.079,0.092
0.796,0.659,0.742,0.679,0.392,0.154,0.133,0.187
0.791,0.69,0.723,0.703,0.412,0.184,0.196,0.314
0.798,0.728,0.732,0.73,0.459,0.166,0.061,0.033
0.819,0.73,0.765,0.744,0.494,0.168,0.064,0.038
0.831,0.716,0.802,0.742,0.511,0.138,0.064,0.076
0.788,0.708,0.718,0.712,0.425,0.18,0.107,0.113
0.797,0.719,0.731,0.724,0.449,0.169,0.091,0.096
0.807,0.676,0.764,0.699,0.431,0.133,0.103,0.156
0.797,0.72,0.731,0.725,0.45,0.176,0.091,0.087
0.824,0.725,0.778,0.744,0.5,0.179,0.125,0.17
0.794,0.714,0.727,0.72,0.441,0.17,0.076,0.057
0.784,0.622,0.732,0.638,0.337,0.091,0.075,0.119
