,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.909,0.766,0.801,0.782,0.565,0.173,0.079,0.071,19
1,0.909,0.765,0.799,0.781,0.563,0.185,0.096,0.102,19
2,0.903,0.759,0.782,0.769,0.54,0.18,0.093,0.095,19
3,0.898,0.66,0.803,0.701,0.441,0.17,0.143,0.2,19
4,0.897,0.633,0.826,0.675,0.416,0.135,0.119,0.182,19
5,0.905,0.762,0.784,0.772,0.545,0.223,0.107,0.074,18
6,0.902,0.692,0.798,0.729,0.479,0.214,0.158,0.198,18
7,0.902,0.759,0.778,0.768,0.537,0.217,0.111,0.097,18
8,0.9,0.659,0.81,0.701,0.444,0.186,0.137,0.164,18
9,0.897,0.728,0.766,0.745,0.492,0.217,0.104,0.045,18
10,0.902,0.705,0.812,0.742,0.505,0.217,0.144,0.186,9
11,0.902,0.713,0.806,0.748,0.511,0.215,0.139,0.182,9
12,0.899,0.692,0.805,0.73,0.484,0.189,0.123,0.167,9
13,0.902,0.704,0.811,0.742,0.504,0.199,0.123,0.156,9
14,0.902,0.703,0.81,0.741,0.502,0.203,0.128,0.165,9
15,0.898,0.659,0.829,0.703,0.457,0.162,0.113,0.167,9
16,0.895,0.634,0.832,0.676,0.422,0.151,0.12,0.191,9
17,0.911,0.775,0.801,0.787,0.576,0.183,0.054,0.023,8
18,0.911,0.775,0.802,0.788,0.577,0.175,0.043,0.003,8
19,0.909,0.768,0.799,0.782,0.566,0.18,0.054,0.021,8
20,0.903,0.722,0.794,0.751,0.511,0.172,0.081,0.085,8
21,0.906,0.763,0.791,0.776,0.553,0.169,0.043,0.003,8
22,0.902,0.674,0.813,0.716,0.467,0.175,0.122,0.168,8
23,0.9,0.662,0.811,0.704,0.448,0.173,0.137,0.211,8
24,0.898,0.641,0.821,0.684,0.426,0.149,0.114,0.172,8
25,0.911,0.772,0.806,0.787,0.576,0.2,0.076,0.049,6
26,0.907,0.726,0.805,0.757,0.526,0.204,0.111,0.112,6
27,0.903,0.674,0.82,0.717,0.471,0.19,0.14,0.197,6
28,0.902,0.698,0.798,0.733,0.485,0.185,0.111,0.129,6
29,0.901,0.707,0.791,0.739,0.491,0.189,0.105,0.11,6
30,0.903,0.752,0.788,0.768,0.539,0.209,0.099,0.084,7
31,0.9,0.7,0.795,0.734,0.485,0.21,0.141,0.172,7
32,0.9,0.657,0.822,0.7,0.449,0.197,0.16,0.227,7
33,0.9,0.661,0.82,0.705,0.455,0.204,0.164,0.228,7
34,0.897,0.64,0.818,0.682,0.423,0.164,0.129,0.185,7
35,0.904,0.762,0.781,0.771,0.543,0.193,0.076,0.047,5
36,0.901,0.721,0.781,0.746,0.499,0.193,0.109,0.119,5
37,0.901,0.662,0.811,0.705,0.449,0.174,0.132,0.182,5
38,0.901,0.658,0.812,0.701,0.445,0.176,0.133,0.178,5
39,0.911,0.764,0.8,0.78,0.562,0.19,0.055,0.007,4
40,0.911,0.765,0.8,0.781,0.565,0.191,0.057,0.004,4
41,0.903,0.71,0.79,0.74,0.493,0.198,0.113,0.115,4
42,0.905,0.709,0.797,0.742,0.499,0.196,0.108,0.104,4
43,0.903,0.706,0.79,0.738,0.488,0.191,0.114,0.132,4
44,0.901,0.72,0.777,0.744,0.494,0.167,0.062,0.027,4
45,0.898,0.626,0.821,0.667,0.402,0.137,0.103,0.146,4
46,0.897,0.625,0.816,0.666,0.398,0.13,0.091,0.119,4
47,0.909,0.772,0.795,0.783,0.567,0.2,0.109,0.116,0
