,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.862,0.676,0.792,0.71,0.454,0.099,0.085,0.14,8
1,0.862,0.673,0.794,0.707,0.451,0.078,0.05,0.082,8
2,0.857,0.662,0.783,0.695,0.429,0.076,0.052,0.086,8
3,0.858,0.67,0.781,0.702,0.437,0.084,0.063,0.103,8
4,0.86,0.668,0.793,0.702,0.443,0.081,0.055,0.088,8
5,0.849,0.65,0.759,0.679,0.394,0.073,0.044,0.062,8
6,0.85,0.656,0.758,0.685,0.401,0.088,0.064,0.094,8
7,0.859,0.682,0.777,0.713,0.449,0.095,0.081,0.129,16
8,0.858,0.668,0.784,0.701,0.437,0.067,0.04,0.063,16
9,0.855,0.663,0.774,0.695,0.423,0.062,0.034,0.053,16
10,0.857,0.667,0.778,0.699,0.431,0.071,0.052,0.086,16
11,0.858,0.665,0.784,0.698,0.434,0.068,0.04,0.061,16
12,0.842,0.631,0.739,0.657,0.353,0.047,0.025,0.039,16
13,0.863,0.664,0.772,0.696,0.422,0.065,0.03,0.035,17
14,0.857,0.658,0.762,0.688,0.407,0.068,0.032,0.036,9
15,0.858,0.655,0.765,0.686,0.405,0.061,0.026,0.03,9
16,0.856,0.676,0.75,0.701,0.419,0.07,0.028,0.03,9
17,0.857,0.65,0.763,0.68,0.397,0.058,0.034,0.054,9
18,0.86,0.657,0.773,0.69,0.415,0.068,0.041,0.056,15
19,0.86,0.662,0.771,0.693,0.419,0.071,0.046,0.068,15
20,0.862,0.659,0.781,0.692,0.423,0.071,0.044,0.061,15
21,0.86,0.666,0.77,0.697,0.423,0.074,0.043,0.055,15
22,0.862,0.65,0.788,0.684,0.415,0.055,0.019,0.017,15
23,0.859,0.643,0.781,0.676,0.401,0.056,0.024,0.027,15
24,0.854,0.656,0.751,0.684,0.396,0.06,0.028,0.036,15
25,0.856,0.646,0.765,0.677,0.393,0.058,0.031,0.044,15
26,0.867,0.686,0.772,0.716,0.45,0.081,0.05,0.066,14
27,0.863,0.672,0.763,0.702,0.425,0.069,0.031,0.03,14
28,0.863,0.658,0.77,0.69,0.414,0.06,0.023,0.02,14
29,0.867,0.666,0.782,0.699,0.432,0.064,0.028,0.03,14
30,0.863,0.655,0.773,0.688,0.411,0.064,0.04,0.055,14
31,0.863,0.679,0.761,0.707,0.433,0.064,0.032,0.044,14
32,0.861,0.662,0.761,0.692,0.412,0.06,0.019,0.009,14
33,0.853,0.652,0.735,0.678,0.377,0.057,0.027,0.033,14
34,0.866,0.68,0.779,0.712,0.448,0.086,0.068,0.107,10
35,0.864,0.673,0.775,0.705,0.437,0.071,0.039,0.053,10
36,0.866,0.673,0.785,0.706,0.443,0.076,0.054,0.084,10
37,0.863,0.656,0.782,0.69,0.419,0.067,0.037,0.049,10
38,0.863,0.673,0.773,0.704,0.434,0.063,0.024,0.028,10
39,0.862,0.666,0.773,0.698,0.425,0.048,0.008,0.007,10
40,0.858,0.659,0.759,0.689,0.406,0.061,0.033,0.048,10
41,0.861,0.665,0.767,0.696,0.42,0.054,0.011,0.004,10
42,0.861,0.668,0.766,0.698,0.422,0.064,0.023,0.021,10
43,0.85,0.643,0.736,0.67,0.368,0.062,0.039,0.055,10
44,0.864,0.68,0.785,0.713,0.453,0.08,0.039,0.045,11
45,0.86,0.666,0.778,0.698,0.429,0.072,0.024,0.013,11
46,0.861,0.658,0.789,0.693,0.428,0.065,0.028,0.032,11
47,0.856,0.664,0.763,0.694,0.416,0.068,0.014,0.007,11
48,0.848,0.639,0.744,0.667,0.368,0.063,0.029,0.031,11
49,0.857,0.662,0.77,0.693,0.418,0.075,0.037,0.042,13
50,0.855,0.653,0.768,0.684,0.405,0.068,0.043,0.065,13
51,0.853,0.639,0.768,0.67,0.386,0.067,0.048,0.074,13
52,0.855,0.653,0.77,0.685,0.407,0.059,0.025,0.033,13
53,0.863,0.687,0.776,0.717,0.454,0.062,0.013,0.011,12
54,0.859,0.659,0.777,0.692,0.42,0.051,0.008,0.004,12
55,0.861,0.677,0.774,0.708,0.441,0.062,0.018,0.019,12
56,0.857,0.652,0.775,0.685,0.409,0.06,0.024,0.029,12
57,0.86,0.671,0.771,0.702,0.43,0.071,0.03,0.035,1
58,0.866,0.673,0.795,0.708,0.452,0.075,0.044,0.065,1
59,0.866,0.671,0.795,0.706,0.449,0.064,0.024,0.032,1
60,0.861,0.67,0.778,0.703,0.435,0.054,0.006,0.001,1
61,0.857,0.667,0.762,0.696,0.418,0.061,0.013,0.006,1
62,0.847,0.655,0.733,0.68,0.38,0.066,0.03,0.036,1
63,0.859,0.665,0.759,0.694,0.414,0.071,0.048,0.07,0
64,0.86,0.651,0.77,0.684,0.405,0.059,0.037,0.057,0
65,0.858,0.668,0.754,0.696,0.413,0.048,0.007,0.004,0
66,0.853,0.652,0.741,0.68,0.384,0.051,0.023,0.033,0
67,0.861,0.668,0.773,0.699,0.428,0.079,0.036,0.035,2
68,0.855,0.659,0.755,0.687,0.402,0.052,0.01,0.045,2
69,0.861,0.654,0.781,0.687,0.415,0.057,0.01,0.005,2
70,0.85,0.648,0.74,0.675,0.377,0.048,0.004,0.027,2
71,0.855,0.66,0.765,0.691,0.412,0.086,0.042,0.041,3
72,0.856,0.659,0.771,0.691,0.416,0.072,0.028,0.027,3
73,0.854,0.644,0.774,0.676,0.398,0.062,0.024,0.027,3
74,0.854,0.64,0.776,0.672,0.393,0.061,0.02,0.017,3
75,0.855,0.668,0.754,0.695,0.413,0.097,0.082,0.122,7
76,0.856,0.666,0.759,0.695,0.414,0.069,0.035,0.046,7
77,0.856,0.668,0.758,0.697,0.417,0.076,0.044,0.058,7
78,0.854,0.653,0.757,0.683,0.397,0.068,0.041,0.055,7
79,0.857,0.663,0.765,0.693,0.416,0.072,0.042,0.056,7
80,0.853,0.661,0.751,0.689,0.403,0.069,0.037,0.046,7
81,0.859,0.667,0.772,0.698,0.427,0.071,0.022,0.009,19
82,0.851,0.652,0.75,0.681,0.39,0.06,0.017,0.009,19
83,0.856,0.663,0.765,0.693,0.416,0.065,0.021,0.014,19
84,0.857,0.67,0.766,0.7,0.426,0.062,0.008,0.012,19
85,0.853,0.649,0.761,0.68,0.395,0.057,0.012,0.002,19
86,0.852,0.679,0.746,0.703,0.42,0.063,0.001,0.035,19
87,0.864,0.679,0.766,0.709,0.437,0.083,0.053,0.074,18
88,0.86,0.665,0.757,0.694,0.411,0.059,0.014,0.006,18
89,0.864,0.652,0.781,0.686,0.413,0.054,0.013,0.006,18
90,0.862,0.672,0.761,0.701,0.424,0.062,0.015,0.006,18
91,0.863,0.685,0.761,0.712,0.44,0.059,0.011,0.008,18
92,0.852,0.666,0.733,0.69,0.393,0.067,0.031,0.04,18
93,0.863,0.665,0.77,0.697,0.422,0.057,0.003,0.031,6
94,0.862,0.665,0.767,0.696,0.42,0.06,0.003,0.018,6
95,0.862,0.658,0.768,0.69,0.412,0.045,0.018,0.054,6
96,0.861,0.661,0.77,0.693,0.418,0.08,0.064,0.092,4
97,0.86,0.664,0.765,0.695,0.418,0.09,0.072,0.099,4
98,0.86,0.658,0.767,0.689,0.41,0.06,0.035,0.048,4
99,0.861,0.659,0.77,0.69,0.414,0.066,0.037,0.045,4
100,0.839,0.64,0.705,0.661,0.339,0.058,0.02,0.009,4
101,0.861,0.668,0.767,0.698,0.423,0.073,0.047,0.071,5
102,0.859,0.661,0.764,0.691,0.412,0.073,0.05,0.075,5
103,0.86,0.663,0.767,0.693,0.416,0.076,0.051,0.075,5
104,0.861,0.649,0.778,0.682,0.407,0.058,0.031,0.045,5
