,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.862,0.781,0.829,0.8,0.608,0.09,0.054,0.087,18
1,0.859,0.778,0.824,0.797,0.6,0.09,0.044,0.061,18
2,0.854,0.754,0.829,0.78,0.577,0.074,0.034,0.054,18
3,0.844,0.726,0.823,0.756,0.541,0.072,0.042,0.066,18
4,0.86,0.772,0.83,0.794,0.599,0.091,0.058,0.085,19
5,0.86,0.772,0.831,0.795,0.601,0.084,0.038,0.044,19
6,0.859,0.769,0.831,0.793,0.597,0.085,0.049,0.07,19
7,0.855,0.765,0.823,0.787,0.585,0.086,0.05,0.069,19
8,0.855,0.759,0.827,0.784,0.582,0.075,0.037,0.053,19
9,0.853,0.754,0.825,0.779,0.575,0.074,0.038,0.055,19
10,0.854,0.755,0.827,0.781,0.578,0.074,0.038,0.055,19
11,0.842,0.724,0.821,0.754,0.537,0.06,0.026,0.038,19
12,0.863,0.781,0.832,0.801,0.611,0.083,0.034,0.044,6
13,0.865,0.78,0.836,0.802,0.614,0.076,0.021,0.021,6
14,0.862,0.775,0.833,0.797,0.605,0.079,0.035,0.05,6
15,0.862,0.768,0.838,0.794,0.602,0.075,0.031,0.045,6
16,0.862,0.765,0.841,0.792,0.601,0.071,0.027,0.041,6
17,0.859,0.777,0.824,0.796,0.6,0.07,0.017,0.019,6
18,0.85,0.739,0.832,0.768,0.563,0.07,0.041,0.069,6
19,0.859,0.775,0.83,0.796,0.602,0.083,0.031,0.036,7
20,0.856,0.769,0.826,0.791,0.593,0.078,0.027,0.031,7
21,0.856,0.762,0.833,0.787,0.59,0.069,0.016,0.016,7
22,0.855,0.762,0.831,0.787,0.589,0.068,0.014,0.014,7
23,0.855,0.757,0.835,0.784,0.587,0.066,0.013,0.01,7
24,0.847,0.746,0.821,0.772,0.562,0.067,0.016,0.014,7
25,0.85,0.749,0.825,0.775,0.569,0.065,0.013,0.009,7
26,0.862,0.776,0.832,0.798,0.606,0.079,0.032,0.046,5
27,0.862,0.771,0.835,0.795,0.603,0.072,0.02,0.024,5
28,0.859,0.763,0.835,0.789,0.594,0.067,0.018,0.024,5
29,0.858,0.759,0.835,0.786,0.59,0.073,0.028,0.04,5
30,0.863,0.779,0.833,0.801,0.61,0.087,0.004,0.021,4
31,0.864,0.779,0.835,0.801,0.612,0.088,0.007,0.015,4
32,0.863,0.779,0.834,0.8,0.61,0.086,0.002,0.024,4
33,0.861,0.773,0.831,0.795,0.601,0.076,0.011,0.044,4
34,0.858,0.77,0.827,0.792,0.594,0.076,0.005,0.03,4
35,0.86,0.772,0.831,0.795,0.6,0.074,0.009,0.037,4
36,0.854,0.753,0.829,0.78,0.577,0.069,0.007,0.031,4
37,0.853,0.749,0.829,0.776,0.572,0.065,0.009,0.033,4
38,0.852,0.748,0.826,0.775,0.569,0.065,0.013,0.042,4
39,0.857,0.782,0.822,0.799,0.603,0.089,0.034,0.043,0
40,0.855,0.764,0.829,0.788,0.59,0.082,0.027,0.031,0
41,0.853,0.759,0.829,0.784,0.584,0.082,0.03,0.037,0
42,0.839,0.724,0.82,0.752,0.535,0.075,0.034,0.045,0
43,0.859,0.78,0.825,0.798,0.603,0.072,0.003,0.029,1
44,0.854,0.755,0.832,0.782,0.581,0.069,0.009,0.001,1
45,0.844,0.728,0.825,0.757,0.544,0.063,0.016,0.016,1
46,0.856,0.769,0.825,0.79,0.591,0.08,0.015,0.004,3
47,0.856,0.763,0.829,0.788,0.589,0.071,0.008,0.01,3
48,0.854,0.762,0.824,0.786,0.584,0.074,0.016,0.006,3
49,0.851,0.749,0.825,0.776,0.569,0.072,0.018,0.011,3
50,0.852,0.755,0.823,0.779,0.574,0.071,0.011,0.003,3
51,0.857,0.778,0.825,0.797,0.601,0.087,0.031,0.034,2
52,0.856,0.775,0.825,0.795,0.598,0.084,0.033,0.043,2
53,0.854,0.762,0.831,0.787,0.589,0.077,0.028,0.035,2
54,0.849,0.746,0.831,0.774,0.571,0.067,0.015,0.014,2
55,0.85,0.748,0.831,0.776,0.573,0.069,0.021,0.027,2
56,0.843,0.729,0.828,0.759,0.548,0.069,0.029,0.042,2
57,0.857,0.761,0.829,0.786,0.586,0.067,0.021,0.03,9
58,0.859,0.766,0.83,0.79,0.593,0.067,0.018,0.024,9
59,0.858,0.77,0.826,0.792,0.594,0.074,0.029,0.044,9
60,0.856,0.752,0.834,0.78,0.581,0.062,0.014,0.018,9
61,0.849,0.738,0.827,0.767,0.558,0.054,0.009,0.012,9
62,0.85,0.74,0.827,0.768,0.56,0.056,0.008,0.008,9
63,0.859,0.771,0.826,0.793,0.595,0.082,0.036,0.047,8
64,0.859,0.768,0.829,0.791,0.593,0.074,0.023,0.025,8
65,0.858,0.763,0.83,0.788,0.589,0.074,0.018,0.012,8
66,0.858,0.761,0.833,0.787,0.59,0.075,0.027,0.031,8
67,0.853,0.751,0.826,0.777,0.571,0.072,0.026,0.03,8
68,0.849,0.741,0.824,0.769,0.559,0.063,0.016,0.017,8
69,0.846,0.729,0.827,0.759,0.547,0.054,0.011,0.013,8
70,0.86,0.768,0.835,0.793,0.6,0.072,0.016,0.014,17
71,0.86,0.767,0.834,0.792,0.598,0.072,0.013,0.005,17
72,0.856,0.759,0.831,0.785,0.586,0.067,0.009,0.001,17
73,0.857,0.762,0.831,0.787,0.589,0.065,0.004,0.007,17
74,0.854,0.754,0.831,0.781,0.579,0.068,0.02,0.025,17
75,0.849,0.741,0.828,0.769,0.562,0.06,0.011,0.012,17
76,0.863,0.775,0.837,0.798,0.608,0.084,0.03,0.037,16
77,0.862,0.774,0.835,0.797,0.606,0.082,0.029,0.036,16
78,0.859,0.767,0.832,0.791,0.595,0.081,0.032,0.043,16
79,0.861,0.772,0.833,0.795,0.602,0.081,0.029,0.038,16
80,0.857,0.759,0.832,0.785,0.587,0.076,0.026,0.035,16
81,0.854,0.75,0.834,0.778,0.577,0.068,0.018,0.023,16
82,0.854,0.748,0.835,0.777,0.576,0.066,0.018,0.025,16
83,0.846,0.728,0.829,0.759,0.548,0.066,0.027,0.041,16
84,0.849,0.732,0.835,0.763,0.557,0.071,0.035,0.055,16
85,0.858,0.77,0.827,0.792,0.594,0.083,0.028,0.031,14
86,0.858,0.761,0.837,0.788,0.593,0.077,0.025,0.029,14
87,0.858,0.765,0.831,0.789,0.593,0.074,0.018,0.018,14
88,0.858,0.763,0.834,0.788,0.593,0.073,0.016,0.013,14
89,0.863,0.778,0.835,0.8,0.611,0.067,0.02,0.025,15
90,0.859,0.769,0.831,0.792,0.597,0.068,0.027,0.039,15
91,0.855,0.753,0.832,0.78,0.58,0.066,0.026,0.034,15
92,0.861,0.775,0.834,0.797,0.606,0.093,0.037,0.047,11
93,0.86,0.769,0.836,0.793,0.601,0.083,0.029,0.041,11
94,0.86,0.769,0.835,0.794,0.601,0.084,0.027,0.035,11
95,0.856,0.76,0.833,0.786,0.589,0.082,0.032,0.047,11
96,0.853,0.748,0.836,0.777,0.577,0.072,0.022,0.031,11
97,0.853,0.752,0.83,0.779,0.577,0.078,0.029,0.042,11
98,0.846,0.735,0.827,0.764,0.555,0.073,0.03,0.044,11
99,0.86,0.776,0.832,0.797,0.605,0.086,0.032,0.034,10
100,0.861,0.779,0.833,0.8,0.609,0.081,0.02,0.012,10
101,0.857,0.763,0.834,0.788,0.593,0.075,0.018,0.01,10
102,0.855,0.76,0.832,0.786,0.587,0.073,0.016,0.008,10
103,0.854,0.753,0.834,0.781,0.581,0.068,0.016,0.014,10
104,0.847,0.74,0.826,0.768,0.559,0.064,0.015,0.014,10
105,0.847,0.737,0.829,0.766,0.558,0.063,0.011,0.005,10
106,0.849,0.749,0.825,0.775,0.569,0.073,0.03,0.042,10
107,0.846,0.738,0.824,0.766,0.556,0.066,0.02,0.022,10
108,0.859,0.773,0.83,0.795,0.601,0.071,0.017,0.02,12
109,0.859,0.779,0.827,0.798,0.604,0.074,0.015,0.011,12
110,0.856,0.772,0.824,0.793,0.594,0.075,0.03,0.044,12
111,0.853,0.752,0.832,0.779,0.579,0.07,0.027,0.038,12
