,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.767,0.68,0.734,0.694,0.41,0.046,0.074,0.107,16
1,0.787,0.716,0.757,0.729,0.471,0.063,0.079,0.059,16
2,0.733,0.62,0.689,0.627,0.301,0.126,0.054,0.116,16
3,0.73,0.626,0.68,0.635,0.301,0.098,0.019,0.012,16
4,0.76,0.678,0.721,0.691,0.397,0.033,0.045,0.062,17
5,0.747,0.642,0.71,0.653,0.345,0.023,0.004,0.037,17
6,0.76,0.688,0.719,0.698,0.405,0.001,0.058,0.016,15
7,0.777,0.669,0.772,0.686,0.429,0.005,0.057,0.018,15
8,0.763,0.657,0.744,0.671,0.391,0.038,0.004,0.008,15
9,0.76,0.683,0.732,0.696,0.412,0.036,0.043,0.051,14
10,0.727,0.631,0.688,0.639,0.313,0.053,0.046,0.022,14
11,0.74,0.643,0.711,0.653,0.348,0.015,0.027,0.069,14
12,0.75,0.645,0.739,0.656,0.373,0.066,0.087,0.04,14
13,0.763,0.666,0.762,0.68,0.417,0.041,0.017,0.009,10
14,0.74,0.641,0.719,0.65,0.351,0.052,0.108,0.053,10
15,0.743,0.635,0.737,0.643,0.358,0.001,0.064,0.048,10
16,0.757,0.653,0.758,0.665,0.398,0.013,0.047,0.015,10
17,0.737,0.636,0.719,0.644,0.346,0.009,0.054,0.035,11
18,0.733,0.626,0.721,0.631,0.334,0.151,0.138,0.111,11
19,0.75,0.654,0.74,0.665,0.385,0.022,0.007,0.009,11
20,0.733,0.623,0.725,0.627,0.333,0.12,0.106,0.085,11
21,0.723,0.626,0.691,0.633,0.311,0.006,0.018,0.053,11
22,0.737,0.65,0.657,0.653,0.307,0.026,0.025,0.005,13
23,0.747,0.629,0.662,0.639,0.289,0.074,0.046,0.025,13
24,0.737,0.646,0.656,0.65,0.302,0.1,0.053,0.078,13
25,0.73,0.634,0.645,0.638,0.279,0.042,0.012,0.044,13
26,0.753,0.65,0.675,0.659,0.323,0.115,0.088,0.048,13
27,0.747,0.665,0.671,0.668,0.336,0.11,0.06,0.078,13
28,0.737,0.644,0.712,0.653,0.35,0.099,0.047,0.043,12
29,0.747,0.654,0.73,0.665,0.377,0.083,0.027,0.017,12
30,0.733,0.647,0.702,0.656,0.345,0.161,0.11,0.099,12
31,0.723,0.616,0.7,0.619,0.305,0.1,0.064,0.023,12
32,0.73,0.634,0.703,0.642,0.33,0.128,0.086,0.043,12
33,0.783,0.715,0.745,0.726,0.459,0.08,0.069,0.04,8
34,0.78,0.703,0.743,0.716,0.445,0.101,0.112,0.021,8
35,0.79,0.748,0.75,0.749,0.498,0.033,0.002,0.029,8
36,0.77,0.639,0.783,0.651,0.397,0.005,0.022,0.011,8
37,0.753,0.633,0.724,0.644,0.345,0.022,0.042,0.022,8
38,0.783,0.653,0.748,0.672,0.389,0.079,0.047,0.036,9
39,0.77,0.64,0.718,0.655,0.35,0.135,0.1,0.052,9
40,0.767,0.623,0.72,0.635,0.329,0.057,0.02,0.001,9
41,0.767,0.63,0.715,0.644,0.335,0.04,0.003,0.012,9
42,0.743,0.656,0.672,0.662,0.327,0.027,0.012,0.075,9
43,0.75,0.642,0.678,0.652,0.318,0.009,0.055,0.072,9
44,0.737,0.617,0.67,0.626,0.282,0.05,0.008,0.022,1
45,0.75,0.658,0.69,0.668,0.347,0.122,0.073,0.066,1
46,0.757,0.617,0.722,0.627,0.323,0.043,0.003,0.005,1
47,0.763,0.632,0.729,0.645,0.349,0.07,0.023,0.036,1
48,0.76,0.627,0.724,0.638,0.337,0.03,0.016,0.0,1
49,0.77,0.62,0.78,0.629,0.366,0.076,0.025,0.074,1
50,0.783,0.688,0.744,0.704,0.428,0.072,0.022,0.009,0
51,0.78,0.682,0.739,0.698,0.418,0.076,0.006,0.028,0
52,0.78,0.682,0.739,0.698,0.418,0.076,0.014,0.009,0
53,0.773,0.685,0.725,0.698,0.408,0.093,0.003,0.025,0
54,0.753,0.672,0.735,0.685,0.403,0.087,0.064,0.018,2
55,0.76,0.672,0.754,0.686,0.419,0.01,0.038,0.005,2
56,0.757,0.656,0.698,0.668,0.351,0.018,0.004,0.004,3
57,0.77,0.665,0.721,0.68,0.382,0.012,0.009,0.014,3
58,0.8,0.702,0.762,0.72,0.46,0.071,0.039,0.047,7
59,0.797,0.688,0.763,0.708,0.445,0.116,0.021,0.057,7
60,0.74,0.705,0.686,0.692,0.39,0.004,0.104,0.064,7
61,0.753,0.678,0.748,0.69,0.42,0.116,0.022,0.091,6
62,0.7,0.621,0.664,0.625,0.282,0.084,0.02,0.092,6
63,0.747,0.67,0.737,0.681,0.402,0.068,0.022,0.046,6
64,0.727,0.646,0.708,0.653,0.349,0.076,0.002,0.109,6
65,0.74,0.642,0.761,0.647,0.385,0.092,0.017,0.051,6
66,0.737,0.652,0.703,0.662,0.351,0.09,0.022,0.062,4
67,0.737,0.649,0.704,0.659,0.349,0.078,0.014,0.03,4
68,0.737,0.649,0.704,0.659,0.349,0.058,0.021,0.106,4
69,0.743,0.635,0.737,0.643,0.358,0.042,0.024,0.044,4
70,0.743,0.654,0.716,0.665,0.365,0.004,0.067,0.034,4
71,0.773,0.642,0.726,0.658,0.359,0.078,0.016,0.04,5
72,0.777,0.641,0.737,0.657,0.366,0.114,0.06,0.051,5
73,0.76,0.633,0.697,0.646,0.324,0.109,0.066,0.019,5
74,0.763,0.658,0.699,0.671,0.355,0.111,0.052,0.032,5
75,0.76,0.667,0.694,0.677,0.36,0.083,0.016,0.011,5
76,0.78,0.669,0.743,0.686,0.405,0.056,0.026,0.052,19
77,0.773,0.668,0.727,0.683,0.39,0.015,0.065,0.009,19
78,0.767,0.659,0.716,0.674,0.371,0.117,0.049,0.076,19
79,0.757,0.649,0.699,0.662,0.344,0.062,0.012,0.065,19
80,0.74,0.632,0.722,0.64,0.343,0.016,0.078,0.002,18
81,0.747,0.67,0.711,0.681,0.38,0.023,0.046,0.021,18
82,0.76,0.655,0.76,0.668,0.402,0.027,0.04,0.015,18
