accuracy,recall,precision,f1,mcc,spd,aod,eod
0.635,0.634,0.634,0.634,0.268,0.137,0.118,0.062
0.591,0.59,0.59,0.59,0.181,0.089,0.071,0.078
0.623,0.625,0.625,0.623,0.251,0.12,0.1,0.067
0.602,0.606,0.607,0.602,0.214,0.099,0.086,0.023
0.565,0.564,0.564,0.564,0.127,0.023,0.014,0.018
0.594,0.598,0.598,0.594,0.196,0.074,0.061,0.019
0.627,0.623,0.625,0.623,0.248,0.111,0.089,0.069
0.577,0.576,0.576,0.576,0.152,0.079,0.071,0.017
0.646,0.641,0.645,0.641,0.285,0.122,0.101,0.054
0.585,0.584,0.584,0.584,0.168,0.065,0.05,0.04
0.579,0.587,0.593,0.575,0.18,0.083,0.069,0.047
0.624,0.621,0.622,0.621,0.243,0.087,0.069,0.022
0.582,0.591,0.599,0.577,0.191,0.106,0.09,0.074
0.636,0.633,0.635,0.633,0.268,0.204,0.186,0.132
0.613,0.608,0.611,0.607,0.218,0.059,0.043,0.003
0.624,0.62,0.622,0.62,0.242,0.127,0.107,0.08
0.652,0.647,0.651,0.647,0.299,0.138,0.117,0.052
0.607,0.603,0.604,0.603,0.207,0.126,0.105,0.117
0.589,0.581,0.588,0.577,0.169,0.059,0.048,0.013
0.622,0.62,0.62,0.62,0.24,0.122,0.1,0.085
0.587,0.587,0.586,0.586,0.173,0.045,0.033,0.013
0.618,0.615,0.616,0.615,0.231,0.086,0.065,0.046
0.625,0.626,0.626,0.624,0.252,0.094,0.074,0.037
0.595,0.591,0.593,0.591,0.184,0.126,0.115,0.066
0.609,0.609,0.609,0.608,0.218,0.129,0.113,0.076
0.609,0.606,0.607,0.606,0.213,0.08,0.062,0.041
0.616,0.617,0.616,0.616,0.233,0.167,0.147,0.13
0.608,0.604,0.606,0.604,0.21,0.144,0.129,0.093
0.588,0.58,0.586,0.578,0.166,0.057,0.043,0.031
0.588,0.583,0.586,0.582,0.169,0.077,0.065,0.03
0.58,0.588,0.594,0.575,0.182,0.111,0.096,0.085
0.602,0.6,0.6,0.6,0.2,0.113,0.094,0.094
0.61,0.606,0.608,0.606,0.214,0.086,0.07,0.039
0.567,0.565,0.565,0.565,0.13,0.025,0.015,0.013
0.599,0.593,0.596,0.591,0.189,0.084,0.071,0.032
0.623,0.619,0.621,0.619,0.24,0.102,0.081,0.062
0.63,0.627,0.628,0.627,0.255,0.226,0.202,0.2
0.628,0.626,0.627,0.626,0.252,0.099,0.077,0.057
0.628,0.627,0.627,0.627,0.253,0.179,0.157,0.14
0.571,0.58,0.585,0.566,0.165,0.058,0.044,0.029
0.624,0.619,0.622,0.619,0.242,0.082,0.065,0.012
0.611,0.612,0.611,0.611,0.223,0.056,0.04,0.009
0.622,0.617,0.621,0.616,0.238,0.091,0.071,0.046
0.622,0.616,0.62,0.616,0.237,0.112,0.092,0.071
0.638,0.633,0.637,0.633,0.27,0.138,0.115,0.09
0.599,0.593,0.596,0.591,0.189,0.118,0.103,0.084
0.597,0.589,0.596,0.585,0.185,0.03,0.018,0.029
0.62,0.614,0.618,0.613,0.232,0.101,0.082,0.055
0.6,0.596,0.598,0.595,0.194,0.087,0.074,0.034
0.587,0.586,0.586,0.586,0.171,0.077,0.067,0.018
0.621,0.617,0.619,0.617,0.236,0.118,0.099,0.067
0.612,0.614,0.613,0.612,0.227,0.119,0.102,0.065
0.58,0.588,0.594,0.576,0.182,0.09,0.075,0.059
0.616,0.619,0.619,0.616,0.238,0.162,0.141,0.128
0.592,0.585,0.589,0.583,0.174,0.086,0.07,0.065
0.58,0.588,0.594,0.576,0.181,0.082,0.07,0.028
0.613,0.613,0.612,0.612,0.225,0.118,0.101,0.061
0.626,0.622,0.624,0.622,0.246,0.095,0.076,0.034
0.598,0.591,0.596,0.589,0.187,0.062,0.048,0.019
0.588,0.583,0.586,0.582,0.168,0.075,0.061,0.045
0.61,0.606,0.608,0.606,0.215,0.116,0.102,0.049
0.622,0.618,0.62,0.618,0.238,0.108,0.09,0.044
0.614,0.609,0.613,0.608,0.221,0.107,0.088,0.066
0.589,0.583,0.587,0.582,0.17,0.086,0.073,0.049
0.615,0.611,0.613,0.61,0.224,0.124,0.107,0.071
0.618,0.613,0.616,0.613,0.229,0.087,0.065,0.064
0.619,0.615,0.617,0.615,0.232,0.11,0.092,0.059
0.618,0.613,0.616,0.612,0.228,0.077,0.061,0.013
