accuracy,recall,precision,f1,mcc,spd,aod,eod
0.65,0.648,0.649,0.648,0.297,0.163,0.14,0.1
0.659,0.653,0.659,0.652,0.312,0.158,0.135,0.08
0.649,0.648,0.648,0.648,0.296,0.167,0.143,0.101
0.657,0.652,0.657,0.652,0.308,0.232,0.21,0.156
0.659,0.653,0.66,0.652,0.313,0.2,0.179,0.115
0.651,0.65,0.65,0.65,0.299,0.204,0.181,0.135
0.659,0.653,0.66,0.652,0.313,0.163,0.14,0.086
0.649,0.648,0.648,0.648,0.296,0.165,0.142,0.1
0.656,0.65,0.658,0.649,0.308,0.142,0.119,0.068
0.656,0.65,0.657,0.649,0.307,0.158,0.136,0.083
0.657,0.651,0.658,0.65,0.309,0.144,0.121,0.07
0.652,0.651,0.651,0.651,0.301,0.154,0.129,0.092
0.649,0.648,0.648,0.648,0.296,0.173,0.15,0.107
0.652,0.651,0.651,0.651,0.301,0.154,0.129,0.092
0.656,0.65,0.658,0.649,0.308,0.134,0.112,0.059
0.651,0.65,0.65,0.65,0.3,0.222,0.2,0.148
0.652,0.65,0.65,0.65,0.3,0.156,0.131,0.095
0.657,0.651,0.658,0.65,0.309,0.144,0.121,0.07
0.65,0.649,0.649,0.649,0.297,0.19,0.167,0.122
0.652,0.65,0.65,0.65,0.3,0.131,0.105,0.075
0.65,0.649,0.649,0.649,0.298,0.18,0.156,0.116
0.656,0.649,0.657,0.648,0.307,0.132,0.11,0.057
0.655,0.649,0.657,0.647,0.305,0.13,0.107,0.056
0.659,0.652,0.66,0.652,0.312,0.161,0.139,0.083
0.652,0.651,0.651,0.651,0.301,0.155,0.131,0.094
0.649,0.647,0.647,0.647,0.295,0.129,0.105,0.066
0.656,0.649,0.657,0.648,0.306,0.134,0.111,0.059
0.653,0.651,0.651,0.651,0.303,0.193,0.17,0.124
0.66,0.654,0.661,0.653,0.314,0.195,0.174,0.107
0.651,0.65,0.65,0.65,0.3,0.218,0.196,0.148
0.649,0.647,0.647,0.647,0.295,0.175,0.152,0.11
0.657,0.65,0.659,0.649,0.309,0.121,0.097,0.049
0.657,0.651,0.659,0.65,0.31,0.136,0.114,0.059
0.652,0.651,0.651,0.651,0.301,0.155,0.131,0.094
0.657,0.65,0.658,0.649,0.309,0.135,0.113,0.059
0.65,0.648,0.649,0.649,0.297,0.179,0.155,0.116
0.657,0.651,0.658,0.65,0.309,0.18,0.159,0.094
0.652,0.65,0.65,0.65,0.3,0.153,0.128,0.092
0.655,0.649,0.656,0.648,0.305,0.153,0.131,0.08
0.651,0.65,0.65,0.65,0.3,0.234,0.212,0.162
0.656,0.65,0.658,0.649,0.308,0.133,0.11,0.057
0.657,0.652,0.658,0.651,0.31,0.189,0.168,0.105
0.656,0.65,0.657,0.65,0.307,0.175,0.154,0.092
0.655,0.649,0.656,0.648,0.305,0.153,0.131,0.08
0.65,0.648,0.648,0.648,0.297,0.15,0.126,0.092
0.657,0.65,0.66,0.649,0.31,0.112,0.088,0.039
0.656,0.65,0.657,0.649,0.306,0.154,0.131,0.08
0.657,0.65,0.66,0.649,0.31,0.12,0.097,0.043
0.658,0.651,0.66,0.65,0.311,0.121,0.097,0.048
0.658,0.652,0.659,0.651,0.311,0.166,0.144,0.086
0.659,0.652,0.661,0.651,0.312,0.128,0.105,0.049
0.657,0.65,0.658,0.649,0.309,0.138,0.115,0.063
0.657,0.651,0.658,0.651,0.31,0.16,0.137,0.083
0.657,0.65,0.659,0.649,0.309,0.127,0.105,0.051
0.657,0.651,0.658,0.65,0.309,0.143,0.12,0.068
0.659,0.652,0.66,0.652,0.312,0.164,0.142,0.086
0.677,0.675,0.676,0.675,0.351,0.119,0.09,0.051
0.685,0.678,0.69,0.677,0.368,0.138,0.112,0.05
0.685,0.679,0.689,0.678,0.368,0.143,0.117,0.055
0.684,0.678,0.688,0.677,0.365,0.163,0.137,0.073
0.677,0.676,0.676,0.676,0.351,0.164,0.135,0.098
0.677,0.675,0.676,0.675,0.351,0.129,0.101,0.06
0.684,0.677,0.691,0.675,0.368,0.099,0.072,0.013
0.686,0.679,0.691,0.678,0.369,0.127,0.101,0.032
0.685,0.678,0.691,0.677,0.368,0.117,0.091,0.025
0.677,0.676,0.676,0.676,0.353,0.183,0.154,0.115
0.674,0.672,0.673,0.672,0.345,0.141,0.112,0.076
0.675,0.672,0.674,0.673,0.346,0.092,0.063,0.028
0.677,0.675,0.676,0.675,0.351,0.143,0.114,0.079
0.687,0.68,0.693,0.678,0.372,0.126,0.099,0.035
0.684,0.677,0.688,0.676,0.366,0.14,0.113,0.053
0.676,0.675,0.675,0.675,0.35,0.158,0.129,0.091
0.684,0.678,0.689,0.677,0.367,0.153,0.127,0.062
0.675,0.67,0.677,0.67,0.347,0.211,0.186,0.13
0.675,0.674,0.674,0.674,0.348,0.154,0.126,0.09
0.677,0.676,0.676,0.676,0.352,0.182,0.154,0.112
0.684,0.677,0.688,0.676,0.366,0.14,0.113,0.053
0.678,0.677,0.677,0.677,0.354,0.185,0.156,0.117
0.685,0.678,0.69,0.677,0.368,0.128,0.102,0.034
0.675,0.67,0.676,0.669,0.346,0.213,0.188,0.131
0.675,0.674,0.674,0.674,0.348,0.161,0.133,0.092
0.68,0.679,0.679,0.679,0.357,0.193,0.164,0.124
0.675,0.674,0.674,0.674,0.348,0.126,0.098,0.057
0.682,0.676,0.685,0.675,0.36,0.181,0.156,0.093
0.686,0.678,0.692,0.677,0.37,0.102,0.075,0.014
0.677,0.676,0.676,0.676,0.353,0.171,0.142,0.105
0.684,0.678,0.689,0.677,0.367,0.125,0.098,0.034
0.677,0.675,0.676,0.676,0.351,0.162,0.133,0.097
0.684,0.678,0.689,0.677,0.366,0.161,0.135,0.069
0.684,0.677,0.688,0.676,0.366,0.14,0.113,0.053
0.686,0.679,0.691,0.678,0.369,0.134,0.108,0.045
0.676,0.675,0.675,0.675,0.35,0.166,0.138,0.102
0.675,0.673,0.674,0.674,0.347,0.104,0.075,0.039
0.677,0.677,0.676,0.677,0.353,0.183,0.155,0.112
0.682,0.675,0.686,0.674,0.361,0.137,0.111,0.05
0.684,0.677,0.688,0.676,0.366,0.14,0.113,0.053
0.684,0.677,0.688,0.676,0.366,0.164,0.139,0.07
0.677,0.676,0.676,0.676,0.352,0.182,0.154,0.112
0.685,0.678,0.692,0.676,0.369,0.109,0.083,0.017
0.684,0.678,0.688,0.677,0.366,0.165,0.139,0.071
0.685,0.679,0.689,0.678,0.368,0.158,0.131,0.068
0.677,0.675,0.676,0.676,0.352,0.127,0.099,0.058
0.684,0.677,0.691,0.675,0.368,0.108,0.082,0.017
0.685,0.679,0.689,0.678,0.368,0.148,0.122,0.055
0.684,0.677,0.688,0.676,0.366,0.159,0.134,0.066
0.683,0.676,0.687,0.676,0.363,0.174,0.149,0.084
0.676,0.675,0.675,0.675,0.35,0.13,0.102,0.061
0.683,0.676,0.687,0.675,0.363,0.163,0.138,0.069
0.685,0.679,0.689,0.678,0.368,0.152,0.126,0.061
0.684,0.678,0.688,0.677,0.366,0.151,0.125,0.058
0.684,0.677,0.688,0.676,0.366,0.14,0.113,0.053
0.683,0.677,0.688,0.676,0.364,0.139,0.113,0.053
0.68,0.679,0.679,0.679,0.357,0.193,0.164,0.124
0.675,0.674,0.674,0.674,0.348,0.149,0.12,0.088
0.684,0.677,0.688,0.676,0.366,0.159,0.134,0.066
0.686,0.679,0.691,0.677,0.369,0.131,0.104,0.042
0.683,0.677,0.687,0.676,0.363,0.178,0.152,0.087
0.684,0.678,0.689,0.677,0.367,0.141,0.114,0.053
0.685,0.679,0.689,0.678,0.368,0.158,0.133,0.066
0.678,0.672,0.681,0.671,0.353,0.189,0.164,0.104
0.677,0.677,0.676,0.676,0.353,0.176,0.147,0.11
0.685,0.679,0.689,0.678,0.368,0.156,0.13,0.066
0.686,0.679,0.691,0.678,0.369,0.134,0.108,0.045
0.685,0.679,0.689,0.678,0.368,0.143,0.117,0.055
0.683,0.676,0.687,0.676,0.363,0.174,0.149,0.084
0.677,0.677,0.676,0.676,0.353,0.181,0.153,0.11
0.685,0.678,0.69,0.677,0.368,0.135,0.108,0.047
0.678,0.677,0.677,0.677,0.354,0.183,0.155,0.115
0.682,0.676,0.686,0.676,0.362,0.169,0.143,0.081
0.684,0.677,0.69,0.676,0.368,0.115,0.089,0.024
0.676,0.675,0.675,0.675,0.351,0.179,0.151,0.11
0.684,0.677,0.688,0.676,0.366,0.14,0.113,0.053
0.676,0.675,0.675,0.675,0.35,0.162,0.134,0.096
0.676,0.674,0.675,0.674,0.349,0.126,0.097,0.058
0.675,0.673,0.674,0.673,0.347,0.155,0.126,0.091
0.676,0.675,0.675,0.675,0.35,0.135,0.106,0.07
0.684,0.678,0.688,0.677,0.365,0.153,0.127,0.062
0.684,0.678,0.688,0.677,0.365,0.148,0.122,0.057
0.684,0.677,0.69,0.676,0.367,0.118,0.092,0.027
0.676,0.675,0.675,0.675,0.35,0.168,0.139,0.103
0.677,0.676,0.676,0.676,0.353,0.171,0.142,0.105
0.682,0.676,0.686,0.675,0.362,0.179,0.153,0.089
0.685,0.679,0.689,0.678,0.368,0.158,0.131,0.068
0.684,0.678,0.689,0.677,0.367,0.136,0.109,0.048
0.676,0.674,0.675,0.674,0.349,0.137,0.108,0.073
0.684,0.678,0.688,0.677,0.366,0.175,0.149,0.084
0.676,0.675,0.675,0.675,0.35,0.168,0.139,0.103
0.675,0.674,0.674,0.674,0.348,0.133,0.104,0.064
0.684,0.677,0.688,0.676,0.366,0.14,0.113,0.053
0.678,0.677,0.677,0.677,0.354,0.185,0.156,0.117
0.682,0.682,0.682,0.682,0.363,0.225,0.196,0.154
0.679,0.678,0.678,0.678,0.357,0.211,0.182,0.143
0.676,0.675,0.675,0.675,0.35,0.139,0.11,0.076
0.678,0.677,0.677,0.677,0.354,0.185,0.156,0.117
0.681,0.68,0.68,0.68,0.359,0.193,0.164,0.122
0.679,0.677,0.677,0.677,0.354,0.131,0.103,0.063
0.68,0.679,0.679,0.679,0.358,0.206,0.177,0.136
0.68,0.679,0.679,0.679,0.357,0.187,0.159,0.117
0.678,0.676,0.677,0.676,0.353,0.12,0.091,0.051
0.676,0.675,0.675,0.675,0.35,0.168,0.139,0.103
0.68,0.679,0.679,0.679,0.358,0.195,0.166,0.122
0.678,0.677,0.677,0.677,0.354,0.184,0.155,0.112
0.676,0.675,0.675,0.675,0.35,0.145,0.116,0.082
0.686,0.679,0.691,0.678,0.369,0.133,0.106,0.043
0.679,0.678,0.678,0.678,0.355,0.189,0.16,0.12
0.678,0.677,0.677,0.677,0.354,0.177,0.148,0.11
0.677,0.675,0.676,0.675,0.351,0.118,0.089,0.049
0.679,0.678,0.678,0.678,0.355,0.205,0.177,0.134
0.677,0.672,0.678,0.672,0.35,0.208,0.183,0.127
0.684,0.678,0.687,0.677,0.365,0.179,0.153,0.089
0.676,0.675,0.675,0.675,0.35,0.168,0.139,0.103
0.684,0.677,0.688,0.676,0.366,0.165,0.139,0.073
0.677,0.675,0.676,0.675,0.351,0.125,0.096,0.059
