,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.893,0.661,0.773,0.697,0.42,0.199,0.163,0.204,19
1,0.892,0.641,0.778,0.678,0.396,0.187,0.165,0.218,19
2,0.9,0.731,0.777,0.751,0.507,0.219,0.155,0.186,19
3,0.896,0.63,0.815,0.671,0.405,0.121,0.102,0.156,19
4,0.901,0.671,0.808,0.712,0.459,0.143,0.104,0.146,19
5,0.889,0.626,0.772,0.662,0.371,0.185,0.176,0.248,19
6,0.896,0.741,0.768,0.754,0.509,0.19,0.083,0.078,1
7,0.904,0.725,0.8,0.755,0.52,0.214,0.133,0.175,1
8,0.899,0.724,0.78,0.748,0.501,0.254,0.168,0.19,1
9,0.901,0.721,0.791,0.749,0.507,0.205,0.119,0.143,1
10,0.901,0.689,0.802,0.727,0.477,0.184,0.121,0.168,1
11,0.898,0.681,0.795,0.719,0.462,0.179,0.112,0.142,1
12,0.88,0.75,0.727,0.738,0.477,0.203,0.112,0.1,0
13,0.901,0.706,0.788,0.737,0.487,0.196,0.156,0.223,0
14,0.902,0.69,0.796,0.727,0.475,0.194,0.169,0.257,0
15,0.898,0.655,0.796,0.695,0.429,0.181,0.166,0.246,0
16,0.899,0.743,0.769,0.755,0.512,0.229,0.161,0.193,0
17,0.892,0.616,0.788,0.652,0.365,0.131,0.116,0.169,0
18,0.897,0.691,0.775,0.722,0.459,0.244,0.188,0.227,18
19,0.878,0.725,0.72,0.723,0.445,0.204,0.087,0.016,18
20,0.891,0.632,0.775,0.668,0.38,0.186,0.159,0.211,18
21,0.878,0.726,0.721,0.723,0.447,0.221,0.112,0.062,18
22,0.899,0.685,0.788,0.721,0.462,0.23,0.173,0.206,18
23,0.894,0.611,0.816,0.648,0.374,0.133,0.104,0.136,18
24,0.893,0.675,0.773,0.708,0.437,0.194,0.136,0.172,2
25,0.898,0.672,0.796,0.711,0.452,0.175,0.105,0.109,2
26,0.897,0.725,0.775,0.746,0.498,0.223,0.123,0.105,2
27,0.901,0.71,0.793,0.742,0.496,0.206,0.125,0.138,2
28,0.891,0.643,0.779,0.681,0.4,0.184,0.147,0.199,2
29,0.895,0.715,0.769,0.738,0.481,0.242,0.151,0.142,2
