,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.847,0.784,0.797,0.79,0.581,0.214,0.105,0.109,18
1,0.845,0.78,0.794,0.786,0.573,0.191,0.078,0.076,18
2,0.817,0.756,0.754,0.755,0.51,0.179,0.053,0.019,18
3,0.854,0.764,0.819,0.785,0.581,0.179,0.095,0.126,18
4,0.818,0.753,0.755,0.754,0.508,0.181,0.073,0.063,18
5,0.854,0.777,0.812,0.792,0.588,0.19,0.088,0.099,18
6,0.848,0.748,0.816,0.772,0.56,0.154,0.065,0.071,19
7,0.841,0.759,0.793,0.773,0.551,0.186,0.093,0.097,19
8,0.85,0.761,0.813,0.781,0.572,0.18,0.101,0.127,19
9,0.835,0.764,0.78,0.771,0.544,0.197,0.103,0.108,19
10,0.845,0.774,0.796,0.784,0.57,0.193,0.095,0.101,19
11,0.84,0.767,0.789,0.777,0.555,0.182,0.069,0.048,19
12,0.841,0.769,0.79,0.778,0.558,0.193,0.09,0.088,6
13,0.842,0.77,0.791,0.78,0.561,0.193,0.09,0.088,6
14,0.845,0.77,0.797,0.782,0.567,0.184,0.081,0.08,6
15,0.85,0.757,0.816,0.779,0.57,0.173,0.095,0.122,6
16,0.843,0.773,0.792,0.782,0.565,0.185,0.074,0.063,6
17,0.836,0.773,0.78,0.776,0.553,0.197,0.086,0.076,6
18,0.85,0.774,0.81,0.789,0.582,0.177,0.082,0.093,7
19,0.843,0.786,0.792,0.789,0.578,0.203,0.098,0.101,7
20,0.817,0.75,0.756,0.753,0.506,0.165,0.056,0.034,7
21,0.854,0.782,0.814,0.796,0.595,0.166,0.054,0.047,7
22,0.849,0.75,0.823,0.775,0.568,0.145,0.055,0.061,7
23,0.848,0.775,0.805,0.788,0.579,0.177,0.075,0.078,7
24,0.808,0.742,0.742,0.742,0.484,0.178,0.075,0.059,5
25,0.849,0.775,0.802,0.787,0.576,0.185,0.077,0.075,5
26,0.848,0.784,0.797,0.79,0.581,0.214,0.115,0.13,5
27,0.849,0.75,0.817,0.774,0.562,0.168,0.088,0.111,5
28,0.843,0.731,0.816,0.759,0.54,0.17,0.129,0.196,5
29,0.809,0.743,0.742,0.742,0.485,0.173,0.071,0.06,5
30,0.851,0.779,0.805,0.79,0.583,0.178,0.058,0.04,4
31,0.853,0.779,0.809,0.792,0.588,0.19,0.086,0.091,4
32,0.853,0.774,0.812,0.79,0.584,0.188,0.094,0.109,4
33,0.849,0.758,0.813,0.779,0.568,0.171,0.078,0.087,4
34,0.849,0.78,0.801,0.789,0.58,0.189,0.069,0.05,4
35,0.846,0.761,0.804,0.778,0.564,0.166,0.057,0.046,4
36,0.833,0.721,0.804,0.747,0.519,0.159,0.11,0.161,0
37,0.849,0.783,0.806,0.793,0.588,0.197,0.099,0.115,0
38,0.84,0.767,0.793,0.778,0.559,0.189,0.088,0.088,0
39,0.849,0.771,0.811,0.787,0.58,0.187,0.106,0.139,0
40,0.84,0.779,0.79,0.784,0.569,0.206,0.101,0.102,0
41,0.847,0.769,0.806,0.784,0.574,0.186,0.096,0.114,0
42,0.849,0.788,0.8,0.793,0.587,0.208,0.099,0.099,1
43,0.845,0.775,0.797,0.785,0.571,0.176,0.054,0.031,1
44,0.844,0.772,0.797,0.783,0.569,0.182,0.064,0.044,1
45,0.811,0.751,0.747,0.749,0.498,0.181,0.068,0.042,1
46,0.847,0.77,0.803,0.784,0.572,0.179,0.066,0.051,1
47,0.844,0.779,0.794,0.786,0.573,0.184,0.068,0.055,1
48,0.849,0.76,0.811,0.78,0.569,0.173,0.08,0.087,3
49,0.809,0.748,0.745,0.746,0.492,0.183,0.069,0.038,3
50,0.846,0.771,0.801,0.784,0.571,0.184,0.072,0.058,3
51,0.849,0.78,0.803,0.79,0.583,0.189,0.075,0.062,3
52,0.848,0.761,0.809,0.78,0.568,0.169,0.073,0.077,3
53,0.85,0.756,0.818,0.779,0.571,0.154,0.053,0.049,3
54,0.835,0.712,0.821,0.741,0.521,0.149,0.106,0.164,2
55,0.849,0.761,0.816,0.782,0.575,0.176,0.081,0.094,2
56,0.843,0.745,0.812,0.769,0.554,0.175,0.101,0.134,2
57,0.84,0.764,0.796,0.778,0.56,0.188,0.087,0.091,2
58,0.844,0.763,0.803,0.779,0.565,0.192,0.103,0.123,2
59,0.842,0.762,0.801,0.778,0.562,0.19,0.101,0.121,2
60,0.848,0.753,0.812,0.775,0.562,0.17,0.082,0.097,9
61,0.851,0.742,0.828,0.771,0.564,0.151,0.069,0.089,9
62,0.848,0.781,0.797,0.788,0.578,0.198,0.093,0.1,9
63,0.85,0.764,0.809,0.782,0.571,0.185,0.089,0.099,9
64,0.832,0.774,0.774,0.774,0.548,0.213,0.091,0.067,9
65,0.853,0.766,0.815,0.786,0.579,0.172,0.068,0.068,9
66,0.842,0.741,0.805,0.764,0.542,0.161,0.078,0.09,8
67,0.85,0.787,0.8,0.793,0.587,0.191,0.078,0.073,8
68,0.807,0.743,0.74,0.742,0.483,0.179,0.079,0.068,8
69,0.848,0.765,0.804,0.781,0.567,0.168,0.062,0.055,8
70,0.848,0.775,0.799,0.786,0.574,0.192,0.086,0.081,8
71,0.847,0.766,0.802,0.781,0.567,0.177,0.075,0.074,8
72,0.856,0.768,0.825,0.79,0.591,0.163,0.069,0.078,14
73,0.851,0.767,0.811,0.785,0.577,0.177,0.087,0.099,14
74,0.812,0.743,0.748,0.746,0.491,0.165,0.066,0.052,14
75,0.847,0.741,0.823,0.768,0.558,0.133,0.036,0.028,14
76,0.85,0.774,0.806,0.788,0.58,0.184,0.09,0.101,14
77,0.846,0.759,0.807,0.777,0.563,0.176,0.099,0.126,14
78,0.844,0.776,0.794,0.784,0.569,0.196,0.082,0.066,15
79,0.846,0.776,0.797,0.785,0.572,0.193,0.084,0.074,15
80,0.845,0.756,0.803,0.774,0.557,0.181,0.101,0.123,15
81,0.848,0.77,0.803,0.784,0.573,0.183,0.083,0.086,15
82,0.855,0.777,0.816,0.793,0.592,0.176,0.077,0.084,15
83,0.852,0.781,0.808,0.793,0.588,0.191,0.091,0.098,15
84,0.844,0.735,0.817,0.762,0.546,0.149,0.074,0.092,17
85,0.854,0.764,0.822,0.786,0.583,0.159,0.059,0.058,17
86,0.85,0.755,0.817,0.778,0.568,0.157,0.069,0.08,17
87,0.849,0.778,0.802,0.789,0.579,0.184,0.075,0.067,17
88,0.817,0.747,0.754,0.75,0.501,0.163,0.048,0.016,17
89,0.845,0.752,0.807,0.773,0.556,0.168,0.081,0.091,17
90,0.846,0.779,0.797,0.787,0.576,0.186,0.071,0.055,16
91,0.836,0.755,0.784,0.767,0.538,0.168,0.075,0.08,16
92,0.854,0.787,0.808,0.797,0.595,0.195,0.085,0.081,16
93,0.851,0.78,0.805,0.791,0.584,0.197,0.103,0.119,16
94,0.827,0.747,0.77,0.757,0.517,0.188,0.091,0.083,16
95,0.853,0.752,0.827,0.778,0.574,0.156,0.079,0.104,16
96,0.841,0.763,0.795,0.777,0.557,0.192,0.094,0.102,12
97,0.815,0.75,0.753,0.751,0.503,0.168,0.058,0.043,12
98,0.82,0.747,0.761,0.753,0.508,0.175,0.086,0.097,12
99,0.84,0.767,0.793,0.778,0.559,0.188,0.07,0.054,12
100,0.842,0.766,0.795,0.779,0.561,0.186,0.081,0.082,12
101,0.846,0.77,0.802,0.784,0.571,0.191,0.101,0.126,12
102,0.839,0.77,0.787,0.778,0.556,0.185,0.076,0.064,13
103,0.844,0.745,0.811,0.769,0.552,0.142,0.035,0.016,13
104,0.839,0.785,0.784,0.784,0.569,0.2,0.082,0.063,13
105,0.813,0.751,0.75,0.75,0.501,0.183,0.078,0.062,13
106,0.834,0.756,0.782,0.767,0.537,0.175,0.071,0.059,13
107,0.844,0.771,0.796,0.782,0.566,0.182,0.068,0.048,13
108,0.848,0.773,0.805,0.786,0.577,0.187,0.084,0.091,11
109,0.835,0.756,0.786,0.769,0.541,0.185,0.087,0.089,11
110,0.853,0.79,0.809,0.798,0.598,0.198,0.079,0.071,11
111,0.84,0.738,0.807,0.762,0.54,0.158,0.075,0.089,11
112,0.842,0.762,0.797,0.776,0.557,0.19,0.091,0.096,11
113,0.843,0.773,0.795,0.783,0.567,0.19,0.075,0.064,11
114,0.813,0.743,0.751,0.747,0.495,0.172,0.053,0.015,10
115,0.841,0.761,0.796,0.775,0.556,0.177,0.07,0.061,10
116,0.849,0.753,0.82,0.777,0.569,0.161,0.076,0.095,10
117,0.809,0.745,0.746,0.745,0.491,0.171,0.044,0.003,10
118,0.845,0.78,0.796,0.788,0.576,0.196,0.077,0.06,10
119,0.847,0.767,0.807,0.783,0.572,0.174,0.064,0.053,10
