gen,nevals,avg,std,min,max
0,50,[0.81848 0.08722],[0.0094789  0.02723842],[0.794 0.059],[0.833 0.21 ]
1,4,[0.8156 0.0856],[0.0132     0.00897998],[0.793 0.073],[0.829 0.099]
2,4,[0.8176 0.09  ],[0.00649923 0.00414729],[0.809 0.084],[0.829 0.095]
3,5,[0.8152 0.109 ],[0.00549181 0.04962258],[0.811 0.079],[0.826 0.208]
4,4,[0.8176 0.1114],[0.00440908 0.05091797],[0.813 0.076],[0.826 0.212]
5,3,[0.818  0.1348],[0.00451664 0.06342681],[0.815 0.075],[0.827 0.212]
6,5,[0.82   0.1384],[0.00689928 0.05447421],[0.812 0.089],[0.829 0.206]
7,5,[0.8214 0.0872],[0.00471593 0.00919565],[0.816 0.071],[0.827 0.096]
8,5,[0.819  0.0934],[0.0043359  0.00733757],[0.814 0.081],[0.826 0.101]
9,4,[0.8148 0.1372],[0.00552811 0.05639291],[0.809 0.086],[0.825 0.208]
10,5,[0.8194 0.088 ],[0.00392938 0.00209762],[0.815 0.086],[0.825 0.091]
11,4,[0.819 0.086],[0.00404969 0.00374166],[0.814 0.079],[0.825 0.09 ]
12,3,[0.8208 0.0852],[0.00411825 0.00331059],[0.813 0.079],[0.825 0.088]
13,4,[0.8226 0.0844],[0.0004899  0.00671118],[0.822 0.073],[0.823 0.093]
14,3,[0.8226 0.0852],[0.0004899  0.00370945],[0.822 0.078],[0.823 0.088]
15,4,[0.824 0.078],[0.00316228 0.00734847],[0.821 0.065],[0.83  0.086]
16,3,[0.8236 0.079 ],[0.00349857 0.00761577],[0.82  0.065],[0.83  0.086]
17,5,[0.82  0.082],[0.00228035 0.00701427],[0.816 0.07 ],[0.822 0.091]
18,2,[0.8204 0.0808],[0.00313688 0.00587878],[0.816 0.07 ],[0.825 0.086]
19,3,[0.82   0.0806],[0.00340588 0.00387814],[0.816 0.074],[0.825 0.086]
20,5,[0.82   0.0742],[0.00428952 0.0082801 ],[0.815 0.058],[0.825 0.081]
21,2,[0.821 0.074],[0.00734847 0.00723878],[0.815 0.06 ],[0.83  0.081]
22,5,[0.8168 0.0738],[0.01225398 0.01340746],[0.793 0.053],[0.827 0.092]
23,4,[0.8194 0.08  ],[0.00492341 0.0085557 ],[0.815 0.069],[0.829 0.092]
24,3,[0.8226 0.0822],[0.00422374 0.00643117],[0.818 0.072],[0.829 0.091]
25,4,[0.8246 0.0744],[0.0058515  0.00770973],[0.818 0.064],[0.832 0.087]
