,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.677,0.67,0.681,0.669,0.351,0.139,0.094,0.058,1
1,0.678,0.671,0.682,0.67,0.353,0.163,0.122,0.071,1
2,0.672,0.663,0.679,0.661,0.342,0.037,0.016,0.02,1
3,0.674,0.667,0.679,0.666,0.346,0.093,0.046,0.019,1
4,0.677,0.67,0.682,0.668,0.352,0.12,0.073,0.041,1
5,0.68,0.673,0.683,0.672,0.356,0.131,0.084,0.054,1
6,0.674,0.667,0.681,0.664,0.347,0.054,0.001,0.007,1
7,0.669,0.66,0.677,0.657,0.337,0.046,0.005,0.014,1
8,0.649,0.64,0.657,0.635,0.296,0.116,0.08,0.045,1
9,0.638,0.628,0.647,0.621,0.275,0.006,0.036,0.083,1
10,0.65,0.64,0.659,0.635,0.299,0.106,0.069,0.037,1
11,0.611,0.596,0.634,0.574,0.226,0.034,0.013,0.027,1
12,0.613,0.601,0.625,0.588,0.224,0.081,0.071,0.012,1
13,0.529,0.5,0.264,0.346,0.0,0.0,0.0,0.0,1
14,0.642,0.637,0.641,0.637,0.278,0.135,0.106,0.072,0
15,0.643,0.638,0.642,0.638,0.28,0.138,0.107,0.079,0
16,0.642,0.636,0.642,0.635,0.278,0.129,0.097,0.075,0
17,0.629,0.623,0.629,0.622,0.252,0.052,0.025,0.005,0
18,0.639,0.631,0.643,0.627,0.273,0.013,0.012,0.06,0
19,0.649,0.643,0.65,0.642,0.293,0.056,0.017,0.012,0
20,0.531,0.5,0.265,0.347,0.0,0.0,0.0,0.0,0
21,0.669,0.659,0.666,0.659,0.324,0.236,0.215,0.151,2
22,0.662,0.652,0.659,0.653,0.311,0.193,0.176,0.1,2
23,0.666,0.657,0.663,0.658,0.32,0.165,0.141,0.086,2
24,0.665,0.655,0.661,0.655,0.316,0.114,0.09,0.034,2
25,0.661,0.651,0.658,0.652,0.309,0.091,0.069,0.008,2
26,0.663,0.653,0.66,0.654,0.313,0.119,0.097,0.036,2
27,0.663,0.653,0.66,0.653,0.313,0.121,0.098,0.04,2
28,0.652,0.639,0.649,0.639,0.289,0.064,0.041,0.007,2
29,0.658,0.647,0.655,0.647,0.302,0.103,0.08,0.028,2
30,0.663,0.653,0.66,0.654,0.313,0.11,0.086,0.032,2
31,0.65,0.635,0.65,0.633,0.285,0.024,0.005,0.054,2
32,0.551,0.5,0.276,0.355,0.0,0.0,0.0,0.0,2
33,0.663,0.652,0.665,0.651,0.317,0.248,0.222,0.157,3
34,0.655,0.646,0.654,0.645,0.3,0.209,0.186,0.114,3
35,0.659,0.646,0.663,0.643,0.309,0.149,0.114,0.082,3
36,0.655,0.641,0.661,0.638,0.301,0.087,0.067,0.015,3
37,0.654,0.64,0.66,0.636,0.299,0.063,0.043,0.039,3
38,0.631,0.614,0.641,0.603,0.253,0.083,0.056,0.031,3
39,0.616,0.596,0.629,0.579,0.223,0.008,0.007,0.063,3
40,0.603,0.578,0.629,0.546,0.201,0.082,0.108,0.107,3
41,0.671,0.665,0.67,0.665,0.335,0.252,0.225,0.176,19
42,0.666,0.66,0.665,0.66,0.324,0.119,0.085,0.065,19
43,0.666,0.659,0.666,0.659,0.325,0.127,0.095,0.069,19
44,0.661,0.652,0.662,0.652,0.314,0.074,0.049,0.002,19
45,0.659,0.651,0.66,0.65,0.311,0.045,0.016,0.017,19
46,0.656,0.648,0.656,0.647,0.304,0.051,0.021,0.008,19
47,0.66,0.653,0.659,0.653,0.312,0.098,0.063,0.053,19
48,0.606,0.587,0.619,0.568,0.203,0.058,0.042,0.022,19
49,0.536,0.5,0.268,0.349,0.0,0.0,0.0,0.0,19
50,0.648,0.634,0.64,0.635,0.274,0.061,0.046,0.011,7
51,0.651,0.635,0.643,0.636,0.278,0.049,0.029,0.015,7
52,0.568,0.5,0.284,0.362,0.0,0.0,0.0,0.0,7
