,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
148,0.667,0.659,0.666,0.659,0.325,0.186,0.163,0.09,4
149,0.668,0.66,0.667,0.661,0.327,0.207,0.184,0.107,4
150,0.667,0.659,0.667,0.659,0.326,0.18,0.157,0.08,4
151,0.648,0.637,0.65,0.634,0.286,0.138,0.117,0.062,4
152,0.635,0.622,0.637,0.618,0.259,0.069,0.049,0.001,4
153,0.639,0.628,0.641,0.625,0.268,0.057,0.033,0.006,4
154,0.619,0.605,0.622,0.597,0.226,0.027,0.007,0.017,4
155,0.614,0.593,0.633,0.572,0.223,0.022,0.042,0.053,4
156,0.539,0.5,0.27,0.35,0.0,0.0,0.0,0.0,4
157,0.657,0.65,0.656,0.65,0.306,0.184,0.168,0.112,5
158,0.655,0.648,0.654,0.648,0.302,0.151,0.133,0.088,5
159,0.64,0.629,0.642,0.627,0.271,0.106,0.092,0.043,5
160,0.643,0.632,0.645,0.629,0.277,0.108,0.094,0.041,5
161,0.631,0.621,0.631,0.618,0.251,0.049,0.036,0.017,5
162,0.615,0.597,0.627,0.582,0.222,0.043,0.033,0.014,5
163,0.6,0.579,0.615,0.554,0.19,0.027,0.036,0.063,5
164,0.538,0.5,0.269,0.35,0.0,0.0,0.0,0.0,5
165,0.679,0.672,0.684,0.671,0.356,0.164,0.14,0.073,1
166,0.675,0.668,0.679,0.666,0.347,0.136,0.111,0.05,1
167,0.679,0.672,0.683,0.671,0.355,0.152,0.127,0.061,1
168,0.68,0.673,0.684,0.672,0.357,0.146,0.121,0.057,1
169,0.68,0.673,0.685,0.672,0.358,0.153,0.128,0.062,1
170,0.676,0.669,0.682,0.668,0.351,0.136,0.111,0.048,1
171,0.63,0.623,0.633,0.619,0.256,0.031,0.049,0.106,1
172,0.617,0.606,0.624,0.598,0.23,0.074,0.063,0.016,1
173,0.604,0.589,0.624,0.566,0.21,0.022,0.01,0.038,1
174,0.529,0.5,0.264,0.346,0.0,0.0,0.0,0.0,1
175,0.645,0.64,0.644,0.64,0.284,0.211,0.191,0.141,0
176,0.645,0.639,0.644,0.639,0.283,0.201,0.181,0.132,0
177,0.637,0.631,0.637,0.631,0.269,0.16,0.139,0.106,0
178,0.636,0.629,0.636,0.628,0.265,0.146,0.125,0.092,0
179,0.632,0.625,0.632,0.624,0.258,0.129,0.109,0.073,0
180,0.615,0.606,0.618,0.6,0.223,0.077,0.059,0.037,0
181,0.624,0.619,0.622,0.619,0.242,0.092,0.068,0.075,0
182,0.622,0.616,0.621,0.615,0.237,0.095,0.075,0.057,0
183,0.624,0.618,0.623,0.616,0.241,0.1,0.077,0.075,0
184,0.609,0.596,0.62,0.582,0.215,0.028,0.013,0.021,0
185,0.602,0.588,0.613,0.572,0.2,0.072,0.059,0.02,0
