,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.77,0.674,0.709,0.686,0.382,0.035,0.005,0.034,5
1,0.733,0.672,0.667,0.669,0.339,0.092,0.118,0.099,5
2,0.763,0.662,0.699,0.674,0.359,0.033,0.078,0.01,5
3,0.76,0.588,0.736,0.588,0.288,0.038,0.036,0.02,5
4,0.727,0.5,0.363,0.421,0.0,0.0,0.0,0.0,5
5,0.737,0.663,0.699,0.672,0.36,0.036,0.018,0.128,4
6,0.747,0.668,0.74,0.679,0.402,0.063,0.032,0.002,6
7,0.72,0.627,0.709,0.63,0.326,0.078,0.061,0.005,6
8,0.733,0.646,0.727,0.653,0.365,0.059,0.031,0.005,6
9,0.72,0.646,0.693,0.653,0.335,0.03,0.069,0.049,6
10,0.807,0.732,0.763,0.744,0.494,0.057,0.018,0.029,7
11,0.817,0.747,0.776,0.759,0.522,0.101,0.084,0.035,7
12,0.797,0.714,0.75,0.728,0.463,0.12,0.111,0.053,7
13,0.8,0.683,0.777,0.705,0.451,0.077,0.054,0.044,7
14,0.8,0.706,0.76,0.723,0.463,0.152,0.151,0.078,7
15,0.79,0.717,0.738,0.726,0.455,0.023,0.063,0.044,7
16,0.713,0.657,0.648,0.652,0.305,0.111,0.185,0.056,7
17,0.767,0.705,0.708,0.706,0.413,0.066,0.059,0.002,7
18,0.723,0.5,0.362,0.42,0.0,0.0,0.0,0.0,7
19,0.757,0.638,0.702,0.651,0.334,0.005,0.051,0.0,3
20,0.747,0.635,0.683,0.646,0.314,0.058,0.029,0.037,3
21,0.717,0.5,0.358,0.417,0.0,0.0,0.0,0.0,3
22,0.73,0.668,0.693,0.675,0.36,0.062,0.051,0.057,2
23,0.737,0.655,0.709,0.665,0.36,0.022,0.044,0.001,2
24,0.74,0.675,0.707,0.684,0.381,0.012,0.013,0.019,2
25,0.747,0.673,0.72,0.684,0.39,0.014,0.018,0.033,2
26,0.767,0.708,0.714,0.711,0.422,0.038,0.029,0.001,0
27,0.727,0.662,0.665,0.663,0.327,0.013,0.035,0.025,0
28,0.75,0.696,0.695,0.695,0.391,0.042,0.036,0.032,0
29,0.73,0.679,0.673,0.675,0.351,0.008,0.077,0.023,0
30,0.713,0.5,0.357,0.416,0.0,0.0,0.0,0.0,0
31,0.77,0.644,0.74,0.659,0.372,0.071,0.075,0.031,1
32,0.76,0.651,0.709,0.665,0.355,0.003,0.009,0.014,1
33,0.753,0.657,0.695,0.668,0.35,0.067,0.089,0.07,1
34,0.757,0.669,0.7,0.68,0.368,0.043,0.057,0.06,1
35,0.75,0.651,0.69,0.662,0.339,0.034,0.034,0.0,1
36,0.73,0.633,0.661,0.642,0.293,0.015,0.011,0.01,1
37,0.713,0.5,0.357,0.416,0.0,0.0,0.0,0.0,1
38,0.773,0.688,0.744,0.703,0.428,0.052,0.032,0.011,15
39,0.773,0.688,0.744,0.703,0.428,0.006,0.026,0.035,15
40,0.767,0.68,0.734,0.694,0.41,0.006,0.02,0.041,15
41,0.693,0.5,0.347,0.409,0.0,0.0,0.0,0.0,15
42,0.733,0.666,0.691,0.674,0.356,0.03,0.009,0.016,14
43,0.727,0.639,0.685,0.648,0.32,0.041,0.083,0.022,14
44,0.723,0.653,0.678,0.661,0.33,0.042,0.079,0.047,14
45,0.73,0.672,0.687,0.678,0.358,0.057,0.028,0.028,14
46,0.733,0.663,0.691,0.672,0.353,0.07,0.044,0.038,14
47,0.733,0.674,0.684,0.678,0.358,0.031,0.003,0.073,16
48,0.767,0.707,0.726,0.715,0.433,0.066,0.032,0.055,16
49,0.78,0.696,0.754,0.712,0.446,0.118,0.093,0.011,16
50,0.753,0.668,0.712,0.679,0.377,0.06,0.014,0.009,16
51,0.757,0.67,0.718,0.682,0.385,0.048,0.004,0.01,16
52,0.693,0.5,0.347,0.409,0.0,0.0,0.0,0.0,16
53,0.753,0.637,0.733,0.648,0.358,0.073,0.057,0.012,17
54,0.76,0.642,0.751,0.654,0.378,0.067,0.041,0.025,17
55,0.757,0.643,0.738,0.655,0.368,0.132,0.108,0.086,17
56,0.66,0.579,0.587,0.581,0.166,0.021,0.036,0.07,17
57,0.693,0.5,0.347,0.409,0.0,0.0,0.0,0.0,17
58,0.747,0.649,0.667,0.656,0.315,0.157,0.168,0.109,13
59,0.75,0.664,0.674,0.668,0.337,0.026,0.007,0.011,13
60,0.75,0.647,0.67,0.656,0.317,0.127,0.119,0.101,13
61,0.76,0.565,0.735,0.554,0.246,0.038,0.071,0.011,13
62,0.747,0.661,0.67,0.665,0.331,0.021,0.004,0.005,13
63,0.743,0.513,0.871,0.451,0.137,0.01,0.02,0.0,13
64,0.74,0.506,0.87,0.438,0.097,0.005,0.01,0.0,13
65,0.737,0.5,0.368,0.424,0.0,0.0,0.0,0.0,13
66,0.73,0.663,0.691,0.671,0.353,0.062,0.05,0.128,12
67,0.737,0.649,0.708,0.659,0.353,0.049,0.063,0.016,12
68,0.673,0.5,0.337,0.402,0.0,0.0,0.0,0.0,12
69,0.767,0.671,0.766,0.686,0.427,0.05,0.007,0.006,10
70,0.773,0.682,0.773,0.698,0.446,0.097,0.047,0.029,10
71,0.757,0.643,0.782,0.651,0.401,0.075,0.036,0.019,10
72,0.77,0.69,0.754,0.705,0.439,0.108,0.063,0.017,10
73,0.717,0.651,0.671,0.657,0.321,0.067,0.041,0.029,10
74,0.703,0.644,0.656,0.648,0.299,0.065,0.018,0.028,10
75,0.677,0.5,0.338,0.404,0.0,0.0,0.0,0.0,10
76,0.727,0.626,0.7,0.632,0.318,0.05,0.027,0.06,11
77,0.727,0.647,0.689,0.656,0.334,0.075,0.077,0.025,11
78,0.697,0.636,0.649,0.64,0.284,0.13,0.157,0.115,11
79,0.717,0.574,0.775,0.549,0.286,0.065,0.096,0.022,11
80,0.69,0.628,0.641,0.632,0.268,0.08,0.113,0.031,11
81,0.717,0.574,0.775,0.549,0.286,0.035,0.063,0.001,11
82,0.783,0.71,0.734,0.72,0.443,0.017,0.089,0.014,19
83,0.773,0.696,0.72,0.705,0.416,0.043,0.096,0.038,19
84,0.78,0.69,0.733,0.704,0.42,0.005,0.052,0.006,19
85,0.76,0.691,0.728,0.702,0.418,0.046,0.023,0.019,18
