gen,nevals,avg,std,min,max
0,50,[0.60748 0.10472],[0.02082041 0.06160651],[0.565 0.023],[0.652 0.452]
1,4,[0.6012 0.1136],[0.01877658 0.02879305],[0.577 0.079],[0.621 0.162]
2,3,[0.6036 0.1046],[0.01518684 0.01687128],[0.58  0.082],[0.621 0.119]
3,3,[0.605  0.0872],[0.01551773 0.01894624],[0.588 0.062],[0.626 0.118]
4,4,[0.6122 0.1024],[0.01290581 0.01059434],[0.589 0.086],[0.626 0.116]
5,4,[0.6118 0.0968],[0.01147868 0.01742871],[0.589 0.077],[0.619 0.124]
6,4,[0.613  0.0824],[0.01224745 0.02303562],[0.589 0.048],[0.622 0.116]
7,3,[0.6016 0.0606],[0.01053755 0.02884164],[0.589 0.035],[0.621 0.116]
8,5,[0.6026 0.0812],[0.01163787 0.01922914],[0.586 0.067],[0.621 0.119]
9,3,[0.6172 0.098 ],[0.0097242  0.01914158],[0.598 0.073],[0.625 0.119]
10,3,[0.6238 0.1034],[0.00348712 0.02105802],[0.621 0.064],[0.629 0.119]
11,5,[0.6174 0.101 ],[0.01168931 0.02232487],[0.595 0.064],[0.627 0.124]
12,5,[0.6062 0.0784],[0.01195659 0.02449163],[0.593 0.053],[0.621 0.124]
13,4,[0.6086 0.1034],[0.01130664 0.03946948],[0.594 0.053],[0.62  0.152]
14,5,[0.614  0.1136],[0.01319091 0.02512847],[0.597 0.07 ],[0.636 0.142]
15,4,[0.6112 0.1068],[0.01085173 0.02171083],[0.592 0.07 ],[0.624 0.13 ]
16,3,[0.6102 0.0984],[0.0069685  0.03293995],[0.599 0.049],[0.616 0.13 ]
17,5,[0.611 0.088],[0.01069579 0.01948333],[0.591 0.056],[0.622 0.114]
18,4,[0.6174 0.0998],[0.01469149 0.02412799],[0.592 0.06 ],[0.632 0.125]
19,4,[0.6092 0.0922],[0.00936803 0.01945662],[0.592 0.06 ],[0.62  0.112]
20,3,[0.6142 0.1144],[0.01032279 0.020006  ],[0.598 0.09 ],[0.629 0.151]
21,3,[0.6202 0.118 ],[0.00570614 0.00718331],[0.614 0.107],[0.629 0.125]
22,5,[0.6274 0.095 ],[0.00972831 0.02903102],[0.614 0.05 ],[0.639 0.131]
23,5,[0.622 0.123],[0.01067708 0.01730896],[0.606 0.094],[0.637 0.137]
24,4,[0.6228 0.13  ],[0.00858836 0.01866548],[0.609 0.112],[0.634 0.166]
25,3,[0.6252 0.1172],[0.01430245 0.02837887],[0.602 0.078],[0.645 0.166]
