,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
124,0.847,0.753,0.808,0.774,0.558,0.155,0.053,0.045,8
125,0.832,0.74,0.78,0.756,0.519,0.157,0.077,0.092,8
126,0.829,0.723,0.782,0.744,0.501,0.142,0.049,0.039,8
127,0.808,0.695,0.746,0.713,0.438,0.174,0.097,0.088,8
128,0.824,0.715,0.775,0.736,0.486,0.173,0.122,0.163,8
129,0.855,0.774,0.816,0.791,0.589,0.175,0.063,0.06,18
130,0.855,0.772,0.817,0.79,0.587,0.177,0.069,0.069,18
131,0.845,0.757,0.802,0.775,0.558,0.188,0.102,0.125,18
132,0.836,0.735,0.793,0.756,0.525,0.17,0.098,0.126,18
133,0.848,0.742,0.821,0.769,0.558,0.148,0.062,0.077,18
134,0.849,0.755,0.813,0.776,0.565,0.173,0.103,0.147,18
135,0.846,0.749,0.81,0.772,0.556,0.162,0.075,0.092,18
136,0.816,0.689,0.771,0.713,0.453,0.15,0.097,0.127,18
137,0.825,0.711,0.78,0.734,0.486,0.161,0.097,0.123,18
138,0.854,0.763,0.82,0.785,0.581,0.163,0.074,0.088,19
139,0.845,0.76,0.802,0.777,0.56,0.152,0.045,0.032,19
140,0.834,0.719,0.798,0.745,0.512,0.122,0.04,0.041,19
141,0.834,0.729,0.793,0.752,0.518,0.151,0.068,0.072,19
142,0.815,0.739,0.752,0.745,0.49,0.153,0.052,0.036,19
143,0.784,0.754,0.72,0.732,0.472,0.243,0.137,0.116,19
144,0.815,0.687,0.769,0.711,0.449,0.107,0.042,0.051,19
145,0.852,0.752,0.823,0.777,0.571,0.15,0.053,0.057,9
146,0.83,0.745,0.776,0.758,0.52,0.175,0.105,0.142,9
147,0.821,0.738,0.761,0.748,0.499,0.18,0.079,0.067,9
148,0.817,0.722,0.757,0.736,0.477,0.163,0.098,0.128,9
149,0.842,0.723,0.82,0.752,0.534,0.145,0.073,0.095,9
150,0.82,0.718,0.764,0.736,0.48,0.173,0.081,0.069,9
