,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.59,0.592,0.593,0.59,0.185,0.103,0.07,0.082,1
1,0.653,0.647,0.653,0.646,0.3,0.116,0.07,0.064,1
2,0.619,0.617,0.617,0.617,0.235,0.059,0.015,0.035,1
3,0.656,0.651,0.656,0.651,0.307,0.124,0.071,0.088,1
4,0.636,0.63,0.636,0.629,0.266,0.102,0.051,0.085,1
5,0.581,0.562,0.609,0.519,0.164,0.073,0.054,0.051,1
6,0.518,0.494,0.477,0.393,-0.024,0.189,0.189,0.192,1
7,0.573,0.549,0.62,0.484,0.154,0.07,0.067,0.022,0
8,0.637,0.629,0.641,0.626,0.269,0.085,0.057,0.024,0
9,0.595,0.582,0.602,0.567,0.183,0.053,0.038,0.004,0
10,0.609,0.606,0.607,0.606,0.213,0.051,0.036,0.026,0
11,0.586,0.578,0.584,0.574,0.161,0.042,0.074,0.037,0
12,0.595,0.584,0.598,0.574,0.182,0.079,0.064,0.028,0
13,0.609,0.607,0.607,0.607,0.214,0.036,0.013,0.015,0
14,0.582,0.56,0.63,0.504,0.177,0.07,0.063,0.026,0
15,0.563,0.538,0.624,0.453,0.137,0.053,0.053,0.01,0
16,0.656,0.649,0.652,0.65,0.301,0.161,0.13,0.107,2
17,0.624,0.618,0.619,0.618,0.237,0.095,0.082,0.02,2
18,0.654,0.642,0.651,0.642,0.292,0.088,0.054,0.047,2
19,0.647,0.635,0.643,0.635,0.278,0.06,0.035,0.001,2
20,0.636,0.627,0.632,0.627,0.258,0.116,0.089,0.07,2
21,0.636,0.63,0.631,0.631,0.262,0.09,0.054,0.068,2
22,0.65,0.643,0.648,0.643,0.291,0.081,0.04,0.03,3
23,0.648,0.643,0.645,0.644,0.288,0.147,0.108,0.094,3
24,0.655,0.65,0.653,0.65,0.303,0.126,0.085,0.072,3
25,0.622,0.617,0.618,0.617,0.236,0.128,0.088,0.107,3
26,0.657,0.652,0.654,0.653,0.307,0.136,0.097,0.074,3
27,0.627,0.614,0.628,0.61,0.242,0.156,0.134,0.092,3
28,0.613,0.61,0.61,0.61,0.22,0.1,0.087,0.016,3
29,0.615,0.612,0.612,0.612,0.224,0.041,0.02,0.026,3
30,0.574,0.544,0.593,0.491,0.129,0.037,0.042,0.024,3
31,0.66,0.658,0.658,0.658,0.316,0.123,0.093,0.057,19
32,0.633,0.626,0.63,0.626,0.257,0.049,0.019,0.014,19
33,0.625,0.619,0.623,0.619,0.241,0.041,0.011,0.017,19
34,0.616,0.612,0.614,0.613,0.226,0.1,0.077,0.063,19
35,0.598,0.583,0.601,0.571,0.183,0.018,0.008,0.035,19
