,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.672,0.663,0.67,0.664,0.334,0.168,0.141,0.14,8
1,0.664,0.66,0.661,0.66,0.321,0.121,0.098,0.076,8
2,0.652,0.644,0.65,0.644,0.294,0.093,0.067,0.083,8
3,0.554,0.526,0.547,0.479,0.07,0.0,0.007,0.009,8
4,0.588,0.586,0.586,0.586,0.172,0.111,0.095,0.109,8
5,0.591,0.598,0.6,0.591,0.198,0.099,0.084,0.076,8
6,0.593,0.594,0.593,0.592,0.187,0.131,0.119,0.096,8
7,0.647,0.648,0.647,0.646,0.296,0.184,0.163,0.124,9
8,0.65,0.645,0.646,0.646,0.292,0.13,0.11,0.069,9
9,0.652,0.652,0.651,0.65,0.303,0.168,0.148,0.102,9
10,0.668,0.662,0.664,0.663,0.327,0.133,0.109,0.075,9
11,0.58,0.586,0.586,0.58,0.172,0.471,0.464,0.429,9
12,0.6,0.6,0.599,0.598,0.198,0.076,0.058,0.055,9
13,0.621,0.619,0.619,0.619,0.238,0.051,0.032,0.012,9
14,0.606,0.604,0.603,0.603,0.207,0.068,0.052,0.031,9
15,0.632,0.629,0.629,0.629,0.257,0.145,0.126,0.098,9
16,0.59,0.561,0.596,0.533,0.153,0.118,0.11,0.09,9
17,0.555,0.507,0.61,0.378,0.056,0.001,0.005,0.012,9
18,0.665,0.651,0.675,0.647,0.325,0.163,0.133,0.111,15
19,0.646,0.641,0.643,0.642,0.285,0.15,0.121,0.105,15
20,0.599,0.579,0.61,0.557,0.186,0.077,0.061,0.054,15
21,0.621,0.614,0.618,0.614,0.232,0.111,0.094,0.039,15
22,0.639,0.634,0.636,0.634,0.27,0.182,0.16,0.112,15
23,0.634,0.63,0.631,0.631,0.261,0.145,0.112,0.143,15
24,0.597,0.585,0.594,0.581,0.179,0.098,0.08,0.081,15
25,0.574,0.543,0.627,0.467,0.147,0.038,0.031,0.015,15
26,0.575,0.58,0.581,0.575,0.161,0.163,0.146,0.153,15
27,0.554,0.519,0.602,0.413,0.088,0.039,0.037,0.022,15
28,0.579,0.554,0.591,0.517,0.141,0.079,0.075,0.023,15
29,0.651,0.645,0.647,0.645,0.292,0.2,0.176,0.168,14
30,0.641,0.634,0.637,0.635,0.271,0.052,0.034,0.007,14
31,0.553,0.531,0.538,0.517,0.068,0.288,0.304,0.255,14
32,0.637,0.627,0.632,0.627,0.259,0.098,0.079,0.06,14
33,0.638,0.635,0.635,0.635,0.269,0.108,0.086,0.072,14
34,0.625,0.62,0.621,0.62,0.241,0.089,0.065,0.079,14
35,0.626,0.622,0.622,0.622,0.244,0.091,0.07,0.07,14
36,0.608,0.606,0.605,0.605,0.211,0.137,0.125,0.083,14
37,0.618,0.613,0.613,0.613,0.226,0.102,0.084,0.069,14
38,0.6,0.597,0.597,0.597,0.193,0.128,0.115,0.09,14
39,0.649,0.648,0.647,0.647,0.296,0.164,0.143,0.112,14
40,0.558,0.509,0.62,0.383,0.066,0.005,0.001,0.013,14
41,0.641,0.636,0.638,0.636,0.274,0.171,0.139,0.139,16
42,0.664,0.664,0.663,0.663,0.326,0.177,0.138,0.134,16
43,0.659,0.651,0.657,0.651,0.308,0.139,0.107,0.079,16
44,0.647,0.64,0.645,0.639,0.285,0.115,0.078,0.096,16
45,0.638,0.632,0.635,0.633,0.267,0.146,0.121,0.078,16
46,0.615,0.616,0.615,0.615,0.231,0.167,0.141,0.135,16
47,0.577,0.552,0.586,0.515,0.134,0.069,0.059,0.048,16
48,0.58,0.58,0.58,0.579,0.16,0.119,0.098,0.113,16
49,0.602,0.602,0.601,0.601,0.204,0.223,0.203,0.244,17
50,0.601,0.599,0.599,0.599,0.197,0.418,0.405,0.411,17
51,0.632,0.625,0.627,0.626,0.252,0.081,0.065,0.05,17
52,0.616,0.608,0.611,0.608,0.219,0.137,0.13,0.073,17
53,0.641,0.642,0.641,0.64,0.284,0.16,0.146,0.106,17
54,0.562,0.521,0.59,0.426,0.086,0.023,0.021,0.012,17
55,0.65,0.638,0.646,0.639,0.284,0.168,0.141,0.136,13
56,0.605,0.57,0.617,0.541,0.182,0.047,0.034,0.024,13
57,0.607,0.585,0.601,0.578,0.186,0.09,0.072,0.076,13
58,0.612,0.61,0.609,0.61,0.22,0.092,0.077,0.037,13
59,0.596,0.581,0.588,0.578,0.169,0.151,0.141,0.112,13
60,0.621,0.615,0.616,0.615,0.23,0.086,0.063,0.064,13
61,0.626,0.621,0.621,0.621,0.242,0.095,0.071,0.068,13
62,0.616,0.613,0.612,0.612,0.225,0.083,0.06,0.063,13
63,0.614,0.583,0.626,0.561,0.204,0.045,0.033,0.004,13
64,0.634,0.632,0.631,0.631,0.263,0.185,0.165,0.132,13
65,0.658,0.65,0.654,0.651,0.304,0.172,0.156,0.122,12
66,0.656,0.648,0.652,0.648,0.3,0.121,0.107,0.064,12
67,0.642,0.635,0.637,0.635,0.272,0.114,0.102,0.058,12
68,0.627,0.62,0.622,0.62,0.242,0.144,0.132,0.097,12
69,0.629,0.621,0.624,0.622,0.245,0.025,0.008,0.002,12
