gen,nevals,avg,std,min,max
0,50,[0.85098 0.21456],[0.00657416 0.01583813],[0.835 0.163],[0.861 0.244]
1,5,[0.8516 0.208 ],[0.00703136 0.01473771],[0.842 0.196],[0.859 0.236]
2,2,[0.8546 0.2088],[0.00677052 0.0138766 ],[0.842 0.197],[0.86  0.236]
3,5,[0.855  0.2102],[0.00619677 0.01256025],[0.843 0.198],[0.859 0.233]
4,4,[0.8552 0.2134],[0.00318748 0.00995188],[0.852 0.202],[0.859 0.227]
5,4,[0.8568 0.2138],[0.00231517 0.01446928],[0.854 0.202],[0.859 0.241]
6,4,[0.8562 0.1972],[0.00523068 0.01342237],[0.846 0.171],[0.86  0.208]
7,5,[0.8572 0.2062],[0.00263818 0.00581034],[0.852 0.199],[0.859 0.214]
8,5,[0.8584 0.2034],[0.00233238 0.0028    ],[0.854 0.2  ],[0.861 0.208]
9,3,[0.8578 0.2042],[0.00193907 0.00299333],[0.854 0.2  ],[0.859 0.208]
10,5,[0.8596 0.2076],[0.0008     0.00449889],[0.859 0.2  ],[0.861 0.214]
11,5,[0.8578 0.2078],[0.00391918 0.00808455],[0.85  0.201],[0.86  0.223]
12,4,[0.8592 0.2018],[0.00074833 0.00453431],[0.858 0.195],[0.86  0.209]
13,3,[0.8588 0.2036],[0.00074833 0.00412795],[0.858 0.199],[0.86  0.209]
14,2,[0.8582 0.2068],[0.00132665 0.00391918],[0.856 0.2  ],[0.86  0.212]
15,1,[0.859  0.2044],[0.00089443 0.00366606],[0.858 0.2  ],[0.86  0.208]
16,5,[0.8592 0.2074],[0.0004 0.0008],[0.859 0.206],[0.86  0.208]
17,3,[0.8594 0.208 ],[0.0004899  0.00089443],[0.859 0.207],[0.86  0.209]
18,4,[0.857  0.2118],[0.006      0.01075918],[0.845 0.204],[0.86  0.233]
19,3,[0.8584 0.207 ],[0.00233238 0.00167332],[0.854 0.204],[0.86  0.209]
20,5,[0.8562 0.2122],[0.00444522 0.00899778],[0.849 0.206],[0.86 0.23]
21,4,[0.855  0.2174],[0.00576194 0.0128    ],[0.847 0.208],[0.86  0.242]
22,4,[0.8484 0.2314],[0.00174356 0.00567803],[0.847 0.225],[0.851 0.242]
23,4,[0.848  0.2316],[0.00154919 0.00578273],[0.847 0.225],[0.851 0.242]
24,4,[0.847 0.235],[0.00167332 0.00654217],[0.844 0.227],[0.849 0.243]
25,5,[0.847 0.23 ],[0.00219089 0.01669731],[0.843 0.197],[0.849 0.242]
