gen,nevals,avg,std,min,max
0,50,[0.66746 0.14136],[0.00613257 0.08454674],[0.656 0.005],[0.677 0.294]
1,4,[0.6684 0.1156],[0.00711618 0.05843492],[0.657 0.04 ],[0.676 0.186]
2,5,[0.6728 0.1442],[0.0051923  0.03024831],[0.663 0.091],[0.677 0.174]
3,4,[0.6732 0.1462],[0.00348712 0.04483927],[0.667 0.067],[0.677 0.197]
4,5,[0.6736 0.1454],[0.00440908 0.0548693 ],[0.665 0.037],[0.677 0.188]
5,2,[0.6684 0.0848],[0.00471593 0.05878911],[0.665 0.037],[0.677 0.165]
6,3,[0.6668 0.088 ],[0.00256125 0.05780311],[0.663 0.003],[0.67  0.148]
7,3,[0.6656 0.073 ],[0.0032     0.05167591],[0.661 0.003],[0.67  0.148]
8,2,[0.6628 0.0898],[0.00381576 0.04067628],[0.659 0.038],[0.67  0.148]
9,3,[0.6624 0.1274],[0.00205913 0.0838513 ],[0.66  0.038],[0.666 0.259]
10,5,[0.6636 0.124 ],[0.00307246 0.06769343],[0.659 0.063],[0.667 0.237]
11,2,[0.6614 0.0718],[0.00387814 0.04971278],[0.657 0.025],[0.667 0.167]
12,4,[0.6622 0.0628],[0.00470744 0.05910465],[0.656 0.004],[0.667 0.172]
13,5,[0.6648 0.0834],[0.00354401 0.0508    ],[0.658 0.032],[0.668 0.165]
14,3,[0.6634 0.0952],[0.00313688 0.06771233],[0.658 0.01 ],[0.667 0.21 ]
15,3,[0.6646 0.0538],[0.00332265 0.03665733],[0.658 0.015],[0.667 0.12 ]
16,4,[0.6632 0.0402],[0.00318748 0.0306294 ],[0.657 0.015],[0.666 0.094]
17,3,[0.6622 0.029 ],[0.00324962 0.0158619 ],[0.657 0.008],[0.666 0.055]
18,5,[0.6656 0.0232],[0.002498   0.01606736],[0.661 0.005],[0.668 0.052]
19,3,[0.6662 0.014 ],[0.00193907 0.00517687],[0.663 0.009],[0.668 0.024]
20,4,[0.6654 0.0156],[0.00185472 0.00987117],[0.662 0.009],[0.667 0.035]
21,4,[0.664 0.029],[0.00228035 0.01294604],[0.66  0.009],[0.666 0.046]
22,4,[0.6632 0.0232],[0.00278568 0.01251239],[0.66  0.005],[0.667 0.038]
23,5,[0.665  0.0576],[0.00648074 0.05142995],[0.659 0.02 ],[0.677 0.159]
24,4,[0.6638 0.0634],[0.00365513 0.07673226],[0.659 0.004],[0.668 0.213]
25,3,[0.6642 0.0296],[0.00354401 0.01590723],[0.659 0.004],[0.668 0.047]
