accuracy,recall,precision,f1,mcc,spd,aod,eod
0.635,0.611,0.631,0.618,0.424,0.092,0.042,0.038
0.676,0.648,0.684,0.66,0.487,0.084,0.031,0.035
0.632,0.597,0.647,0.61,0.415,0.098,0.057,0.069
0.679,0.658,0.684,0.668,0.494,0.076,0.018,0.013
0.52,0.486,0.504,0.486,0.234,0.055,0.095,0.103
0.661,0.628,0.671,0.641,0.464,0.081,0.035,0.045
0.679,0.653,0.687,0.664,0.493,0.091,0.039,0.046
0.63,0.607,0.624,0.613,0.416,0.069,0.013,0.008
0.661,0.643,0.656,0.648,0.468,0.108,0.055,0.059
0.654,0.621,0.666,0.635,0.451,0.082,0.033,0.043
0.656,0.621,0.672,0.635,0.455,0.092,0.045,0.052
0.677,0.656,0.681,0.665,0.49,0.07,0.01,0.006
0.624,0.587,0.627,0.597,0.401,0.04,0.019,0.039
0.636,0.621,0.629,0.625,0.429,0.083,0.026,0.002
0.689,0.662,0.7,0.675,0.509,0.108,0.054,0.053
0.647,0.612,0.658,0.625,0.439,0.064,0.003,0.024
0.676,0.656,0.678,0.664,0.489,0.081,0.02,0.006
0.644,0.611,0.65,0.622,0.434,0.06,0.013,0.028
0.642,0.618,0.643,0.627,0.434,0.053,0.01,0.041
0.674,0.652,0.677,0.661,0.486,0.097,0.034,0.01
0.549,0.515,0.544,0.519,0.281,0.072,0.113,0.119
0.599,0.56,0.594,0.567,0.36,0.024,0.037,0.069
0.659,0.629,0.665,0.641,0.46,0.065,0.008,0.002
0.668,0.646,0.669,0.655,0.476,0.074,0.014,0.006
0.683,0.667,0.685,0.674,0.502,0.095,0.045,0.051
0.592,0.565,0.584,0.57,0.354,0.007,0.073,0.136
0.672,0.645,0.68,0.656,0.482,0.074,0.023,0.028
0.672,0.646,0.675,0.656,0.481,0.07,0.012,0.001
0.669,0.647,0.67,0.656,0.477,0.062,0.003,0.014
0.669,0.648,0.672,0.657,0.478,0.088,0.025,0.004
0.65,0.626,0.651,0.635,0.447,0.114,0.063,0.063
0.656,0.634,0.657,0.643,0.456,0.053,0.014,0.057
0.669,0.642,0.677,0.654,0.477,0.085,0.024,0.002
0.671,0.654,0.665,0.659,0.483,0.093,0.025,0.021
0.671,0.646,0.677,0.657,0.48,0.06,0.0,0.021
0.656,0.631,0.661,0.641,0.455,0.044,0.011,0.021
0.679,0.653,0.686,0.664,0.493,0.089,0.032,0.029
0.697,0.671,0.708,0.684,0.522,0.103,0.056,0.082
0.697,0.674,0.702,0.684,0.521,0.113,0.063,0.08
0.695,0.669,0.704,0.681,0.518,0.108,0.053,0.057
0.665,0.638,0.67,0.649,0.471,0.084,0.022,0.005
0.656,0.63,0.66,0.64,0.456,0.081,0.025,0.016
0.583,0.557,0.574,0.563,0.34,0.0,0.044,0.051
0.628,0.586,0.646,0.6,0.409,0.085,0.052,0.087
0.61,0.576,0.609,0.584,0.38,0.066,0.018,0.015
0.674,0.649,0.681,0.66,0.484,0.084,0.026,0.013
0.673,0.645,0.68,0.657,0.483,0.094,0.042,0.044
0.64,0.601,0.659,0.616,0.428,0.102,0.066,0.097
0.666,0.638,0.673,0.65,0.472,0.071,0.018,0.016
0.646,0.626,0.647,0.634,0.441,0.055,0.001,0.021
0.661,0.643,0.663,0.651,0.466,0.073,0.015,0.003
0.682,0.654,0.692,0.667,0.498,0.138,0.093,0.125
0.647,0.608,0.668,0.623,0.44,0.108,0.071,0.097
0.644,0.621,0.635,0.626,0.44,0.072,0.017,0.008
0.676,0.647,0.684,0.659,0.487,0.076,0.021,0.018
0.64,0.623,0.631,0.626,0.435,0.092,0.032,0.006
0.643,0.624,0.634,0.628,0.439,0.068,0.005,0.027
0.674,0.652,0.679,0.662,0.485,0.081,0.03,0.041
0.687,0.66,0.694,0.672,0.506,0.116,0.064,0.076
0.643,0.628,0.64,0.633,0.439,0.088,0.019,0.035
0.688,0.664,0.696,0.675,0.508,0.105,0.052,0.053
0.701,0.683,0.705,0.691,0.53,0.08,0.02,0.008
0.666,0.647,0.664,0.653,0.475,0.103,0.043,0.02
0.67,0.641,0.675,0.652,0.478,0.059,0.001,0.019
0.67,0.645,0.678,0.656,0.479,0.079,0.018,0.003
0.676,0.655,0.678,0.664,0.488,0.075,0.013,0.007
0.686,0.657,0.699,0.67,0.503,0.119,0.077,0.113
0.677,0.655,0.681,0.665,0.49,0.069,0.01,0.004
0.676,0.648,0.681,0.66,0.487,0.086,0.031,0.037
0.665,0.636,0.675,0.649,0.47,0.078,0.029,0.039
0.663,0.633,0.675,0.646,0.467,0.069,0.014,0.005
0.677,0.647,0.688,0.66,0.488,0.071,0.02,0.025
0.665,0.638,0.672,0.649,0.47,0.069,0.009,0.011
0.672,0.642,0.684,0.655,0.481,0.085,0.038,0.056
0.694,0.671,0.701,0.682,0.517,0.112,0.062,0.08
0.674,0.643,0.688,0.657,0.485,0.118,0.07,0.082
0.661,0.628,0.673,0.641,0.463,0.073,0.018,0.005
0.703,0.68,0.711,0.691,0.533,0.116,0.065,0.081
0.667,0.631,0.68,0.645,0.472,0.085,0.033,0.033
0.683,0.656,0.696,0.669,0.5,0.111,0.063,0.083
0.681,0.65,0.694,0.664,0.495,0.091,0.04,0.05
0.674,0.647,0.685,0.659,0.485,0.085,0.035,0.045
0.668,0.637,0.68,0.651,0.474,0.073,0.025,0.04
0.666,0.642,0.671,0.652,0.473,0.071,0.018,0.021
0.68,0.65,0.69,0.663,0.494,0.1,0.052,0.072
0.685,0.655,0.695,0.668,0.502,0.139,0.098,0.133
0.684,0.656,0.694,0.668,0.501,0.12,0.078,0.115
0.656,0.625,0.665,0.638,0.455,0.091,0.048,0.068
0.657,0.625,0.667,0.638,0.456,0.105,0.057,0.065
0.682,0.653,0.693,0.666,0.498,0.121,0.074,0.097
0.672,0.643,0.684,0.656,0.481,0.095,0.048,0.064
0.656,0.624,0.666,0.637,0.455,0.085,0.04,0.057
0.66,0.627,0.67,0.64,0.461,0.093,0.04,0.037
0.691,0.661,0.703,0.674,0.512,0.125,0.079,0.1
0.693,0.665,0.705,0.678,0.515,0.123,0.081,0.12
0.67,0.642,0.679,0.654,0.478,0.085,0.032,0.031
0.667,0.637,0.677,0.65,0.473,0.083,0.03,0.027
0.655,0.62,0.668,0.634,0.453,0.082,0.033,0.038
0.661,0.631,0.674,0.644,0.463,0.081,0.034,0.049
0.696,0.668,0.708,0.681,0.52,0.125,0.081,0.115
0.672,0.64,0.684,0.654,0.481,0.095,0.044,0.05
0.661,0.633,0.668,0.644,0.464,0.091,0.043,0.053
0.67,0.648,0.674,0.657,0.479,0.058,0.003,0.024
0.666,0.635,0.675,0.647,0.471,0.089,0.037,0.037
0.687,0.661,0.699,0.673,0.506,0.132,0.09,0.129
0.666,0.63,0.679,0.644,0.471,0.087,0.037,0.046
0.697,0.674,0.704,0.685,0.522,0.087,0.033,0.035
0.691,0.668,0.697,0.678,0.512,0.091,0.035,0.034
0.699,0.671,0.709,0.683,0.525,0.12,0.072,0.095
0.681,0.654,0.686,0.665,0.496,0.093,0.042,0.056
0.66,0.63,0.668,0.642,0.461,0.077,0.028,0.035
0.676,0.648,0.684,0.66,0.488,0.071,0.015,0.008
0.667,0.637,0.672,0.649,0.473,0.083,0.03,0.028
0.699,0.675,0.709,0.687,0.526,0.119,0.069,0.084
0.698,0.676,0.703,0.686,0.523,0.123,0.077,0.102
0.686,0.661,0.692,0.672,0.504,0.091,0.038,0.039
0.666,0.637,0.673,0.649,0.471,0.069,0.013,0.0
0.695,0.669,0.702,0.68,0.518,0.117,0.068,0.088
0.701,0.678,0.71,0.689,0.529,0.109,0.06,0.081
0.652,0.612,0.673,0.627,0.448,0.104,0.067,0.106
0.559,0.523,0.559,0.529,0.296,0.092,0.139,0.163
0.666,0.638,0.671,0.649,0.471,0.072,0.015,0.003
0.566,0.53,0.567,0.535,0.307,0.063,0.105,0.105
0.673,0.649,0.679,0.659,0.484,0.077,0.02,0.011
0.666,0.636,0.674,0.648,0.471,0.082,0.031,0.039
0.668,0.641,0.674,0.652,0.475,0.066,0.011,0.003
0.588,0.551,0.589,0.559,0.342,0.035,0.088,0.113
0.673,0.645,0.681,0.657,0.482,0.075,0.023,0.022
0.575,0.538,0.576,0.545,0.32,0.05,0.093,0.095
0.606,0.57,0.61,0.579,0.372,0.021,0.074,0.097
0.587,0.549,0.586,0.556,0.339,0.042,0.092,0.108
0.666,0.637,0.674,0.649,0.471,0.071,0.015,0.004
0.589,0.55,0.59,0.558,0.343,0.014,0.057,0.052
0.674,0.647,0.679,0.658,0.484,0.089,0.033,0.022
0.671,0.646,0.674,0.656,0.48,0.088,0.029,0.016
0.664,0.639,0.667,0.649,0.468,0.082,0.032,0.037
0.674,0.644,0.683,0.657,0.484,0.078,0.022,0.017
0.669,0.64,0.676,0.652,0.476,0.09,0.036,0.032
0.678,0.65,0.686,0.662,0.491,0.079,0.018,0.002
0.574,0.536,0.581,0.545,0.318,0.029,0.078,0.102
0.668,0.64,0.674,0.651,0.474,0.095,0.046,0.056
0.669,0.642,0.678,0.654,0.477,0.077,0.023,0.022
0.67,0.643,0.676,0.654,0.478,0.067,0.011,0.004
0.67,0.642,0.678,0.654,0.478,0.083,0.029,0.026
0.671,0.643,0.678,0.655,0.479,0.076,0.021,0.013
0.673,0.655,0.675,0.662,0.486,0.082,0.019,0.006
0.67,0.641,0.68,0.654,0.477,0.067,0.011,0.007
0.682,0.654,0.69,0.666,0.497,0.073,0.009,0.015
0.686,0.662,0.689,0.672,0.504,0.1,0.049,0.06
0.692,0.666,0.702,0.678,0.513,0.118,0.069,0.089
0.666,0.645,0.666,0.653,0.473,0.085,0.042,0.068
0.689,0.667,0.694,0.677,0.509,0.093,0.038,0.038
0.676,0.65,0.684,0.662,0.488,0.094,0.04,0.041
0.679,0.656,0.685,0.666,0.493,0.084,0.026,0.016
0.625,0.603,0.624,0.611,0.411,0.022,0.02,0.084
0.657,0.633,0.66,0.642,0.461,0.045,0.016,0.002
0.674,0.65,0.678,0.659,0.488,0.027,0.01,0.049
0.668,0.641,0.674,0.652,0.478,0.02,0.015,0.051
0.651,0.629,0.653,0.638,0.452,0.023,0.007,0.037
0.636,0.6,0.649,0.612,0.426,0.032,0.0,0.034
0.678,0.654,0.681,0.663,0.496,0.066,0.042,0.04
0.667,0.648,0.667,0.655,0.478,0.05,0.02,0.005
0.653,0.622,0.657,0.632,0.454,0.022,0.01,0.04
