accuracy,recall,precision,f1,mcc,spd,aod,eod
0.69,0.685,0.657,0.659,0.341,0.049,0.004,0.006
0.733,0.667,0.672,0.669,0.339,0.038,0.017,0.01
0.73,0.665,0.668,0.666,0.333,0.003,0.055,0.019
0.69,0.689,0.659,0.66,0.346,0.025,0.029,0.023
0.69,0.685,0.657,0.659,0.341,0.049,0.004,0.006
0.733,0.667,0.672,0.669,0.339,0.053,0.006,0.032
0.69,0.685,0.657,0.659,0.341,0.049,0.004,0.006
0.687,0.69,0.659,0.659,0.347,0.02,0.081,0.059
0.733,0.667,0.672,0.669,0.339,0.053,0.006,0.032
0.683,0.684,0.654,0.654,0.337,0.0,0.059,0.037
0.69,0.685,0.657,0.659,0.341,0.049,0.004,0.006
0.733,0.667,0.672,0.669,0.339,0.038,0.017,0.01
0.69,0.685,0.657,0.659,0.341,0.064,0.007,0.028
0.727,0.666,0.666,0.666,0.332,0.012,0.073,0.032
0.737,0.669,0.676,0.672,0.345,0.043,0.014,0.017
0.733,0.667,0.672,0.669,0.339,0.038,0.017,0.01
0.737,0.669,0.676,0.672,0.345,0.043,0.014,0.017
0.733,0.667,0.672,0.669,0.339,0.038,0.017,0.01
0.69,0.685,0.657,0.659,0.341,0.049,0.004,0.006
0.733,0.667,0.672,0.669,0.339,0.038,0.017,0.01
0.733,0.667,0.672,0.669,0.339,0.053,0.006,0.032
0.733,0.667,0.672,0.669,0.339,0.053,0.006,0.032
0.733,0.667,0.672,0.669,0.339,0.053,0.006,0.032
0.693,0.688,0.659,0.661,0.346,0.069,0.01,0.034
0.727,0.662,0.665,0.663,0.327,0.002,0.059,0.025
0.72,0.71,0.681,0.687,0.39,0.159,0.08,0.148
0.733,0.667,0.672,0.669,0.339,0.053,0.006,0.032
0.68,0.689,0.657,0.654,0.344,0.026,0.091,0.057
0.737,0.669,0.676,0.672,0.345,0.028,0.025,0.005
0.69,0.689,0.659,0.66,0.346,0.025,0.029,0.023
0.733,0.667,0.672,0.669,0.339,0.053,0.006,0.032
0.683,0.688,0.657,0.656,0.343,0.011,0.073,0.043
0.743,0.674,0.683,0.678,0.357,0.068,0.004,0.052
0.733,0.667,0.672,0.669,0.339,0.053,0.006,0.032
0.693,0.688,0.659,0.661,0.346,0.055,0.001,0.012
0.683,0.684,0.654,0.654,0.337,0.0,0.059,0.037
0.71,0.699,0.671,0.676,0.37,0.139,0.06,0.134
0.69,0.685,0.657,0.659,0.341,0.049,0.004,0.006
0.733,0.667,0.672,0.669,0.339,0.053,0.006,0.032
0.737,0.669,0.676,0.672,0.345,0.028,0.025,0.005
0.69,0.685,0.657,0.659,0.341,0.035,0.015,0.016
0.693,0.691,0.661,0.663,0.351,0.015,0.049,0.016
0.737,0.669,0.676,0.672,0.345,0.028,0.025,0.005
0.693,0.688,0.659,0.661,0.346,0.069,0.01,0.034
0.73,0.665,0.668,0.666,0.333,0.003,0.055,0.019
0.69,0.685,0.657,0.659,0.341,0.049,0.004,0.006
0.733,0.667,0.672,0.669,0.339,0.038,0.017,0.01
0.673,0.688,0.655,0.65,0.341,0.061,0.123,0.099
0.69,0.685,0.657,0.659,0.341,0.049,0.004,0.006
0.737,0.669,0.676,0.672,0.345,0.028,0.025,0.005
0.69,0.685,0.657,0.659,0.341,0.049,0.004,0.006
0.733,0.667,0.672,0.669,0.339,0.038,0.017,0.01
0.733,0.667,0.672,0.669,0.339,0.053,0.006,0.032
0.697,0.69,0.661,0.664,0.35,0.089,0.025,0.063
0.727,0.655,0.663,0.659,0.318,0.011,0.065,0.034
0.733,0.667,0.672,0.669,0.339,0.023,0.028,0.012
0.693,0.688,0.659,0.661,0.346,0.084,0.021,0.057
0.693,0.688,0.659,0.661,0.346,0.069,0.01,0.034
0.73,0.658,0.666,0.661,0.324,0.009,0.051,0.005
0.69,0.685,0.657,0.659,0.341,0.049,0.004,0.006
0.737,0.669,0.676,0.672,0.345,0.028,0.025,0.005
0.693,0.691,0.661,0.663,0.351,0.0,0.06,0.039
0.69,0.685,0.657,0.659,0.341,0.064,0.007,0.028
0.69,0.685,0.657,0.659,0.341,0.049,0.004,0.006
0.69,0.685,0.657,0.659,0.341,0.079,0.018,0.05
0.69,0.685,0.657,0.659,0.341,0.049,0.004,0.006
