gen,nevals,avg,std,min,max
0,50,[0.597   0.10706],[0.05275566 0.09075889],[0.536 0.   ],[0.673 0.44 ]
1,3,[0.5688 0.0386],[0.04586676 0.05438235],[0.536 0.   ],[0.653 0.139]
2,4,[0.5796 0.0586],[0.03880515 0.06166231],[0.536 0.   ],[0.651 0.17 ]
3,3,[0.5856 0.071 ],[0.04674441 0.07601842],[0.536 0.   ],[0.668 0.164]
4,3,[0.609  0.1136],[0.04344652 0.05924053],[0.536 0.   ],[0.668 0.164]
5,3,[0.6466 0.1298],[0.02007586 0.04094093],[0.618 0.064],[0.67  0.188]
6,3,[0.6528 0.1598],[0.0152368 0.0295459],[0.633 0.112],[0.673 0.192]
7,5,[0.6448 0.1258],[0.01923954 0.03558314],[0.617 0.057],[0.669 0.158]
8,5,[0.638  0.1152],[0.02625262 0.03908657],[0.596 0.049],[0.67  0.168]
9,4,[0.6274 0.1364],[0.01782807 0.05675421],[0.596 0.049],[0.647 0.19 ]
10,4,[0.637  0.1312],[0.00562139 0.03330105],[0.631 0.087],[0.647 0.172]
11,5,[0.6368 0.1254],[0.00661513 0.02624195],[0.629 0.082],[0.646 0.152]
12,4,[0.6352 0.1082],[0.00708237 0.03917346],[0.627 0.048],[0.646 0.156]
13,5,[0.6208 0.0772],[0.04246128 0.04357706],[0.536 0.   ],[0.646 0.125]
14,3,[0.6152 0.0822],[0.04092628 0.05411987],[0.536 0.   ],[0.642 0.152]
15,5,[0.5962 0.0584],[0.05007754 0.05351112],[0.536 0.   ],[0.647 0.12 ]
16,3,[0.5958 0.058 ],[0.04967655 0.05305469],[0.536 0.   ],[0.645 0.119]
17,4,[0.6398 0.1326],[0.00899778 0.03929682],[0.623 0.095],[0.649 0.207]
18,5,[0.6372 0.139 ],[0.01018627 0.0425488 ],[0.625 0.071],[0.651 0.196]
19,3,[0.6448 0.149 ],[0.00982649 0.02579922],[0.626 0.126],[0.652 0.196]
20,4,[0.6378 0.1162],[0.01343726 0.05072041],[0.621 0.04 ],[0.652 0.183]
21,3,[0.6454 0.1594],[0.01339552 0.04373831],[0.62  0.072],[0.657 0.183]
22,2,[0.6408 0.1272],[0.01877658 0.04593212],[0.62  0.072],[0.666 0.178]
23,5,[0.6396 0.1316],[0.01849973 0.05909179],[0.607 0.022],[0.658 0.192]
24,3,[0.6308 0.1162],[0.03147316 0.01882976],[0.569 0.095],[0.657 0.144]
25,4,[0.6196 0.1124],[0.038061  0.0608559],[0.568 0.026],[0.657 0.171]
