gen,nevals,avg,std,min,max
0,50,[0.81314 0.1944 ],[0.01384776 0.09721667],[0.789 0.113],[0.855 0.564]
1,3,[0.8148 0.1526],[0.01278124 0.01805104],[0.801 0.119],[0.839 0.171]
2,4,[0.817  0.1532],[0.00551362 0.01945662],[0.811 0.118],[0.827 0.178]
3,5,[0.8104 0.2266],[0.00714423 0.13071741],[0.803 0.158],[0.821 0.488]
4,3,[0.8024 0.22  ],[0.00791454 0.13545036],[0.794 0.115],[0.816 0.488]
5,4,[0.8028 0.167 ],[0.00910824 0.0113842 ],[0.793 0.15 ],[0.818 0.182]
6,4,[0.8056 0.1628],[0.00731027 0.01355581],[0.796 0.145],[0.818 0.182]
7,3,[0.8082 0.1682],[0.00256125 0.01101635],[0.806 0.149],[0.813 0.18 ]
8,4,[0.8066 0.163 ],[0.00523832 0.0063561 ],[0.799 0.151],[0.815 0.168]
9,3,[0.8134 0.163 ],[0.01376372 0.00723878],[0.799 0.151],[0.839 0.171]
10,4,[0.8106 0.207 ],[0.01310878 0.1089275 ],[0.799 0.137],[0.835 0.424]
11,4,[0.8086 0.221 ],[0.01412232 0.10170939],[0.794 0.158],[0.835 0.424]
12,5,[0.8058 0.1632],[0.01036147 0.00730479],[0.792 0.152],[0.82  0.175]
13,4,[0.811  0.1582],[0.01461506 0.0056356 ],[0.792 0.151],[0.834 0.165]
14,5,[0.8126 0.166 ],[0.00725534 0.0112783 ],[0.806 0.149],[0.826 0.179]
15,3,[0.8002 0.1548],[0.00713863 0.019994  ],[0.791 0.118],[0.81  0.175]
16,5,[0.8038 0.1554],[0.00462169 0.01174053],[0.797 0.14 ],[0.809 0.169]
17,5,[0.7992 0.1638],[0.00746726 0.00957914],[0.79  0.151],[0.812 0.178]
18,4,[0.798  0.1642],[0.00414729 0.01028397],[0.79  0.146],[0.801 0.176]
19,4,[0.8048 0.1734],[0.01328759 0.00407922],[0.792 0.168],[0.83  0.178]
20,4,[0.8024 0.1592],[0.01430524 0.01119643],[0.783 0.144],[0.825 0.178]
21,3,[0.7974 0.2048],[0.00826075 0.0949324 ],[0.783 0.144],[0.805 0.394]
22,4,[0.7982 0.1592],[0.00932523 0.01982322],[0.783 0.132],[0.811 0.188]
23,2,[0.7932 0.1578],[0.0059127  0.02339573],[0.783 0.132],[0.801 0.188]
24,4,[0.797 0.156],[0.0054037  0.01945251],[0.789 0.132],[0.805 0.189]
25,3,[0.7988 0.1964],[0.00901998 0.09829059],[0.788 0.132],[0.815 0.392]
