,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.655,0.65,0.652,0.65,0.301,0.232,0.214,0.171,8
1,0.65,0.645,0.647,0.646,0.292,0.162,0.143,0.109,8
2,0.656,0.652,0.654,0.653,0.306,0.158,0.136,0.116,8
3,0.634,0.63,0.631,0.63,0.26,0.114,0.094,0.087,8
4,0.633,0.63,0.63,0.63,0.261,0.159,0.137,0.138,8
5,0.633,0.627,0.63,0.627,0.256,0.137,0.115,0.125,8
6,0.61,0.603,0.606,0.603,0.21,0.112,0.098,0.078,8
7,0.614,0.605,0.61,0.605,0.215,0.178,0.167,0.127,8
8,0.603,0.596,0.599,0.596,0.195,0.088,0.071,0.084,8
9,0.61,0.602,0.606,0.602,0.208,0.112,0.095,0.092,8
10,0.602,0.594,0.597,0.593,0.191,0.104,0.087,0.102,8
11,0.623,0.617,0.619,0.618,0.237,0.109,0.093,0.07,8
12,0.613,0.606,0.609,0.606,0.215,0.126,0.108,0.107,8
13,0.643,0.637,0.639,0.637,0.275,0.11,0.088,0.063,9
14,0.645,0.639,0.641,0.64,0.28,0.152,0.132,0.096,9
15,0.646,0.641,0.642,0.641,0.282,0.109,0.09,0.04,9
16,0.623,0.617,0.619,0.618,0.236,0.099,0.082,0.054,9
17,0.631,0.626,0.627,0.626,0.253,0.12,0.099,0.082,9
18,0.632,0.625,0.627,0.626,0.252,0.099,0.082,0.04,9
19,0.632,0.625,0.627,0.626,0.253,0.069,0.052,0.013,9
20,0.628,0.621,0.623,0.621,0.244,0.039,0.025,0.032,9
21,0.62,0.613,0.615,0.613,0.228,0.08,0.063,0.034,9
22,0.622,0.615,0.617,0.615,0.232,0.075,0.058,0.029,9
23,0.617,0.61,0.612,0.61,0.221,0.082,0.063,0.05,9
24,0.639,0.633,0.636,0.633,0.27,0.24,0.218,0.181,15
25,0.63,0.626,0.627,0.626,0.253,0.17,0.142,0.146,15
26,0.614,0.608,0.611,0.607,0.218,0.128,0.113,0.054,15
27,0.637,0.631,0.634,0.631,0.265,0.141,0.115,0.1,15
28,0.613,0.607,0.61,0.607,0.217,0.126,0.103,0.099,15
29,0.61,0.602,0.607,0.601,0.208,0.092,0.071,0.065,15
30,0.582,0.576,0.577,0.576,0.153,0.043,0.026,0.027,15
31,0.592,0.584,0.587,0.583,0.171,0.05,0.027,0.057,15
32,0.588,0.584,0.585,0.584,0.169,0.133,0.12,0.086,15
33,0.632,0.628,0.628,0.628,0.257,0.185,0.168,0.135,14
34,0.656,0.649,0.652,0.649,0.3,0.154,0.129,0.12,14
35,0.633,0.625,0.628,0.626,0.253,0.104,0.085,0.064,14
36,0.626,0.618,0.621,0.619,0.239,0.101,0.077,0.094,14
37,0.627,0.626,0.625,0.625,0.251,0.111,0.089,0.088,14
38,0.621,0.617,0.617,0.617,0.234,0.096,0.075,0.075,14
39,0.609,0.602,0.604,0.602,0.205,0.121,0.11,0.066,14
40,0.57,0.586,0.594,0.566,0.18,0.111,0.092,0.116,14
41,0.631,0.627,0.628,0.627,0.255,0.178,0.152,0.128,16
42,0.648,0.642,0.645,0.642,0.287,0.135,0.099,0.107,16
43,0.635,0.628,0.632,0.628,0.26,0.136,0.106,0.104,16
44,0.595,0.594,0.594,0.593,0.188,0.07,0.052,0.024,16
45,0.606,0.605,0.605,0.605,0.21,0.093,0.069,0.058,16
46,0.587,0.584,0.584,0.584,0.168,0.104,0.087,0.072,16
47,0.665,0.658,0.661,0.659,0.319,0.169,0.155,0.096,17
48,0.63,0.624,0.626,0.625,0.25,0.13,0.117,0.086,17
49,0.618,0.613,0.614,0.613,0.227,0.081,0.062,0.084,17
50,0.626,0.62,0.622,0.62,0.242,0.134,0.12,0.103,17
51,0.603,0.597,0.598,0.597,0.195,0.044,0.031,0.025,17
52,0.601,0.596,0.597,0.596,0.192,0.07,0.058,0.048,17
53,0.598,0.588,0.591,0.587,0.179,0.024,0.009,0.025,17
54,0.654,0.647,0.649,0.648,0.296,0.15,0.123,0.112,13
55,0.646,0.64,0.641,0.64,0.281,0.175,0.155,0.112,13
56,0.647,0.639,0.642,0.64,0.281,0.113,0.086,0.083,13
57,0.619,0.619,0.618,0.617,0.237,0.085,0.065,0.045,13
58,0.616,0.608,0.61,0.609,0.218,0.081,0.064,0.04,13
59,0.612,0.604,0.606,0.604,0.209,0.064,0.047,0.026,13
60,0.606,0.599,0.6,0.599,0.199,0.076,0.056,0.055,13
