,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.823,0.72,0.775,0.739,0.491,0.165,0.105,0.137,7
1,0.829,0.744,0.778,0.758,0.52,0.165,0.089,0.112,7
2,0.824,0.716,0.78,0.738,0.491,0.169,0.127,0.182,7
3,0.823,0.719,0.776,0.739,0.492,0.162,0.099,0.126,7
4,0.817,0.694,0.775,0.718,0.462,0.145,0.1,0.14,7
5,0.815,0.691,0.773,0.715,0.457,0.143,0.102,0.146,7
6,0.812,0.683,0.769,0.707,0.444,0.135,0.093,0.132,7
7,0.809,0.68,0.764,0.703,0.435,0.121,0.059,0.067,7
8,0.805,0.664,0.764,0.687,0.416,0.114,0.063,0.077,7
9,0.801,0.66,0.755,0.682,0.404,0.12,0.084,0.119,7
10,0.8,0.657,0.753,0.679,0.399,0.117,0.078,0.107,7
11,0.834,0.739,0.788,0.758,0.524,0.174,0.107,0.138,17
12,0.828,0.73,0.779,0.748,0.507,0.165,0.095,0.119,17
13,0.826,0.726,0.777,0.745,0.5,0.158,0.073,0.073,17
14,0.829,0.721,0.786,0.744,0.503,0.148,0.072,0.083,17
15,0.824,0.712,0.779,0.735,0.487,0.165,0.131,0.195,17
16,0.815,0.69,0.768,0.713,0.451,0.126,0.066,0.082,17
17,0.816,0.692,0.77,0.715,0.455,0.136,0.078,0.099,17
18,0.806,0.662,0.762,0.685,0.412,0.115,0.071,0.093,17
19,0.806,0.661,0.763,0.685,0.412,0.122,0.087,0.123,17
20,0.832,0.733,0.786,0.753,0.516,0.161,0.083,0.095,16
21,0.833,0.735,0.786,0.754,0.518,0.167,0.092,0.11,16
22,0.831,0.73,0.784,0.75,0.511,0.172,0.109,0.14,16
23,0.817,0.703,0.765,0.724,0.464,0.136,0.046,0.025,16
24,0.81,0.669,0.766,0.693,0.424,0.123,0.072,0.091,16
25,0.812,0.675,0.768,0.699,0.433,0.121,0.068,0.085,16
26,0.83,0.735,0.781,0.752,0.513,0.169,0.092,0.108,6
27,0.828,0.726,0.781,0.746,0.503,0.153,0.072,0.079,6
28,0.823,0.732,0.767,0.746,0.498,0.195,0.131,0.164,6
29,0.822,0.711,0.772,0.732,0.479,0.156,0.088,0.105,6
30,0.818,0.696,0.77,0.719,0.46,0.148,0.093,0.12,6
31,0.815,0.694,0.765,0.716,0.453,0.148,0.087,0.104,6
32,0.811,0.678,0.765,0.701,0.434,0.13,0.088,0.125,6
33,0.813,0.689,0.761,0.711,0.445,0.138,0.073,0.083,6
34,0.796,0.644,0.74,0.664,0.372,0.1,0.036,0.024,6
35,0.832,0.735,0.785,0.754,0.518,0.178,0.109,0.138,4
36,0.829,0.727,0.781,0.747,0.505,0.165,0.092,0.112,4
37,0.828,0.725,0.78,0.745,0.502,0.169,0.102,0.129,4
38,0.83,0.733,0.781,0.751,0.512,0.171,0.091,0.104,4
39,0.824,0.718,0.774,0.738,0.489,0.163,0.098,0.123,4
40,0.816,0.701,0.763,0.722,0.459,0.161,0.107,0.137,4
41,0.815,0.696,0.764,0.718,0.455,0.152,0.099,0.128,4
42,0.808,0.668,0.761,0.692,0.419,0.116,0.053,0.054,4
43,0.8,0.653,0.748,0.675,0.39,0.096,0.024,0.005,4
44,0.831,0.731,0.784,0.751,0.513,0.17,0.102,0.127,14
45,0.825,0.72,0.778,0.74,0.494,0.162,0.097,0.12,14
