,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.831,0.733,0.782,0.751,0.512,0.081,0.044,0.059,18
1,0.828,0.734,0.776,0.75,0.508,0.09,0.055,0.075,18
2,0.829,0.734,0.779,0.751,0.511,0.075,0.033,0.044,18
3,0.828,0.735,0.776,0.751,0.509,0.074,0.019,0.01,18
4,0.828,0.724,0.779,0.744,0.5,0.06,0.005,0.008,18
5,0.825,0.73,0.77,0.746,0.499,0.098,0.083,0.124,19
6,0.822,0.721,0.769,0.739,0.488,0.092,0.071,0.103,19
7,0.825,0.729,0.772,0.745,0.498,0.09,0.066,0.094,19
8,0.822,0.72,0.769,0.738,0.486,0.074,0.032,0.03,19
9,0.822,0.715,0.77,0.735,0.482,0.09,0.083,0.132,19
10,0.817,0.705,0.764,0.725,0.465,0.081,0.064,0.096,19
11,0.81,0.686,0.756,0.707,0.436,0.073,0.058,0.088,19
12,0.801,0.654,0.749,0.676,0.391,0.062,0.028,0.018,19
13,0.8,0.659,0.744,0.68,0.394,0.074,0.048,0.054,19
14,0.799,0.646,0.748,0.667,0.381,0.047,0.002,0.026,19
15,0.831,0.733,0.782,0.752,0.513,0.08,0.047,0.068,6
16,0.826,0.728,0.774,0.745,0.499,0.08,0.043,0.055,6
17,0.829,0.724,0.782,0.745,0.503,0.063,0.018,0.018,6
18,0.83,0.73,0.786,0.751,0.513,0.076,0.027,0.023,7
19,0.824,0.722,0.777,0.742,0.496,0.078,0.028,0.02,7
20,0.824,0.715,0.781,0.737,0.492,0.059,0.011,0.002,7
21,0.832,0.733,0.785,0.753,0.516,0.087,0.071,0.118,5
22,0.831,0.733,0.783,0.752,0.514,0.079,0.048,0.071,5
23,0.831,0.726,0.786,0.747,0.509,0.078,0.046,0.067,5
24,0.832,0.736,0.784,0.754,0.517,0.088,0.059,0.088,5
25,0.827,0.727,0.775,0.745,0.5,0.085,0.053,0.073,5
