,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
88,0.634,0.622,0.634,0.619,0.256,0.049,0.003,0.022,8
89,0.612,0.607,0.608,0.607,0.215,0.069,0.032,0.037,8
90,0.613,0.606,0.609,0.606,0.214,0.086,0.053,0.048,8
91,0.605,0.594,0.6,0.592,0.194,0.045,0.017,0.006,8
92,0.634,0.627,0.629,0.627,0.256,0.068,0.037,0.024,9
93,0.654,0.649,0.65,0.65,0.299,0.126,0.092,0.07,9
94,0.653,0.648,0.649,0.648,0.297,0.115,0.073,0.083,9
95,0.637,0.63,0.632,0.631,0.263,0.215,0.188,0.161,9
96,0.629,0.621,0.624,0.621,0.245,0.037,0.009,0.011,9
97,0.65,0.643,0.646,0.643,0.289,0.148,0.111,0.097,17
98,0.656,0.65,0.652,0.65,0.302,0.21,0.181,0.135,17
99,0.652,0.647,0.648,0.647,0.295,0.158,0.118,0.112,17
100,0.653,0.646,0.649,0.647,0.295,0.118,0.082,0.064,17
101,0.648,0.644,0.645,0.644,0.289,0.218,0.19,0.15,17
102,0.646,0.641,0.642,0.641,0.283,0.099,0.058,0.059,17
103,0.641,0.637,0.638,0.637,0.274,0.088,0.051,0.041,17
104,0.645,0.632,0.642,0.631,0.274,0.015,0.021,0.03,17
105,0.634,0.622,0.631,0.621,0.253,0.015,0.017,0.031,17
106,0.636,0.629,0.632,0.63,0.261,0.027,0.006,0.026,17
107,0.646,0.639,0.644,0.639,0.283,0.131,0.101,0.084,15
108,0.635,0.63,0.632,0.631,0.262,0.163,0.147,0.081,15
109,0.64,0.632,0.639,0.631,0.27,0.009,0.011,0.069,15
110,0.639,0.631,0.637,0.631,0.268,0.005,0.019,0.061,15
111,0.602,0.603,0.602,0.601,0.205,0.022,0.0,0.018,15
112,0.6,0.592,0.596,0.591,0.188,0.031,0.018,0.026,15
113,0.661,0.655,0.657,0.655,0.312,0.234,0.211,0.15,14
114,0.627,0.62,0.622,0.62,0.242,0.089,0.067,0.028,14
115,0.639,0.638,0.637,0.637,0.275,0.16,0.135,0.094,14
116,0.657,0.652,0.653,0.652,0.305,0.218,0.184,0.162,14
117,0.625,0.613,0.619,0.612,0.232,0.006,0.032,0.052,14
118,0.636,0.626,0.632,0.626,0.258,0.017,0.019,0.013,14
119,0.64,0.628,0.635,0.628,0.264,0.013,0.026,0.009,14
120,0.649,0.638,0.646,0.638,0.284,0.018,0.02,0.02,14
121,0.613,0.603,0.607,0.603,0.211,0.001,0.028,0.026,14
122,0.642,0.635,0.637,0.635,0.272,0.222,0.186,0.198,10
123,0.636,0.621,0.634,0.619,0.255,0.043,0.094,0.021,10
124,0.66,0.651,0.657,0.651,0.307,0.0,0.052,0.001,10
125,0.662,0.654,0.66,0.655,0.315,0.104,0.049,0.087,11
126,0.654,0.643,0.653,0.642,0.296,0.019,0.019,0.039,11
127,0.657,0.653,0.654,0.653,0.307,0.179,0.153,0.091,11
128,0.648,0.645,0.645,0.645,0.29,0.097,0.056,0.052,11
129,0.637,0.627,0.634,0.627,0.261,0.028,0.011,0.006,11
130,0.628,0.618,0.625,0.617,0.242,0.025,0.007,0.02,11
131,0.629,0.62,0.625,0.62,0.246,0.031,0.003,0.01,11
132,0.627,0.621,0.622,0.622,0.243,0.142,0.121,0.093,13
133,0.652,0.644,0.646,0.644,0.29,0.098,0.067,0.054,13
134,0.646,0.636,0.641,0.637,0.277,0.054,0.023,0.014,13
135,0.635,0.628,0.63,0.629,0.258,0.051,0.031,0.009,13
136,0.656,0.65,0.652,0.651,0.302,0.165,0.133,0.105,12
137,0.622,0.619,0.619,0.619,0.238,0.112,0.082,0.076,12
138,0.633,0.633,0.631,0.631,0.264,0.118,0.097,0.046,12
139,0.645,0.64,0.641,0.64,0.281,0.098,0.05,0.087,12
140,0.625,0.62,0.621,0.62,0.24,0.072,0.037,0.046,12
141,0.615,0.607,0.61,0.608,0.217,0.005,0.026,0.023,12
142,0.622,0.615,0.617,0.615,0.232,0.033,0.0,0.005,12
143,0.616,0.624,0.625,0.616,0.249,0.061,0.026,0.03,12
