accuracy,recall,precision,f1,mcc,spd,aod,eod
0.85,0.778,0.807,0.79,0.584,0.182,0.065,0.051
0.848,0.775,0.804,0.788,0.579,0.189,0.069,0.048
0.853,0.768,0.82,0.788,0.586,0.167,0.058,0.051
0.852,0.768,0.818,0.787,0.584,0.169,0.068,0.072
0.851,0.779,0.809,0.792,0.587,0.183,0.062,0.043
0.852,0.764,0.82,0.785,0.582,0.159,0.047,0.033
0.85,0.778,0.807,0.79,0.584,0.184,0.066,0.051
0.849,0.776,0.806,0.789,0.581,0.193,0.08,0.07
0.856,0.771,0.825,0.792,0.593,0.166,0.058,0.054
0.855,0.777,0.819,0.794,0.594,0.17,0.044,0.018
0.849,0.776,0.807,0.789,0.582,0.188,0.07,0.052
0.862,0.776,0.837,0.799,0.61,0.168,0.068,0.078
0.849,0.777,0.805,0.789,0.581,0.187,0.07,0.054
0.85,0.779,0.807,0.791,0.586,0.184,0.064,0.046
0.848,0.776,0.804,0.788,0.579,0.187,0.069,0.05
0.846,0.734,0.83,0.763,0.555,0.154,0.089,0.125
0.855,0.777,0.819,0.794,0.595,0.173,0.058,0.048
0.863,0.777,0.838,0.8,0.612,0.166,0.062,0.068
0.85,0.775,0.808,0.789,0.582,0.184,0.069,0.056
0.846,0.734,0.829,0.764,0.556,0.16,0.103,0.151
0.852,0.779,0.81,0.792,0.588,0.181,0.057,0.034
0.846,0.732,0.831,0.762,0.553,0.158,0.103,0.154
0.861,0.772,0.836,0.796,0.605,0.162,0.059,0.063
0.843,0.727,0.828,0.757,0.546,0.155,0.1,0.148
0.863,0.777,0.839,0.801,0.613,0.167,0.065,0.072
0.849,0.778,0.805,0.79,0.582,0.196,0.092,0.096
0.857,0.764,0.834,0.789,0.594,0.162,0.071,0.088
0.847,0.733,0.833,0.763,0.557,0.167,0.127,0.199
0.862,0.777,0.836,0.799,0.61,0.17,0.072,0.086
0.856,0.763,0.831,0.788,0.59,0.164,0.074,0.091
0.844,0.728,0.83,0.758,0.548,0.159,0.111,0.17
0.847,0.769,0.804,0.784,0.573,0.193,0.096,0.104
0.845,0.768,0.801,0.782,0.568,0.188,0.082,0.076
0.856,0.766,0.828,0.789,0.591,0.174,0.088,0.112
0.844,0.766,0.8,0.781,0.566,0.192,0.091,0.092
0.862,0.776,0.837,0.799,0.61,0.167,0.068,0.079
0.848,0.772,0.806,0.786,0.576,0.183,0.069,0.055
0.847,0.776,0.803,0.788,0.578,0.196,0.088,0.084
0.848,0.77,0.807,0.785,0.576,0.181,0.073,0.066
0.846,0.769,0.804,0.783,0.572,0.184,0.078,0.074
