Exp,spd,eod,aod
ris_forest_NO_ONE_adult_race,-0.10045405684193005,-0.03266072285140079,-0.03981369848154081
ris_forest_NO_ONE_adult_sex,-0.1896675534239352,-0.07412198655420082,-0.08133858033313349
ris_forest_NO_ONE_bank_age,0.19826595594313284,0.1261185672555429,0.11189843944913529
ris_forest_NO_ONE_compas_race,-0.1367982541122768,-0.07729110843212891,-0.11514222640685061
ris_forest_NO_ONE_compas_sex,-0.18274188607670347,-0.12949063945925782,-0.15192723574938297
ris_forest_NO_ONE_crime_black_people,0.4289078850529524,0.4944655875886526,0.36757585352988115
ris_forest_NO_ONE_drug_race,0.14478237675602942,0.10222342200283377,0.07185558685112556
ris_forest_NO_ONE_german_age,-0.1256660442442793,-0.081865674400033,-0.10576000077718008
ris_forest_NO_ONE_german_sex,-0.058043510251366844,-0.006136108616758768,-0.03928498552531058
ris_forest_NO_ONE_law_race,0.21600166193486636,0.21715890341033092,0.1932662609340282
ris_forest_NO_ONE_mep_RACE,-0.09710426341357319,-0.09313998963017887,-0.06750335701680045
ris_forest_NO_ONE_park_sex,-0.0833059844062755,-0.05604429162336835,-0.04807558937839319
ris_logreg_NO_ONE_adult_race,-0.10145758479231841,-0.08948805060486341,-0.06382709159130778
ris_logreg_NO_ONE_adult_sex,-0.18770809603699198,-0.11856591974215207,-0.0999334569937991
ris_logreg_NO_ONE_bank_age,0.196183081274811,0.17087575134022479,0.1335846008849801
ris_logreg_NO_ONE_compas_race,-0.17654094191203598,-0.09766376181242163,-0.15414279912741632
ris_logreg_NO_ONE_compas_sex,-0.2855935531068364,-0.20257479925505656,-0.26197370784863466
ris_logreg_NO_ONE_crime_black_people,0.4682220767244456,0.5800936510456635,0.43555551155433797
ris_logreg_NO_ONE_drug_race,0.239566202274251,0.22472619700560875,0.1646293130275498
ris_logreg_NO_ONE_german_age,-0.20612065434256754,-0.21689985366358364,-0.18699961788148287
ris_logreg_NO_ONE_german_sex,-0.11320162642397574,-0.0549747884268008,-0.08854559527160145
ris_logreg_NO_ONE_law_race,0.294289413533792,0.33402782581152374,0.28303522499241524
ris_logreg_NO_ONE_mep_RACE,-0.11905863230459608,-0.182993396663034,-0.11530491186400224
ris_logreg_NO_ONE_park_sex,-0.2185988134936688,-0.26351590965053945,-0.21520250331865973
ris_svm_NO_ONE_adult_race,-0.0906668846293266,-0.07209486888644692,-0.05263764503563136
ris_svm_NO_ONE_adult_sex,-0.19008031392272928,-0.1542189823050859,-0.12038505034492984
ris_svm_NO_ONE_bank_age,0.12853278910539429,0.1555823445258966,0.1046059627999973
ris_svm_NO_ONE_compas_race,-0.21859592075605425,-0.1452555455264088,-0.19957137307108638
ris_svm_NO_ONE_compas_sex,-0.297785899507159,-0.19914364515337116,-0.28735350666168163
ris_svm_NO_ONE_crime_black_people,0.5335266371589557,0.6624527066787128,0.5059540104403412
ris_svm_NO_ONE_drug_race,0.30306887864702037,0.3391773966773967,0.24229690502165926
ris_svm_NO_ONE_german_age,-0.16478544634755238,-0.12742566506296482,-0.14981441613306598
ris_svm_NO_ONE_german_sex,-0.13484567263400213,-0.07508897492256625,-0.1137217361385318
ris_svm_NO_ONE_law_race,0.3358137384044878,0.39297597182868327,0.33000287034269854
ris_svm_NO_ONE_mep_RACE,-0.09397641316099431,-0.10949572419632748,-0.07366699811315394
ris_svm_NO_ONE_park_sex,-0.22852112876841105,-0.2540444118841257,-0.21371668082854195
