gen,nevals,avg,std,min,max
0,50,[0.69314 0.0499 ],[0.02722353 0.06692899],[0.6 0. ],[0.743 0.36 ]
1,5,[0.6798 0.065 ],[0.02981543 0.11304866],[0.633 0.   ],[0.723 0.29 ]
2,3,[0.6764 0.043 ],[0.03647246 0.0420238 ],[0.633 0.005],[0.72  0.125]
3,4,[0.7072 0.045 ],[0.00844748 0.04701064],[0.693 0.005],[0.717 0.13 ]
4,4,[0.7052 0.045 ],[0.00667533 0.04438468],[0.693 0.005],[0.71 0.12]
5,2,[0.702 0.059],[0.00742967 0.03760319],[0.693 0.025],[0.71 0.12]
6,2,[0.7048 0.06  ],[0.00285657 0.02258318],[0.7  0.03],[0.707 0.085]
7,5,[0.7054 0.066 ],[0.00801499 0.026533  ],[0.697 0.04 ],[0.72  0.115]
8,5,[0.6986 0.06  ],[0.00976934 0.02167948],[0.683 0.035],[0.71 0.1 ]
9,3,[0.6986 0.039 ],[0.01352923 0.02557342],[0.683 0.005],[0.717 0.075]
10,3,[0.7006 0.041 ],[0.00897998 0.02437212],[0.683 0.005],[0.707 0.08 ]
11,5,[0.6978 0.046 ],[0.01282809 0.03813135],[0.673 0.   ],[0.71 0.1 ]
12,4,[0.6972 0.057 ],[0.01263962 0.0498598 ],[0.673 0.   ],[0.71  0.125]
13,5,[0.6938 0.165 ],[0.01493185 0.11162437],[0.673 0.   ],[0.713 0.3  ]
14,5,[0.6912 0.061 ],[0.0250152  0.04662617],[0.643 0.005],[0.713 0.13 ]
15,5,[0.6918 0.041 ],[0.01606736 0.04684015],[0.673 0.   ],[0.713 0.11 ]
16,4,[0.6926 0.033 ],[0.02241963 0.04118252],[0.66 0.  ],[0.717 0.11 ]
17,2,[0.6832 0.024 ],[0.01910393 0.04091455],[0.66 0.  ],[0.713 0.105]
18,3,[0.6904 0.003 ],[0.02142522 0.006     ],[0.673 0.   ],[0.72  0.015]
19,4,[0.6986 0.017 ],[0.02115278 0.01568439],[0.673 0.   ],[0.72  0.035]
20,4,[0.7112 0.039 ],[0.02015341 0.03023243],[0.673 0.01 ],[0.73  0.085]
21,2,[0.698 0.045],[0.03097741 0.02607681],[0.65  0.015],[0.73  0.085]
22,3,[0.6938 0.051 ],[0.02747654 0.04270831],[0.65  0.005],[0.72  0.125]
23,5,[0.6922 0.036 ],[0.02973483 0.01714643],[0.637 0.01 ],[0.717 0.06 ]
24,4,[0.7054 0.05  ],[0.01078147 0.03807887],[0.687 0.   ],[0.717 0.115]
25,5,[0.7146 0.079 ],[0.01078147 0.03072458],[0.703 0.025],[0.733 0.12 ]
