gen,nevals,avg,std,min,max
0,50,[0.82528 0.15474],[0.03278356 0.10978157],[0.79 0.04],[0.866 0.412]
1,5,[0.8362 0.1056],[0.03423098 0.10014509],[0.789 0.032],[0.865 0.302]
2,5,[0.8382 0.1332],[0.03249246 0.11520139],[0.795 0.038],[0.865 0.36 ]
3,3,[0.8508 0.0678],[0.02740365 0.02574024],[0.796 0.035],[0.865 0.094]
4,5,[0.864  0.0394],[0.00063246 0.00786384],[0.863 0.034],[0.865 0.055]
5,4,[0.8518 0.1018],[0.02492709 0.10818392],[0.802 0.03 ],[0.866 0.316]
6,4,[0.8386 0.1226],[0.03237653 0.11394139],[0.797 0.03 ],[0.866 0.346]
7,4,[0.8104 0.1946],[0.02673275 0.12868504],[0.788 0.03 ],[0.863 0.348]
8,5,[0.79   0.0946],[0.00501996 0.08770542],[0.787 0.049],[0.8  0.27]
9,3,[0.808  0.1392],[0.02851666 0.10681461],[0.787 0.049],[0.864 0.27 ]
10,3,[0.81   0.1522],[0.02792132 0.09384114],[0.787 0.049],[0.865 0.27 ]
11,4,[0.8264 0.2036],[0.03152523 0.1128    ],[0.8   0.072],[0.865 0.354]
12,5,[0.8392 0.1004],[0.03241851 0.01684755],[0.799 0.075],[0.866 0.119]
13,4,[0.8524 0.1204],[0.02620382 0.07513348],[0.8   0.075],[0.866 0.27 ]
14,4,[0.8524 0.1194],[0.02620382 0.09398213],[0.8   0.052],[0.866 0.306]
15,4,[0.8394 0.165 ],[0.03176539 0.10167792],[0.8  0.06],[0.866 0.31 ]
16,2,[0.8512 0.0814],[0.02810267 0.01460959],[0.795 0.06 ],[0.866 0.105]
17,2,[0.8524 0.1252],[0.02620382 0.08687324],[0.8  0.06],[0.866 0.294]
18,4,[0.8656 0.1   ],[0.0004899  0.00927362],[0.865 0.082],[0.866 0.108]
19,5,[0.8516 0.0944],[0.02730275 0.00697424],[0.797 0.086],[0.866 0.107]
20,4,[0.8528 0.1516],[0.02540394 0.11529892],[0.802 0.086],[0.866 0.382]
21,4,[0.8658 0.0932],[0.0004     0.00861162],[0.865 0.077],[0.866 0.101]
22,5,[0.8652 0.0862],[0.00116619 0.02033126],[0.863 0.046],[0.866 0.102]
23,5,[0.8524 0.1364],[0.0252238  0.10177151],[0.802 0.048],[0.866 0.336]
24,5,[0.8364 0.0674],[0.03465025 0.02300956],[0.792 0.042],[0.866 0.104]
25,3,[0.8228 0.1192],[0.03383726 0.13188844],[0.792 0.038],[0.864 0.382]
