gen,nevals,avg,std,min,max
0,50,[0.71412 0.09052],[0.01938519 0.11014322],[0.673 0.001],[0.743 0.546]
1,4,[0.708  0.0778],[0.01841738 0.0341608 ],[0.69  0.023],[0.743 0.126]
2,4,[0.7068 0.0506],[0.0178146  0.04378858],[0.69  0.007],[0.74  0.133]
3,4,[0.702  0.0794],[0.0077201  0.06745843],[0.69  0.007],[0.71  0.172]
4,5,[0.7068 0.18  ],[0.00365513 0.13593822],[0.7   0.059],[0.71  0.436]
5,4,[0.706  0.1626],[0.01412799 0.14599808],[0.687 0.02 ],[0.73  0.436]
6,3,[0.6962 0.0604],[0.00713863 0.05754164],[0.687 0.001],[0.707 0.167]
7,5,[0.7114 0.1752],[0.00557136 0.14469471],[0.703 0.063],[0.717 0.452]
8,4,[0.7112 0.1776],[0.00581034 0.13831066],[0.703 0.063],[0.72  0.444]
9,5,[0.704  0.0902],[0.00489898 0.03548183],[0.7   0.051],[0.71  0.148]
10,4,[0.7014 0.0828],[0.0028     0.02169239],[0.7   0.059],[0.707 0.122]
11,5,[0.7106 0.0774],[0.01641463 0.04347229],[0.69  0.007],[0.74  0.133]
12,4,[0.7072 0.0896],[0.00719444 0.03140446],[0.7   0.051],[0.72  0.133]
13,2,[0.6974 0.0526],[0.00553534 0.03125124],[0.687 0.003],[0.703 0.083]
14,4,[0.7002 0.0682],[0.00365513 0.01298307],[0.697 0.054],[0.707 0.083]
15,5,[0.704 0.049],[0.02037646 0.0177426 ],[0.683 0.023],[0.743 0.074]
16,3,[0.7066 0.0676],[0.0184781  0.05282651],[0.693 0.003],[0.743 0.164]
17,1,[0.7186 0.043 ],[0.02151836 0.02079423],[0.693 0.003],[0.743 0.062]
18,3,[0.7208 0.0488],[0.01409113 0.0235491 ],[0.697 0.02 ],[0.74  0.082]
19,4,[0.7328 0.0374],[0.01110675 0.01225724],[0.717 0.024],[0.747 0.059]
20,4,[0.734  0.0558],[0.00995992 0.04527428],[0.72  0.018],[0.747 0.144]
21,3,[0.7268 0.0884],[0.00730479 0.05060277],[0.72  0.028],[0.74  0.144]
22,5,[0.7132 0.0838],[0.015012   0.04131537],[0.7   0.039],[0.733 0.16 ]
23,4,[0.7172 0.06  ],[0.02106561 0.0181989 ],[0.7   0.038],[0.743 0.093]
24,4,[0.726 0.061],[0.01987964 0.02777049],[0.697 0.023],[0.743 0.093]
25,4,[0.73   0.1044],[0.01279062 0.08231063],[0.71  0.004],[0.743 0.199]
