gen,nevals,avg,std,min,max
0,50,[0.67078 0.04822],[0.02717594 0.02479781],[0.578 0.001],[0.714 0.118]
1,2,[0.6772 0.0324],[0.02406159 0.01921041],[0.63  0.002],[0.697 0.056]
2,4,[0.6736 0.0386],[0.02316549 0.00859302],[0.63  0.023],[0.697 0.049]
3,5,[0.6732 0.0532],[0.02741824 0.01305986],[0.62  0.043],[0.697 0.079]
4,5,[0.6762 0.05  ],[0.0259029  0.00695701],[0.626 0.044],[0.697 0.063]
5,5,[0.6728 0.0456],[0.0223732  0.01857525],[0.629 0.014],[0.691 0.066]
6,4,[0.654  0.0334],[0.03586084 0.01778314],[0.604 0.008],[0.686 0.061]
7,4,[0.6598 0.059 ],[0.04361834 0.03150238],[0.575 0.037],[0.698 0.121]
8,3,[0.6194 0.0772],[0.05021793 0.03695619],[0.575 0.031],[0.687 0.121]
9,4,[0.649  0.0444],[0.03955755 0.03097483],[0.59  0.008],[0.691 0.091]
10,2,[0.661  0.0454],[0.03569874 0.02836618],[0.59  0.012],[0.686 0.078]
11,3,[0.6582 0.0578],[0.03497656 0.01832376],[0.59  0.024],[0.686 0.075]
12,3,[0.644  0.0586],[0.03350821 0.03041447],[0.6   0.002],[0.686 0.09 ]
13,3,[0.6552 0.0704],[0.02967423 0.01379275],[0.609 0.055],[0.689 0.095]
14,4,[0.68   0.0524],[0.02001    0.01891666],[0.644 0.022],[0.699 0.074]
15,3,[0.6746 0.0738],[0.01687128 0.01561282],[0.644 0.046],[0.69 0.09]
16,4,[0.6692 0.042 ],[0.02740365 0.01421267],[0.621 0.015],[0.69  0.057]
17,5,[0.6636 0.0424],[0.03119359 0.00906863],[0.625 0.029],[0.693 0.055]
18,3,[0.6518 0.037 ],[0.02892335 0.00887694],[0.622 0.023],[0.688 0.049]
19,5,[0.6494 0.0292],[0.01386506 0.02527766],[0.634 0.001],[0.67  0.062]
20,5,[0.6262 0.0382],[0.01563841 0.02340427],[0.607 0.019],[0.651 0.083]
21,3,[0.6338 0.061 ],[0.02970791 0.03471599],[0.591 0.019],[0.674 0.098]
22,4,[0.6076 0.0456],[0.02138785 0.02935711],[0.591 0.019],[0.649 0.082]
23,4,[0.6108 0.043 ],[0.03406699 0.02522697],[0.583 0.011],[0.672 0.081]
24,4,[0.6114 0.0204],[0.030004   0.01276871],[0.583 0.009],[0.666 0.037]
25,5,[0.6274 0.0358],[0.01788407 0.02183025],[0.608 0.004],[0.657 0.069]
