accuracy,recall,precision,f1,mcc,spd,aod,eod
0.687,0.676,0.687,0.677,0.363,0.185,0.167,0.094
0.675,0.669,0.671,0.669,0.34,0.148,0.123,0.101
0.682,0.665,0.692,0.663,0.356,0.164,0.146,0.082
0.681,0.664,0.688,0.662,0.351,0.104,0.086,0.025
0.663,0.655,0.66,0.656,0.315,0.156,0.135,0.101
0.663,0.656,0.66,0.657,0.316,0.148,0.129,0.083
0.652,0.628,0.674,0.615,0.298,0.092,0.079,0.021
0.666,0.66,0.662,0.66,0.322,0.129,0.107,0.076
0.661,0.654,0.657,0.655,0.311,0.15,0.13,0.093
0.693,0.681,0.694,0.681,0.374,0.138,0.114,0.07
0.646,0.639,0.642,0.64,0.281,0.137,0.121,0.068
0.657,0.641,0.66,0.639,0.301,0.136,0.124,0.046
0.671,0.662,0.668,0.663,0.33,0.131,0.11,0.067
0.67,0.661,0.668,0.661,0.329,0.105,0.082,0.055
0.665,0.655,0.662,0.655,0.316,0.137,0.12,0.058
0.662,0.656,0.659,0.656,0.314,0.147,0.126,0.089
0.675,0.666,0.673,0.666,0.339,0.168,0.15,0.091
0.658,0.651,0.654,0.652,0.305,0.133,0.11,0.093
0.659,0.651,0.655,0.651,0.306,0.152,0.134,0.088
0.662,0.655,0.659,0.655,0.313,0.148,0.129,0.084
0.639,0.631,0.634,0.631,0.265,0.088,0.067,0.061
0.67,0.664,0.667,0.664,0.331,0.123,0.102,0.058
0.683,0.67,0.685,0.67,0.355,0.141,0.119,0.077
0.686,0.671,0.689,0.671,0.36,0.184,0.165,0.101
0.662,0.637,0.687,0.626,0.32,0.153,0.14,0.075
0.665,0.658,0.661,0.659,0.32,0.164,0.143,0.103
0.648,0.643,0.644,0.644,0.287,0.165,0.147,0.108
0.657,0.648,0.654,0.649,0.302,0.113,0.092,0.063
0.655,0.648,0.651,0.649,0.299,0.129,0.109,0.081
0.656,0.641,0.656,0.64,0.297,0.168,0.152,0.106
0.683,0.674,0.681,0.675,0.355,0.199,0.178,0.128
0.676,0.665,0.675,0.665,0.339,0.138,0.118,0.066
0.68,0.671,0.678,0.672,0.349,0.159,0.14,0.079
0.674,0.662,0.674,0.662,0.336,0.143,0.123,0.078
0.652,0.642,0.648,0.643,0.29,0.142,0.121,0.098
0.651,0.646,0.647,0.646,0.293,0.163,0.143,0.113
0.621,0.619,0.618,0.618,0.237,0.106,0.089,0.067
0.668,0.66,0.664,0.66,0.324,0.127,0.102,0.086
0.666,0.641,0.692,0.63,0.329,0.164,0.153,0.07
0.658,0.651,0.654,0.652,0.305,0.157,0.14,0.085
0.683,0.677,0.68,0.677,0.357,0.156,0.134,0.084
0.686,0.677,0.683,0.678,0.36,0.167,0.145,0.095
0.683,0.675,0.681,0.676,0.356,0.152,0.131,0.078
0.675,0.657,0.686,0.653,0.341,0.151,0.138,0.055
0.694,0.682,0.696,0.683,0.378,0.173,0.155,0.071
0.676,0.658,0.687,0.654,0.344,0.131,0.112,0.063
0.657,0.649,0.654,0.65,0.303,0.074,0.053,0.021
0.675,0.664,0.674,0.664,0.338,0.178,0.161,0.09
0.672,0.664,0.668,0.665,0.332,0.147,0.125,0.084
0.657,0.647,0.654,0.647,0.301,0.136,0.116,0.085
0.664,0.657,0.66,0.657,0.317,0.159,0.141,0.09
0.627,0.625,0.625,0.625,0.25,0.093,0.072,0.071
