accuracy,recall,precision,f1,mcc,spd,aod,eod
0.612,0.608,0.61,0.607,0.218,0.045,0.023,0.011
0.615,0.608,0.615,0.606,0.223,0.01,0.039,0.05
0.61,0.607,0.608,0.606,0.215,0.106,0.075,0.082
0.619,0.614,0.617,0.614,0.232,0.123,0.104,0.054
0.615,0.609,0.613,0.609,0.222,0.047,0.027,0.017
0.617,0.612,0.615,0.612,0.227,0.173,0.149,0.122
0.634,0.63,0.632,0.631,0.262,0.04,0.004,0.002
0.588,0.597,0.604,0.584,0.2,0.068,0.043,0.035
0.597,0.595,0.595,0.595,0.19,0.09,0.072,0.038
0.642,0.639,0.64,0.639,0.279,0.015,0.018,0.048
0.615,0.611,0.613,0.611,0.225,0.112,0.092,0.046
0.607,0.602,0.604,0.602,0.207,0.124,0.099,0.086
0.614,0.605,0.615,0.601,0.22,0.03,0.06,0.065
0.624,0.62,0.622,0.62,0.242,0.078,0.044,0.049
0.568,0.578,0.585,0.562,0.163,0.115,0.1,0.075
0.592,0.597,0.599,0.591,0.197,0.162,0.128,0.163
0.621,0.62,0.62,0.62,0.239,0.148,0.113,0.122
0.63,0.624,0.63,0.623,0.254,0.033,0.002,0.005
0.625,0.625,0.624,0.624,0.249,0.119,0.08,0.099
0.619,0.61,0.621,0.606,0.231,0.043,0.079,0.065
0.612,0.611,0.611,0.611,0.221,0.202,0.176,0.165
0.61,0.606,0.608,0.607,0.214,0.056,0.034,0.001
0.608,0.603,0.606,0.603,0.209,0.023,0.004,0.04
0.616,0.612,0.614,0.611,0.225,0.178,0.164,0.095
0.618,0.609,0.618,0.606,0.227,0.009,0.038,0.05
0.623,0.617,0.622,0.616,0.239,0.029,0.004,0.032
0.643,0.637,0.644,0.636,0.281,0.021,0.063,0.054
0.626,0.621,0.624,0.62,0.245,0.187,0.17,0.109
0.606,0.602,0.603,0.601,0.205,0.083,0.054,0.057
0.626,0.623,0.624,0.624,0.248,0.121,0.088,0.084
0.626,0.622,0.624,0.622,0.246,0.131,0.116,0.042
0.606,0.609,0.609,0.606,0.218,0.153,0.126,0.115
0.618,0.614,0.616,0.614,0.23,0.135,0.114,0.072
0.605,0.599,0.602,0.598,0.202,0.062,0.033,0.036
0.605,0.599,0.603,0.597,0.202,0.03,0.004,0.018
0.617,0.614,0.615,0.614,0.229,0.126,0.099,0.081
0.617,0.609,0.618,0.605,0.226,0.045,0.074,0.088
0.646,0.641,0.644,0.641,0.286,0.015,0.024,0.029
0.627,0.622,0.625,0.621,0.247,0.056,0.028,0.002
0.623,0.615,0.625,0.612,0.24,0.059,0.094,0.087
0.61,0.607,0.608,0.607,0.215,0.134,0.108,0.097
0.634,0.629,0.633,0.628,0.262,0.019,0.054,0.061
0.649,0.645,0.648,0.645,0.292,0.217,0.189,0.145
0.605,0.607,0.607,0.605,0.214,0.052,0.018,0.033
0.633,0.632,0.631,0.632,0.263,0.15,0.116,0.106
0.597,0.594,0.595,0.594,0.189,0.03,0.013,0.028
0.635,0.635,0.635,0.634,0.27,0.084,0.049,0.035
0.616,0.609,0.616,0.607,0.225,0.051,0.017,0.029
0.624,0.617,0.624,0.616,0.241,0.024,0.006,0.02
0.62,0.616,0.618,0.616,0.234,0.032,0.002,0.009
0.615,0.611,0.613,0.611,0.224,0.065,0.045,0.002
0.609,0.604,0.607,0.604,0.211,0.074,0.056,0.009
0.642,0.638,0.64,0.638,0.278,0.15,0.11,0.12
0.618,0.614,0.616,0.614,0.23,0.097,0.078,0.025
0.626,0.619,0.627,0.616,0.245,0.019,0.018,0.004
0.608,0.603,0.606,0.602,0.209,0.018,0.004,0.035
0.637,0.633,0.635,0.633,0.269,0.11,0.072,0.076
0.631,0.625,0.631,0.624,0.255,0.02,0.005,0.047
0.6,0.596,0.597,0.596,0.193,0.027,0.003,0.009
0.609,0.606,0.607,0.606,0.213,0.048,0.018,0.02
0.593,0.59,0.591,0.59,0.181,0.074,0.055,0.034
0.607,0.601,0.606,0.6,0.207,0.071,0.038,0.057
0.606,0.601,0.603,0.601,0.205,0.045,0.03,0.029
0.592,0.587,0.59,0.586,0.176,0.031,0.008,0.001
0.613,0.608,0.611,0.608,0.219,0.02,0.016,0.005
0.616,0.613,0.614,0.613,0.227,0.099,0.066,0.074
0.601,0.595,0.599,0.594,0.194,0.005,0.027,0.048
0.601,0.599,0.599,0.599,0.198,0.12,0.11,0.042
0.615,0.609,0.614,0.608,0.223,0.016,0.016,0.011
0.596,0.593,0.594,0.592,0.187,0.077,0.05,0.056
0.596,0.592,0.594,0.592,0.186,0.047,0.03,0.007
0.591,0.586,0.588,0.586,0.175,0.036,0.014,0.004
0.61,0.606,0.608,0.606,0.214,0.091,0.076,0.017
0.608,0.602,0.606,0.601,0.208,0.075,0.05,0.038
0.605,0.601,0.602,0.601,0.204,0.046,0.018,0.017
