gen,nevals,avg,std,min,max
0,50,[0.6769  0.08528],[0.02482599 0.10045278],[0.607 0.   ],[0.747 0.38 ]
1,4,[0.6668 0.0942],[0.01591729 0.10554885],[0.647 0.005],[0.687 0.29 ]
2,3,[0.682  0.0552],[0.0306529  0.03256624],[0.65 0.01],[0.74  0.111]
3,3,[0.678  0.0508],[0.03428702 0.02974155],[0.637 0.01 ],[0.74  0.095]
4,3,[0.6962 0.0616],[0.02295561 0.03352372],[0.677 0.029],[0.74  0.115]
5,4,[0.678 0.074],[0.02018911 0.10332086],[0.64  0.006],[0.7   0.278]
6,3,[0.6766 0.0376],[0.01207642 0.01055651],[0.653 0.029],[0.687 0.056]
7,5,[0.6836 0.1266],[0.02867473 0.14477514],[0.65  0.026],[0.737 0.412]
8,3,[0.6534 0.1332],[0.02428662 0.14108919],[0.613 0.039],[0.68  0.412]
9,3,[0.6662 0.0978],[0.02321551 0.09529827],[0.647 0.014],[0.71  0.278]
10,5,[0.6814 0.1086],[0.02124712 0.1142499 ],[0.65  0.018],[0.71 0.33]
11,4,[0.6894 0.0964],[0.03020993 0.11730064],[0.633 0.019],[0.717 0.33 ]
12,4,[0.6854 0.1568],[0.02856991 0.14308235],[0.637 0.025],[0.713 0.332]
13,5,[0.6706 0.0602],[0.01170641 0.03134581],[0.65  0.034],[0.683 0.121]
14,3,[0.6666 0.1112],[0.03158227 0.09384967],[0.607 0.04 ],[0.693 0.29 ]
15,3,[0.6674 0.0682],[0.03664205 0.03445229],[0.607 0.02 ],[0.72  0.121]
16,3,[0.6582 0.1128],[0.04602347 0.09958594],[0.607 0.05 ],[0.72 0.31]
17,4,[0.683 0.172],[0.03720215 0.12418212],[0.617 0.029],[0.727 0.332]
18,5,[0.6712 0.1396],[0.03022846 0.16785899],[0.633 0.018],[0.723 0.47 ]
19,5,[0.6646 0.1028],[0.01908507 0.10425622],[0.627 0.035],[0.68 0.31]
20,4,[0.6712 0.0968],[0.03833745 0.11213456],[0.627 0.018],[0.723 0.318]
21,3,[0.6878 0.0398],[0.03470101 0.01889339],[0.627 0.018],[0.723 0.068]
22,2,[0.6918 0.0558],[0.02344696 0.02848438],[0.653 0.014],[0.713 0.095]
23,4,[0.6798 0.0964],[0.01579114 0.12199443],[0.66  0.024],[0.703 0.34 ]
24,4,[0.6934 0.0402],[0.02716321 0.03995197],[0.66  0.018],[0.733 0.12 ]
25,3,[0.6954 0.0646],[0.03039474 0.05272798],[0.653 0.005],[0.733 0.134]
