Precision,Recall,F1,MCC,SPD,EOD,AOD,Accuracy,approach,data,attr
0.4232619129698844,0.4321266968325792,0.425195938376012,0.1187596646595097,0.259705993215228,0.1905965621840242,0.2344194415015684,0.4321266968325792,knn,cmc,wife_religion
0.4744296649753621,0.4773755656108597,0.4712527053924019,0.1860088796483492,0.1459144783683042,0.0540950455005055,0.100852983501106,0.4773755656108597,tree,cmc,wife_religion
0.4784927490809844,0.4819004524886878,0.4705944093455026,0.1888403207903358,0.3150730828831092,0.3559150657229524,0.3080343246703499,0.4819004524886878,logreg,cmc,wife_religion
0.4842217091999604,0.4932126696832579,0.4825560285680108,0.2095779871622438,0.428822716421661,0.3675429726996966,0.401348278158722,0.4932126696832579,svm,cmc,wife_religion
0.4892453059084841,0.4932126696832579,0.486315137734539,0.2116197959653865,0.1776186288059638,0.1006066734074823,0.1400217667378708,0.4932126696832579,forest,cmc,wife_religion
0.4398610717576678,0.4411764705882353,0.4236213428472808,0.1488240516232181,0.0296582849774339,-0.0166666666666666,0.0038288288288288,0.4411764705882353,knn,cmc,wife_religion
0.4690087936480833,0.4660633484162896,0.4638210131703228,0.1842014249098874,0.0030625402965828,-0.0892857142857143,-0.0348830973830974,0.4660633484162896,tree,cmc,wife_religion
0.4690539153000759,0.4751131221719457,0.4596464925800612,0.19126242646781,0.3473565441650548,0.3815476190476191,0.3451657014157014,0.4751131221719457,logreg,cmc,wife_religion
0.4893777650863171,0.4954751131221719,0.4822902150075102,0.2258433449227209,0.2343649258542875,0.2839285714285714,0.2350198412698412,0.4954751131221719,svm,cmc,wife_religion
0.4934041640789046,0.497737556561086,0.4885293382555757,0.22882483942174,0.081237911025145,-0.0892857142857143,0.0177445302445302,0.497737556561086,forest,cmc,wife_religion
0.4690877246129676,0.4728506787330316,0.4695952161976566,0.1868319861441681,0.1305039787798408,0.0333333333333333,0.080927157756426,0.4728506787330316,knn,cmc,wife_religion
0.4743656738713585,0.4796380090497738,0.4764245428344628,0.191876640300386,0.1007957559681697,0.0916666666666666,0.0802424653034409,0.4796380090497738,tree,cmc,wife_religion
0.4535003523082903,0.4547511312217194,0.4532928239102122,0.1498838585742634,0.2513608001062087,0.2814113597246128,0.2590390131956397,0.4547511312217194,knn,cmc,wife_religion
0.50738094725984,0.504524886877828,0.5054524858347522,0.2305039108496454,0.0114174447935566,-0.0283993115318416,-0.0047552113214763,0.504524886877828,tree,cmc,wife_religion
0.4710103712835455,0.4660633484162896,0.4585479467201448,0.1841138200488618,0.1912162162162162,0.1685185185185185,0.1597381864623243,0.4660633484162896,knn,cmc,wife_religion
0.4522065859852605,0.4502262443438914,0.449470763297371,0.1627636370148354,0.1923423423423423,0.2310185185185185,0.189838761174968,0.4502262443438914,tree,cmc,wife_religion
