gen,nevals,avg,std,min,max
0,50,[0.8184  0.15346],[0.03418362 0.0567652 ],[0.73 0.  ],[0.852 0.424]
1,5,[0.804  0.2104],[0.03838229 0.0949265 ],[0.754 0.155],[0.844 0.4  ]
2,5,[0.7928 0.1458],[0.05997133 0.03804944],[0.687 0.071],[0.844 0.175]
3,4,[0.7678 0.1578],[0.06361572 0.02274555],[0.687 0.116],[0.845 0.181]
4,4,[0.7642 0.1466],[0.04772588 0.03574689],[0.71  0.084],[0.844 0.181]
5,3,[0.7588 0.1472],[0.0475958  0.04804331],[0.71  0.055],[0.844 0.186]
6,5,[0.7804 0.1452],[0.05858191 0.04442252],[0.707 0.058],[0.846 0.176]
7,4,[0.7638 0.1442],[0.0428551 0.0459713],[0.707 0.053],[0.834 0.176]
8,1,[0.76   0.1734],[0.0482825  0.00643739],[0.707 0.163],[0.834 0.182]
9,5,[0.796  0.1354],[0.03078311 0.0480025 ],[0.762 0.057],[0.843 0.18 ]
10,4,[0.8246 0.2018],[0.02667283 0.103544  ],[0.775 0.103],[0.848 0.402]
11,3,[0.8148 0.1432],[0.03096708 0.04339309],[0.756 0.059],[0.844 0.184]
12,2,[0.8144 0.1422],[0.03092313 0.04209228],[0.756 0.059],[0.844 0.172]
13,4,[0.8378 0.165 ],[0.00980612 0.0074027 ],[0.82  0.153],[0.848 0.173]
14,2,[0.8408 0.1606],[0.00673498 0.0128    ],[0.83  0.139],[0.848 0.173]
15,4,[0.8428 0.1692],[0.00601332 0.00256125],[0.831 0.167],[0.848 0.174]
16,4,[0.8246 0.1332],[0.03622485 0.06661952],[0.753 0.   ],[0.848 0.169]
17,5,[0.8094 0.0956],[0.04606778 0.0785305 ],[0.753 0.   ],[0.849 0.17 ]
18,2,[0.8096 0.0942],[0.0462238  0.07724351],[0.753 0.   ],[0.849 0.164]
19,3,[0.809 0.092],[0.04572964 0.07573903],[0.753 0.   ],[0.847 0.171]
20,5,[0.828 0.126],[0.03751266 0.0639875 ],[0.753 0.   ],[0.848 0.17 ]
21,5,[0.827  0.1304],[0.03700811 0.06667713],[0.753 0.   ],[0.847 0.173]
22,4,[0.8454 0.164 ],[0.0008     0.01401428],[0.845 0.136],[0.847 0.172]
23,5,[0.845  0.1708],[0.         0.00132665],[0.845 0.169],[0.845 0.173]
24,2,[0.8454 0.1722],[0.0008     0.00348712],[0.845 0.169],[0.847 0.179]
25,4,[0.8454 0.1718],[0.0008     0.00376298],[0.845 0.168],[0.847 0.179]
