gen,nevals,avg,std,min,max
0,50,[0.85088 0.1041 ],[0.00712079 0.03894111],[0.837 0.07 ],[0.862 0.214]
1,4,[0.8484 0.1162],[0.00233238 0.0458275 ],[0.846 0.076],[0.852 0.206]
2,4,[0.8474 0.14  ],[0.0028     0.05652256],[0.846 0.087],[0.853 0.212]
3,2,[0.847  0.1662],[0.002      0.05964025],[0.846 0.087],[0.851 0.222]
4,4,[0.8474 0.1444],[0.00382623 0.05851701],[0.845 0.093],[0.855 0.218]
5,4,[0.8436 0.1432],[0.00287054 0.05705927],[0.838 0.093],[0.846 0.216]
6,4,[0.8418 0.118 ],[0.00331059 0.04614326],[0.837 0.09 ],[0.846 0.21 ]
7,5,[0.8442 0.1192],[0.00203961 0.04540661],[0.842 0.095],[0.847 0.21 ]
8,2,[0.845  0.0946],[0.00236643 0.00162481],[0.841 0.092],[0.848 0.097]
9,5,[0.8422 0.1174],[0.00231517 0.0433894 ],[0.84  0.093],[0.845 0.204]
10,4,[0.8412 0.1176],[0.00381576 0.04342626],[0.835 0.088],[0.847 0.204]
11,5,[0.8394 0.1188],[0.00475815 0.04265865],[0.835 0.094],[0.848 0.204]
12,4,[0.8392 0.1396],[0.00365513 0.05874215],[0.836 0.083],[0.845 0.218]
13,4,[0.84   0.1166],[0.00282843 0.04898408],[0.837 0.083],[0.845 0.214]
14,4,[0.8384 0.1154],[0.00344093 0.04447291],[0.835 0.087],[0.845 0.204]
15,5,[0.8396 0.1428],[0.0026533  0.06073352],[0.835 0.087],[0.843 0.22 ]
16,4,[0.8392 0.1432],[0.00231517 0.05701719],[0.836 0.094],[0.843 0.214]
17,4,[0.8396 0.118 ],[0.00233238 0.04820788],[0.836 0.087],[0.843 0.214]
18,4,[0.84   0.1182],[0.00544059 0.04614932],[0.831 0.087],[0.848 0.21 ]
19,5,[0.8382 0.117 ],[0.00444522 0.04765711],[0.833 0.086],[0.846 0.212]
20,5,[0.8362 0.0966],[0.00248193 0.00205913],[0.833 0.094],[0.84  0.099]
21,5,[0.8412 0.1152],[0.00926067 0.04449   ],[0.833 0.089],[0.859 0.204]
22,5,[0.8372 0.0978],[0.0024     0.00132665],[0.833 0.096],[0.84 0.1 ]
23,3,[0.8414 0.0962],[0.00615142 0.00331059],[0.836 0.091],[0.853 0.101]
24,3,[0.84   0.1192],[0.00774597 0.04554295],[0.833 0.09 ],[0.855 0.21 ]
25,5,[0.8478 0.118 ],[0.00805978 0.04408174],[0.838 0.093],[0.856 0.206]
