,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.901,0.712,0.787,0.741,0.493,0.125,0.04,0.013,19
1,0.898,0.685,0.781,0.719,0.456,0.172,0.091,0.068,18
2,0.9,0.693,0.806,0.731,0.486,0.159,0.087,0.119,9
3,0.9,0.687,0.792,0.723,0.468,0.137,0.061,0.067,8
4,0.901,0.685,0.803,0.724,0.474,0.184,0.123,0.162,6
5,0.902,0.698,0.803,0.735,0.49,0.176,0.104,0.128,7
6,0.899,0.689,0.786,0.723,0.464,0.18,0.118,0.149,5
7,0.899,0.695,0.783,0.727,0.47,0.15,0.079,0.097,5
8,0.903,0.701,0.794,0.735,0.486,0.142,0.047,0.02,4
9,0.903,0.694,0.794,0.729,0.477,0.149,0.062,0.044,4
10,0.901,0.701,0.788,0.733,0.48,0.164,0.118,0.167,0
11,0.901,0.698,0.79,0.731,0.479,0.172,0.13,0.183,0
12,0.9,0.689,0.797,0.726,0.474,0.18,0.108,0.13,1
13,0.898,0.698,0.794,0.733,0.483,0.132,0.065,0.083,3
14,0.9,0.699,0.793,0.733,0.484,0.153,0.06,0.033,2
15,0.898,0.689,0.783,0.723,0.463,0.163,0.106,0.146,16
16,0.901,0.692,0.789,0.726,0.471,0.13,0.053,0.05,17
17,0.897,0.68,0.791,0.717,0.458,0.196,0.131,0.176,15
18,0.896,0.688,0.783,0.721,0.461,0.146,0.061,0.064,15
19,0.896,0.699,0.778,0.729,0.47,0.131,0.031,0.008,15
20,0.897,0.698,0.773,0.727,0.465,0.146,0.061,0.058,14
21,0.898,0.682,0.798,0.72,0.465,0.166,0.102,0.136,10
22,0.902,0.706,0.793,0.738,0.491,0.119,0.028,0.007,11
23,0.903,0.691,0.793,0.727,0.473,0.187,0.111,0.142,13
24,0.903,0.698,0.79,0.731,0.479,0.166,0.081,0.097,13
25,0.894,0.694,0.778,0.725,0.464,0.153,0.064,0.055,12
