,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.847,0.761,0.811,0.78,0.569,0.166,0.075,0.084,7
1,0.847,0.761,0.81,0.78,0.568,0.17,0.081,0.094,7
2,0.847,0.758,0.811,0.778,0.566,0.159,0.061,0.061,7
3,0.845,0.749,0.812,0.771,0.557,0.128,0.015,0.011,7
4,0.84,0.733,0.81,0.759,0.538,0.097,0.026,0.074,7
5,0.842,0.737,0.812,0.763,0.544,0.103,0.016,0.057,7
6,0.842,0.739,0.811,0.763,0.545,0.107,0.009,0.046,7
7,0.839,0.731,0.811,0.758,0.537,0.092,0.032,0.084,7
8,0.83,0.701,0.81,0.73,0.499,0.027,0.126,0.231,7
9,0.847,0.754,0.81,0.776,0.562,0.153,0.051,0.042,17
10,0.849,0.76,0.811,0.78,0.569,0.164,0.068,0.072,17
11,0.847,0.748,0.814,0.772,0.558,0.132,0.02,0.005,17
12,0.846,0.747,0.813,0.771,0.557,0.132,0.021,0.004,17
13,0.842,0.734,0.814,0.76,0.541,0.102,0.023,0.074,17
14,0.844,0.74,0.814,0.765,0.548,0.114,0.007,0.048,17
15,0.849,0.762,0.811,0.781,0.57,0.172,0.077,0.083,16
16,0.85,0.764,0.811,0.783,0.573,0.176,0.081,0.087,16
17,0.847,0.75,0.812,0.773,0.558,0.142,0.029,0.003,16
18,0.848,0.754,0.813,0.776,0.563,0.152,0.045,0.03,16
19,0.846,0.749,0.811,0.772,0.557,0.141,0.027,0.0,16
20,0.844,0.738,0.812,0.763,0.545,0.112,0.011,0.056,16
21,0.841,0.724,0.816,0.752,0.532,0.078,0.06,0.134,16
22,0.848,0.766,0.804,0.782,0.569,0.186,0.092,0.101,6
23,0.846,0.76,0.805,0.778,0.563,0.169,0.062,0.051,6
24,0.846,0.753,0.807,0.774,0.558,0.147,0.028,0.002,6
25,0.843,0.74,0.809,0.764,0.545,0.114,0.015,0.066,6
26,0.842,0.737,0.808,0.762,0.54,0.108,0.025,0.084,6
27,0.844,0.745,0.808,0.768,0.549,0.122,0.005,0.051,6
28,0.843,0.741,0.809,0.765,0.546,0.117,0.012,0.061,6
29,0.836,0.716,0.81,0.744,0.517,0.061,0.085,0.17,6
30,0.837,0.716,0.81,0.744,0.518,0.062,0.084,0.168,6
31,0.846,0.762,0.802,0.778,0.562,0.184,0.091,0.102,4
32,0.845,0.759,0.803,0.776,0.56,0.174,0.075,0.076,4
33,0.845,0.754,0.804,0.773,0.555,0.161,0.054,0.041,4
34,0.842,0.736,0.809,0.761,0.54,0.106,0.026,0.081,4
35,0.842,0.736,0.807,0.761,0.539,0.11,0.019,0.07,4
36,0.843,0.741,0.808,0.765,0.545,0.12,0.004,0.046,4
37,0.84,0.731,0.807,0.756,0.532,0.098,0.036,0.096,4
38,0.841,0.732,0.808,0.758,0.535,0.1,0.034,0.094,4
39,0.838,0.723,0.808,0.75,0.525,0.078,0.07,0.154,4
40,0.846,0.755,0.807,0.775,0.56,0.167,0.076,0.08,14
41,0.844,0.749,0.808,0.771,0.554,0.152,0.054,0.045,14
42,0.844,0.746,0.809,0.769,0.551,0.142,0.037,0.02,14
43,0.843,0.743,0.809,0.766,0.548,0.133,0.023,0.003,14
44,0.843,0.739,0.811,0.764,0.545,0.119,0.0,0.041,14
45,0.841,0.732,0.811,0.758,0.537,0.103,0.02,0.071,14
46,0.837,0.719,0.812,0.747,0.523,0.075,0.061,0.136,14
47,0.846,0.759,0.804,0.777,0.562,0.175,0.084,0.093,15
48,0.845,0.751,0.808,0.772,0.556,0.152,0.055,0.051,15
49,0.845,0.747,0.809,0.769,0.552,0.142,0.042,0.033,15
50,0.844,0.738,0.812,0.763,0.545,0.114,0.002,0.038,15
51,0.84,0.726,0.813,0.754,0.532,0.088,0.04,0.099,15
52,0.84,0.726,0.811,0.753,0.531,0.09,0.036,0.092,15
53,0.84,0.724,0.814,0.752,0.53,0.082,0.048,0.11,15
54,0.847,0.761,0.806,0.779,0.565,0.182,0.094,0.112,5
55,0.847,0.761,0.806,0.779,0.565,0.181,0.094,0.113,5
56,0.845,0.744,0.81,0.768,0.55,0.134,0.023,0.001,5
57,0.845,0.741,0.812,0.766,0.549,0.124,0.008,0.022,5
