precision,recall,f1score,mcc,avg_stat_par,avg_eq_odds,avg_ao,wc_stat_par,wc_eq_odds,wc_ao,acc,model,fairness_method
0.6690523753794237,0.668827660723933,0.6641143230840478,0.3287586559279531,0.235,0.153,0.20650000000000002,0.387,0.247,0.365,0.668827660723933,logreg,NO_ONE
0.6530911117895757,0.6526202052944354,0.646103108909135,0.29515590872169684,0.278,0.2025,0.2555,0.423,0.325,0.391,0.6526202052944354,svm,NO_ONE
0.6474146740816421,0.6488384656942193,0.6465770576448945,0.2886890094257325,0.17099999999999999,0.1095,0.14150000000000001,0.264,0.166,0.235,0.6488384656942193,forest,NO_ONE
0.6237406305523404,0.6256077795786061,0.6211893279163658,0.2396653230132372,0.187,0.1365,0.164,0.309,0.235,0.28,0.6256077795786061,knn,NO_ONE
0.6139196333330017,0.6148028092922745,0.6142103380968524,0.22255481191150892,0.1305,0.07100000000000001,0.112,0.227,0.12,0.216,0.6148028092922745,tree,NO_ONE
