accuracy,recall,precision,f1,mcc,spd,aod,eod
0.842,0.867,0.709,0.744,0.554,0.395,0.209,0.076
0.901,0.691,0.791,0.726,0.472,0.181,0.143,0.199
0.847,0.865,0.712,0.748,0.556,0.426,0.236,0.091
0.9,0.686,0.789,0.721,0.463,0.199,0.168,0.235
0.846,0.865,0.711,0.747,0.556,0.41,0.224,0.087
0.9,0.687,0.79,0.723,0.466,0.195,0.164,0.232
0.901,0.691,0.791,0.726,0.472,0.181,0.143,0.199
0.847,0.864,0.712,0.748,0.556,0.412,0.227,0.092
0.9,0.69,0.789,0.725,0.469,0.186,0.147,0.202
0.846,0.869,0.712,0.748,0.559,0.402,0.215,0.079
0.846,0.866,0.712,0.748,0.557,0.41,0.223,0.086
0.836,0.866,0.704,0.738,0.547,0.375,0.192,0.063
0.901,0.698,0.789,0.731,0.478,0.166,0.123,0.175
0.9,0.69,0.79,0.725,0.47,0.188,0.15,0.209
0.901,0.693,0.791,0.727,0.473,0.177,0.138,0.196
0.9,0.688,0.791,0.724,0.468,0.195,0.163,0.23
0.901,0.697,0.791,0.731,0.479,0.171,0.13,0.186
0.846,0.865,0.711,0.748,0.556,0.41,0.224,0.088
0.9,0.687,0.79,0.723,0.466,0.195,0.164,0.232
0.847,0.865,0.712,0.749,0.557,0.436,0.243,0.09
0.9,0.69,0.789,0.725,0.469,0.186,0.147,0.202
0.901,0.691,0.791,0.726,0.472,0.182,0.146,0.208
0.848,0.863,0.712,0.748,0.554,0.43,0.242,0.097
0.848,0.863,0.713,0.749,0.556,0.419,0.234,0.097
0.847,0.863,0.712,0.748,0.554,0.428,0.239,0.096
0.847,0.865,0.712,0.748,0.556,0.416,0.229,0.09
0.9,0.689,0.79,0.724,0.468,0.194,0.161,0.228
0.901,0.689,0.791,0.725,0.469,0.195,0.162,0.228
0.833,0.867,0.703,0.736,0.547,0.371,0.186,0.055
0.901,0.692,0.79,0.727,0.472,0.183,0.145,0.205
0.846,0.868,0.712,0.748,0.559,0.403,0.217,0.082
0.9,0.69,0.789,0.725,0.469,0.214,0.183,0.256
0.9,0.689,0.79,0.724,0.468,0.182,0.146,0.205
0.847,0.864,0.712,0.748,0.555,0.429,0.24,0.094
0.9,0.686,0.788,0.721,0.463,0.199,0.168,0.235
0.901,0.691,0.791,0.727,0.472,0.177,0.14,0.199
0.828,0.87,0.7,0.732,0.545,0.361,0.174,0.04
0.848,0.863,0.712,0.748,0.555,0.43,0.242,0.097
0.9,0.69,0.789,0.725,0.469,0.186,0.147,0.202
0.847,0.865,0.712,0.748,0.555,0.428,0.238,0.091
0.901,0.69,0.791,0.725,0.47,0.192,0.159,0.226
0.846,0.865,0.711,0.748,0.555,0.411,0.226,0.09
0.834,0.867,0.703,0.737,0.546,0.37,0.184,0.049
0.9,0.703,0.785,0.734,0.481,0.158,0.109,0.153
0.901,0.691,0.791,0.726,0.472,0.191,0.157,0.222
0.901,0.701,0.786,0.733,0.48,0.161,0.112,0.157
0.9,0.688,0.79,0.723,0.466,0.195,0.161,0.224
0.9,0.69,0.79,0.725,0.469,0.194,0.16,0.225
