accuracy,recall,precision,f1,mcc,spd,aod,eod
0.733,0.66,0.694,0.669,0.353,0.133,0.091,0.039
0.73,0.661,0.689,0.669,0.348,0.054,0.005,0.011
0.753,0.686,0.721,0.696,0.405,0.17,0.123,0.051
0.763,0.696,0.735,0.708,0.429,0.062,0.005,0.024
0.74,0.668,0.703,0.678,0.37,0.155,0.107,0.084
0.723,0.648,0.68,0.656,0.326,0.026,0.025,0.005
0.747,0.673,0.714,0.684,0.384,0.014,0.073,0.061
0.723,0.653,0.68,0.661,0.332,0.121,0.083,0.022
0.753,0.691,0.719,0.701,0.41,0.153,0.096,0.079
0.743,0.678,0.706,0.687,0.384,0.135,0.088,0.034
0.757,0.686,0.727,0.697,0.411,0.004,0.057,0.055
0.743,0.665,0.71,0.676,0.373,0.087,0.036,0.024
0.767,0.69,0.745,0.704,0.432,0.135,0.081,0.047
0.75,0.678,0.718,0.689,0.394,0.048,0.029,0.096
0.763,0.672,0.755,0.686,0.418,0.091,0.044,0.003
0.75,0.678,0.718,0.689,0.394,0.16,0.106,0.096
0.767,0.701,0.739,0.713,0.438,0.125,0.069,0.024
0.747,0.665,0.717,0.676,0.378,0.166,0.123,0.074
0.767,0.674,0.762,0.689,0.427,0.051,0.007,0.003
0.757,0.651,0.763,0.662,0.398,0.043,0.01,0.02
0.733,0.639,0.703,0.648,0.335,0.176,0.158,0.008
0.743,0.635,0.737,0.643,0.358,0.043,0.002,0.009
0.767,0.661,0.786,0.674,0.429,0.114,0.069,0.032
0.76,0.691,0.731,0.702,0.42,0.155,0.11,0.024
0.747,0.638,0.746,0.646,0.368,0.047,0.001,0.015
0.757,0.659,0.75,0.671,0.398,0.019,0.04,0.003
0.743,0.638,0.733,0.647,0.359,0.124,0.081,0.081
0.76,0.661,0.758,0.674,0.408,0.023,0.037,0.009
0.747,0.651,0.728,0.662,0.371,0.006,0.049,0.014
0.74,0.628,0.737,0.633,0.347,0.011,0.039,0.015
0.757,0.659,0.75,0.671,0.398,0.041,0.02,0.042
0.743,0.643,0.726,0.653,0.36,0.004,0.059,0.008
0.763,0.661,0.771,0.674,0.418,0.013,0.044,0.019
0.73,0.617,0.713,0.621,0.317,0.029,0.019,0.042
0.753,0.643,0.765,0.652,0.389,0.055,0.008,0.104
0.75,0.643,0.75,0.652,0.378,0.088,0.048,0.015
0.733,0.652,0.696,0.662,0.346,0.135,0.094,0.057
0.76,0.656,0.767,0.668,0.408,0.017,0.044,0.02
0.77,0.674,0.774,0.689,0.437,0.063,0.006,0.015
0.717,0.626,0.673,0.633,0.296,0.045,0.001,0.018
0.76,0.653,0.773,0.665,0.409,0.025,0.034,0.026
0.753,0.648,0.754,0.659,0.388,0.106,0.06,0.054
0.75,0.648,0.742,0.659,0.379,0.018,0.065,0.075
0.783,0.689,0.798,0.707,0.475,0.063,0.002,0.026
0.757,0.656,0.754,0.668,0.398,0.094,0.036,0.087
0.753,0.643,0.765,0.652,0.389,0.034,0.087,0.052
0.78,0.695,0.777,0.712,0.464,0.057,0.008,0.003
0.733,0.633,0.707,0.641,0.332,0.008,0.058,0.02
0.753,0.654,0.746,0.665,0.389,0.045,0.013,0.042
0.773,0.682,0.773,0.698,0.446,0.029,0.03,0.03
0.757,0.653,0.758,0.665,0.398,0.013,0.047,0.015
