gen,nevals,avg,std,min,max
0,50,[0.61976 0.08226],[0.02126928 0.06172319],[0.541 0.001],[0.648 0.239]
1,3,[0.6324 0.129 ],[0.00913455 0.05278257],[0.616 0.056],[0.642 0.203]
2,3,[0.6212 0.102 ],[0.00813388 0.05494361],[0.609 0.047],[0.63  0.175]
3,5,[0.628 0.107],[0.01029563 0.08309031],[0.615 0.008],[0.646 0.212]
4,4,[0.6276 0.1058],[0.01105622 0.08259637],[0.608 0.025],[0.642 0.208]
5,5,[0.6342 0.0962],[0.00962081 0.07865469],[0.619 0.001],[0.644 0.203]
6,4,[0.6298 0.0812],[0.00762627 0.05383456],[0.62  0.003],[0.643 0.135]
7,5,[0.6272 0.0936],[0.01278124 0.05547828],[0.609 0.037],[0.649 0.191]
8,5,[0.6366 0.09  ],[0.0094784  0.03626017],[0.621 0.024],[0.649 0.122]
9,4,[0.6382 0.1004],[0.00986712 0.05425348],[0.622 0.004],[0.649 0.156]
10,4,[0.6128 0.0502],[0.0095373 0.0432546],[0.595 0.004],[0.622 0.128]
11,4,[0.6146 0.1004],[0.02276489 0.05764928],[0.573 0.009],[0.64  0.185]
12,5,[0.6314 0.1136],[0.01217539 0.04157211],[0.613 0.054],[0.649 0.174]
13,3,[0.6396 0.1458],[0.00422374 0.05293543],[0.637 0.074],[0.648 0.226]
14,3,[0.6392 0.2056],[0.00487442 0.04798583],[0.632 0.123],[0.646 0.263]
15,4,[0.632  0.1208],[0.01565886 0.08591019],[0.602 0.015],[0.647 0.226]
16,4,[0.6034 0.0736],[0.02083843 0.0419981 ],[0.575 0.015],[0.64  0.137]
17,5,[0.6058 0.054 ],[0.0192707  0.05857986],[0.581 0.01 ],[0.632 0.168]
18,3,[0.6088 0.1122],[0.01884038 0.07236408],[0.583 0.011],[0.633 0.215]
19,2,[0.5982 0.0802],[0.01973221 0.04725844],[0.575 0.011],[0.629 0.155]
20,2,[0.6162 0.0784],[0.01352627 0.04287937],[0.592 0.011],[0.629 0.139]
21,5,[0.617  0.0826],[0.01253794 0.04634911],[0.597 0.03 ],[0.63  0.159]
22,2,[0.6178 0.0894],[0.00976524 0.02431131],[0.605 0.067],[0.627 0.127]
23,4,[0.6056 0.0896],[0.01066958 0.03143628],[0.594 0.046],[0.624 0.127]
24,5,[0.613  0.0606],[0.01719302 0.01616911],[0.587 0.038],[0.639 0.086]
25,5,[0.6092 0.0884],[0.0151842  0.04766802],[0.587 0.024],[0.633 0.162]
