gen,nevals,avg,std,min,max
0,50,[0.70086 0.1132 ],[0.03082273 0.08945278],[0.573 0.03 ],[0.747 0.366]
1,4,[0.7128 0.1184],[0.00658483 0.10496209],[0.703 0.019],[0.72  0.322]
2,5,[0.698  0.0604],[0.01741264 0.0123061 ],[0.673 0.037],[0.723 0.07 ]
3,5,[0.7194 0.0876],[0.00574804 0.02753616],[0.71  0.045],[0.727 0.115]
4,5,[0.712 0.095],[0.00748331 0.00622896],[0.7   0.089],[0.72  0.104]
5,2,[0.7128 0.0778],[0.00870402 0.03890707],[0.697 0.001],[0.72  0.104]
6,4,[0.712  0.1094],[0.01926655 0.10080794],[0.69  0.001],[0.737 0.292]
7,2,[0.718  0.1212],[0.01507315 0.09005198],[0.7   0.034],[0.737 0.292]
8,3,[0.718  0.0958],[0.01091788 0.01648514],[0.703 0.065],[0.733 0.114]
9,3,[0.7046 0.063 ],[0.00778717 0.03040395],[0.69  0.021],[0.71  0.096]
10,4,[0.7014 0.0568],[0.01426324 0.01396281],[0.69  0.035],[0.727 0.072]
11,3,[0.692  0.0746],[0.01534927 0.04022238],[0.673 0.035],[0.72  0.133]
12,3,[0.6948 0.0734],[0.0084947  0.04595911],[0.687 0.005],[0.707 0.133]
13,4,[0.7014 0.0878],[0.01571751 0.02289454],[0.683 0.065],[0.727 0.13 ]
14,3,[0.6968 0.0848],[0.013891  0.0171744],[0.683 0.062],[0.717 0.109]
15,2,[0.6906 0.1268],[0.01134196 0.0747085 ],[0.683 0.086],[0.713 0.276]
16,4,[0.71   0.0864],[0.01533623 0.02249978],[0.68  0.046],[0.723 0.115]
17,5,[0.6876 0.1166],[0.02436062 0.08124678],[0.65  0.051],[0.707 0.276]
18,4,[0.6952 0.126 ],[0.01897788 0.08254211],[0.667 0.026],[0.723 0.276]
19,5,[0.702  0.1044],[0.01229634 0.02409647],[0.683 0.059],[0.717 0.129]
20,4,[0.6986 0.141 ],[0.00338231 0.08844433],[0.693 0.08 ],[0.703 0.316]
21,3,[0.7038 0.1418],[0.01014692 0.09074007],[0.693 0.057],[0.723 0.316]
22,3,[0.6966 0.0746],[0.00615142 0.0244998 ],[0.69  0.035],[0.707 0.098]
23,3,[0.7028 0.0744],[0.02124523 0.03431385],[0.663 0.035],[0.727 0.117]
24,4,[0.7142 0.12  ],[0.01163443 0.10554051],[0.707 0.035],[0.737 0.32 ]
25,5,[0.7034 0.0806],[0.00859302 0.03284266],[0.697 0.021],[0.72  0.111]
