gen,nevals,avg,std,min,max
0,50,[0.61558 0.08736],[0.03531181 0.09327524],[0.532 0.   ],[0.659 0.606]
1,3,[0.6254 0.1134],[0.03172759 0.05312852],[0.563 0.033],[0.646 0.187]
2,4,[0.6276 0.1126],[0.01985548 0.04187887],[0.596 0.06 ],[0.648 0.187]
3,4,[0.616  0.0848],[0.04195712 0.03867506],[0.535 0.023],[0.646 0.13 ]
4,3,[0.6192 0.0856],[0.04276167 0.03595887],[0.535 0.023],[0.648 0.114]
5,5,[0.6344 0.0968],[0.00801499 0.04744007],[0.624 0.042],[0.648 0.168]
6,3,[0.6328 0.0904],[0.00858836 0.04682563],[0.624 0.042],[0.649 0.168]
7,3,[0.6366 0.1288],[0.00615142 0.03419006],[0.63  0.084],[0.647 0.168]
8,4,[0.6316 0.0962],[0.01197664 0.06598303],[0.616 0.002],[0.646 0.168]
9,5,[0.6208 0.0948],[0.02530138 0.06067092],[0.571 0.022],[0.641 0.196]
10,4,[0.6312 0.1196],[0.00702567 0.07888118],[0.618 0.009],[0.639 0.225]
11,4,[0.6368 0.188 ],[0.00370945 0.05823401],[0.633 0.075],[0.643 0.233]
12,5,[0.6386 0.1732],[0.00349857 0.05072041],[0.632 0.076],[0.642 0.225]
13,5,[0.622  0.1316],[0.01900526 0.0703892 ],[0.588 0.04 ],[0.639 0.225]
14,5,[0.6212 0.1016],[0.0169517  0.08146067],[0.589 0.015],[0.639 0.225]
15,5,[0.6244 0.0712],[0.00646838 0.02645298],[0.613 0.044],[0.633 0.121]
16,4,[0.6314 0.086 ],[0.01146473 0.04451067],[0.622 0.052],[0.653 0.172]
17,2,[0.6316 0.0788],[0.01148216 0.04684613],[0.621 0.047],[0.653 0.172]
18,2,[0.6302 0.0832],[0.01163443 0.04524334],[0.621 0.047],[0.653 0.172]
19,5,[0.6348 0.0786],[0.0121062  0.06697641],[0.628 0.014],[0.659 0.207]
20,5,[0.6372 0.139 ],[0.01041921 0.07690774],[0.624 0.017],[0.656 0.224]
21,3,[0.6282 0.1216],[0.00570614 0.06913639],[0.624 0.035],[0.639 0.205]
22,4,[0.6272 0.0958],[0.00636867 0.06162921],[0.616 0.035],[0.634 0.192]
23,1,[0.6264 0.0818],[0.00989141 0.04638276],[0.616 0.035],[0.641 0.145]
24,4,[0.6352 0.0968],[0.01195659 0.03920408],[0.614 0.054],[0.65  0.153]
25,4,[0.6402 0.1442],[0.00624179 0.06000467],[0.633 0.054],[0.65  0.229]
