gen,nevals,avg,std,min,max
0,50,[0.66712 0.14398],[0.01422623 0.02499799],[0.621 0.074],[0.694 0.199]
1,5,[0.6538 0.1318],[0.01622837 0.02937618],[0.627 0.093],[0.672 0.159]
2,4,[0.659 0.156],[0.0117303  0.01830847],[0.644 0.123],[0.676 0.175]
3,4,[0.6616 0.1512],[0.01272164 0.0289026 ],[0.65  0.097],[0.679 0.18 ]
4,5,[0.6562 0.1494],[0.01101635 0.01078147],[0.645 0.13 ],[0.673 0.161]
5,4,[0.658 0.162],[0.0123774  0.02819929],[0.646 0.125],[0.681 0.197]
6,4,[0.6748 0.1656],[0.01289031 0.02659774],[0.656 0.128],[0.688 0.197]
7,3,[0.668 0.132],[0.01056409 0.03431035],[0.654 0.089],[0.686 0.168]
8,2,[0.6678 0.1434],[0.01381883 0.02616563],[0.654 0.093],[0.693 0.168]
9,4,[0.6674 0.1452],[0.01878936 0.01502531],[0.647 0.125],[0.691 0.169]
10,5,[0.6634 0.1394],[0.01777189 0.01658433],[0.647 0.12 ],[0.688 0.164]
11,4,[0.6662 0.1366],[0.01859462 0.02544484],[0.643 0.105],[0.688 0.167]
12,5,[0.6718 0.1462],[0.01723253 0.0273452 ],[0.647 0.098],[0.687 0.183]
13,4,[0.6638 0.128 ],[0.01641219 0.02455199],[0.645 0.098],[0.688 0.167]
14,3,[0.6788 0.1366],[0.01601749 0.02768826],[0.647 0.106],[0.688 0.177]
15,5,[0.6758 0.1466],[0.01741723 0.03117435],[0.642 0.093],[0.692 0.183]
16,5,[0.6826 0.1314],[0.00598665 0.01603247],[0.676 0.114],[0.692 0.159]
17,5,[0.6766 0.1384],[0.0051614  0.02184125],[0.67  0.115],[0.683 0.178]
18,3,[0.674  0.1498],[0.00589915 0.02548254],[0.668 0.127],[0.683 0.192]
19,3,[0.6732 0.1446],[0.00396989 0.01824938],[0.67  0.127],[0.679 0.169]
20,1,[0.6742 0.1406],[0.00523068 0.01676425],[0.67  0.127],[0.682 0.164]
21,2,[0.676  0.1394],[0.00807465 0.01170641],[0.669 0.127],[0.689 0.158]
22,3,[0.6732 0.1266],[0.00462169 0.00886792],[0.669 0.115],[0.681 0.142]
23,5,[0.6796 0.1638],[0.00615142 0.0163878 ],[0.672 0.147],[0.689 0.192]
24,5,[0.676 0.15 ],[0.01031504 0.02745906],[0.657 0.101],[0.687 0.182]
25,4,[0.6768 0.134 ],[0.00899778 0.03855905],[0.666 0.088],[0.689 0.187]
