accuracy,recall,precision,f1,mcc,spd,aod,eod
0.848,0.625,0.733,0.651,0.341,0.064,0.051,0.075
0.851,0.631,0.742,0.659,0.356,0.053,0.034,0.051
0.852,0.625,0.748,0.653,0.351,0.057,0.04,0.057
0.845,0.621,0.722,0.646,0.328,0.054,0.045,0.075
0.804,0.623,0.637,0.629,0.26,0.063,0.023,0.003
0.841,0.633,0.707,0.656,0.332,0.046,0.027,0.045
0.849,0.624,0.738,0.651,0.344,0.055,0.042,0.067
0.852,0.605,0.765,0.631,0.333,0.039,0.023,0.035
0.854,0.61,0.77,0.637,0.344,0.031,0.011,0.019
0.853,0.611,0.766,0.639,0.344,0.044,0.034,0.057
0.841,0.568,0.721,0.58,0.245,0.024,0.007,0.006
0.844,0.619,0.717,0.643,0.321,0.051,0.031,0.042
0.848,0.602,0.743,0.626,0.315,0.053,0.039,0.053
0.858,0.621,0.786,0.652,0.372,0.043,0.019,0.026
0.853,0.63,0.751,0.659,0.362,0.064,0.06,0.1
0.849,0.63,0.733,0.657,0.348,0.056,0.03,0.036
0.849,0.628,0.736,0.655,0.347,0.049,0.025,0.034
0.857,0.617,0.781,0.647,0.362,0.04,0.015,0.019
0.855,0.615,0.774,0.644,0.355,0.037,0.015,0.021
0.849,0.625,0.737,0.652,0.345,0.053,0.039,0.062
0.856,0.618,0.773,0.648,0.36,0.046,0.031,0.051
0.846,0.585,0.741,0.604,0.286,0.035,0.032,0.057
0.855,0.612,0.774,0.64,0.351,0.042,0.026,0.042
0.848,0.624,0.732,0.65,0.339,0.059,0.046,0.07
0.853,0.622,0.753,0.651,0.352,0.041,0.013,0.012
0.851,0.606,0.757,0.632,0.33,0.045,0.041,0.073
0.85,0.622,0.743,0.649,0.344,0.063,0.052,0.078
0.856,0.617,0.776,0.646,0.359,0.043,0.024,0.036
0.85,0.627,0.739,0.654,0.348,0.051,0.032,0.047
0.855,0.612,0.773,0.641,0.35,0.048,0.037,0.059
0.856,0.617,0.778,0.647,0.361,0.053,0.043,0.069
0.857,0.619,0.779,0.649,0.364,0.052,0.04,0.064
0.852,0.605,0.765,0.632,0.334,0.036,0.014,0.017
0.83,0.624,0.679,0.642,0.298,0.062,0.036,0.04
0.849,0.597,0.751,0.621,0.312,0.042,0.031,0.048
0.847,0.628,0.728,0.654,0.341,0.061,0.038,0.046
0.845,0.586,0.735,0.606,0.284,0.034,0.033,0.062
0.855,0.613,0.775,0.641,0.352,0.047,0.032,0.049
0.854,0.612,0.767,0.64,0.345,0.041,0.023,0.034
0.856,0.617,0.773,0.646,0.357,0.057,0.051,0.084
0.854,0.63,0.756,0.659,0.365,0.062,0.049,0.075
0.845,0.635,0.719,0.659,0.343,0.068,0.047,0.06
