gen,nevals,avg,std,min,max
0,50,[0.82096 0.06322],[0.03398821 0.03526261],[0.725 0.   ],[0.849 0.256]
1,3,[0.8356 0.065 ],[0.00628013 0.00923038],[0.827 0.055],[0.842 0.082]
2,3,[0.836  0.0682],[0.00616441 0.00945304],[0.828 0.057],[0.842 0.082]
3,5,[0.8408 0.07  ],[0.00074833 0.00460435],[0.84  0.064],[0.842 0.077]
4,5,[0.8408 0.0748],[0.00074833 0.00793473],[0.84 0.06],[0.842 0.083]
5,4,[0.839  0.0732],[0.00275681 0.0056356 ],[0.834 0.064],[0.841 0.08 ]
6,5,[0.8414 0.0772],[0.0010198  0.00348712],[0.84  0.073],[0.843 0.081]
7,3,[0.8426 0.0758],[0.00174356 0.0074135 ],[0.841 0.061],[0.846 0.08 ]
8,2,[0.843  0.0736],[0.00357771 0.00776144],[0.838 0.061],[0.848 0.08 ]
9,5,[0.8292 0.0716],[0.02888875 0.00962497],[0.772 0.055],[0.848 0.082]
10,4,[0.8296 0.0668],[0.02886243 0.00682349],[0.772 0.055],[0.847 0.074]
11,4,[0.827 0.077],[0.02149419 0.00827043],[0.787 0.067],[0.845 0.092]
12,5,[0.792  0.0576],[0.0591033  0.02297477],[0.698 0.029],[0.848 0.083]
13,4,[0.7842 0.0632],[0.05396814 0.02022276],[0.698 0.031],[0.842 0.091]
14,4,[0.8036 0.0776],[0.04348609 0.01251559],[0.741 0.059],[0.841 0.097]
15,4,[0.7924 0.0778],[0.04305624 0.01452446],[0.741 0.057],[0.844 0.097]
16,4,[0.7692 0.0638],[0.03631749 0.00719444],[0.736 0.053],[0.84  0.071]
17,4,[0.779  0.0746],[0.03422864 0.00956243],[0.741 0.063],[0.841 0.089]
18,4,[0.7968 0.0706],[0.03735452 0.00861626],[0.76  0.058],[0.843 0.08 ]
19,2,[0.8072 0.0712],[0.03867506 0.00685274],[0.76  0.063],[0.843 0.078]
20,4,[0.791  0.0616],[0.03807887 0.01693045],[0.752 0.035],[0.841 0.079]
21,5,[0.8168 0.0736],[0.0315303  0.00873155],[0.763 0.061],[0.846 0.084]
22,4,[0.8194 0.0684],[0.02783236 0.00725534],[0.775 0.059],[0.848 0.077]
23,4,[0.7734 0.0484],[0.04431523 0.01441666],[0.715 0.03 ],[0.841 0.069]
24,3,[0.7726 0.067 ],[0.04090281 0.01820989],[0.72  0.039],[0.834 0.094]
25,4,[0.7648 0.0514],[0.00470744 0.0102098 ],[0.757 0.035],[0.771 0.064]
