accuracy,recall,precision,f1,mcc,avg_spd,avg_aod,avg_eod,spd,aod,eod
0.614,0.594,0.674,0.553,0.255,0.064,0.051000000000000004,0.006500000000000001,0.099,0.074,0.031
0.626,0.622,0.624,0.622,0.246,0.1265,0.1015,0.07400000000000001,0.173,0.15,0.141
0.609,0.589,0.662,0.549,0.24,0.059,0.0475,0.0025,0.084,0.061,0.009
0.619,0.615,0.617,0.615,0.232,0.087,0.06949999999999999,0.0465,0.127,0.102,0.09
0.626,0.607,0.677,0.575,0.275,0.1,0.0865,0.022,0.149,0.125,0.043
0.607,0.585,0.67,0.539,0.241,0.055499999999999994,0.042499999999999996,0.0195,0.083,0.067,0.056
0.636,0.619,0.678,0.595,0.291,0.0695,0.05,0.007,0.096,0.067,0.014
0.621,0.601,0.674,0.566,0.266,0.0665,0.048,0.014,0.1,0.071,0.033
0.613,0.592,0.671,0.551,0.251,0.056,0.041999999999999996,0.008,0.078,0.056,0.02
0.629,0.627,0.627,0.627,0.254,0.097,0.07300000000000001,0.040999999999999995,0.143,0.109,0.082
0.598,0.575,0.675,0.516,0.228,0.0235,0.018000000000000002,0.0195,0.056,0.056,0.04
0.642,0.637,0.642,0.637,0.279,0.1045,0.077,0.047,0.166,0.129,0.085
0.65,0.643,0.652,0.641,0.294,0.0825,0.054,0.044,0.14,0.107,0.09
0.672,0.666,0.674,0.665,0.34,0.14450000000000002,0.1185,0.0435,0.217,0.189,0.082
0.669,0.665,0.669,0.665,0.334,0.14250000000000002,0.11299999999999999,0.061,0.194,0.157,0.105
0.663,0.657,0.665,0.656,0.322,0.17149999999999999,0.145,0.087,0.279,0.239,0.164
0.658,0.653,0.658,0.653,0.311,0.11349999999999999,0.08499999999999999,0.052,0.192,0.162,0.101
0.639,0.622,0.673,0.602,0.291,0.1535,0.1405,0.057499999999999996,0.228,0.201,0.105
0.626,0.608,0.672,0.578,0.273,0.10400000000000001,0.09,0.0285,0.17,0.147,0.063
0.63,0.625,0.629,0.625,0.254,0.0965,0.07550000000000001,0.0225,0.132,0.112,0.071
0.668,0.663,0.668,0.663,0.331,0.17099999999999999,0.14,0.0965,0.264,0.221,0.158
0.665,0.658,0.667,0.657,0.324,0.11900000000000001,0.088,0.044,0.208,0.165,0.1
0.656,0.647,0.662,0.643,0.309,0.109,0.082,0.0345,0.159,0.13,0.072
0.68,0.673,0.684,0.672,0.357,0.164,0.1335,0.079,0.259,0.221,0.125
0.669,0.662,0.671,0.661,0.333,0.16399999999999998,0.1365,0.0785,0.244,0.207,0.118
0.643,0.638,0.643,0.638,0.281,0.1025,0.0775,0.0315,0.144,0.116,0.07
0.679,0.672,0.682,0.671,0.353,0.14400000000000002,0.11199999999999999,0.0575,0.238,0.194,0.11
0.676,0.671,0.678,0.67,0.348,0.172,0.14150000000000001,0.089,0.279,0.241,0.148
0.635,0.631,0.633,0.631,0.264,0.1205,0.0995,0.046,0.171,0.144,0.095
0.668,0.662,0.669,0.662,0.332,0.128,0.1005,0.040499999999999994,0.201,0.172,0.069
0.675,0.67,0.675,0.67,0.345,0.176,0.146,0.0915,0.276,0.24,0.151
0.646,0.637,0.652,0.633,0.288,0.1025,0.077,0.0375,0.174,0.142,0.071
0.679,0.672,0.682,0.671,0.354,0.10849999999999999,0.07350000000000001,0.042,0.174,0.132,0.096
0.676,0.666,0.69,0.661,0.355,0.123,0.095,0.030000000000000002,0.195,0.153,0.059
0.601,0.58,0.648,0.538,0.218,0.07600000000000001,0.0685,0.0085,0.112,0.102,0.015
0.639,0.632,0.639,0.63,0.271,0.10500000000000001,0.082,0.038500000000000006,0.152,0.125,0.076
0.669,0.663,0.671,0.662,0.334,0.14300000000000002,0.1105,0.0725,0.211,0.167,0.109
0.669,0.664,0.669,0.664,0.333,0.159,0.1305,0.0775,0.259,0.22,0.136
0.645,0.641,0.644,0.641,0.285,0.1275,0.10500000000000001,0.049,0.187,0.158,0.113
0.669,0.662,0.672,0.66,0.334,0.1315,0.10400000000000001,0.043,0.187,0.153,0.086
0.657,0.65,0.659,0.649,0.309,0.14300000000000002,0.11399999999999999,0.0815,0.2,0.155,0.123
0.664,0.654,0.676,0.648,0.329,0.1145,0.08600000000000001,0.0375,0.185,0.142,0.078
0.669,0.663,0.67,0.663,0.333,0.15200000000000002,0.121,0.079,0.253,0.205,0.155
0.684,0.677,0.691,0.675,0.367,0.09749999999999999,0.0625,0.0415,0.159,0.121,0.077
0.649,0.642,0.651,0.64,0.292,0.1215,0.094,0.06,0.195,0.16,0.103
0.668,0.663,0.669,0.662,0.332,0.16,0.1315,0.0745,0.236,0.204,0.133
0.638,0.634,0.637,0.634,0.27,0.1005,0.07400000000000001,0.0565,0.2,0.172,0.138
0.641,0.635,0.64,0.635,0.275,0.0885,0.062,0.03,0.146,0.116,0.103
0.667,0.658,0.674,0.655,0.332,0.169,0.145,0.0725,0.247,0.206,0.122
0.667,0.663,0.666,0.663,0.328,0.1555,0.126,0.07300000000000001,0.273,0.236,0.145
0.65,0.645,0.65,0.645,0.295,0.14150000000000001,0.11699999999999999,0.0665,0.21,0.18,0.096
0.645,0.63,0.672,0.614,0.299,0.07250000000000001,0.048,0.018500000000000003,0.121,0.083,0.058
0.667,0.662,0.667,0.662,0.328,0.167,0.1385,0.09,0.261,0.217,0.156
