accuracy	0.770000	0.756667	0.740000	0.770000	0.750000	0.753333	0.716667	0.810000	0.786667	0.786667	0.750000	0.733333	0.730000	0.760000	0.756667	0.780000	0.773333	0.770000	0.766667	0.773333	
recall	0.678820	0.627744	0.639379	0.672367	0.651084	0.624860	0.622123	0.708706	0.695238	0.663012	0.653776	0.633865	0.626137	0.641904	0.658395	0.665552	0.666806	0.673495	0.674020	0.678249	
precision	0.720414	0.712741	0.733244	0.718750	0.738000	0.684524	0.704861	0.782972	0.762895	0.749401	0.734801	0.712000	0.709991	0.683859	0.744271	0.792359	0.763889	0.746382	0.756549	0.723438	
f1score	0.691960	0.639560	0.646974	0.686245	0.662117	0.636661	0.623888	0.730416	0.712987	0.682203	0.665174	0.641234	0.631679	0.654090	0.671127	0.682916	0.683230	0.689147	0.688889	0.692233	
mcc	0.397061	0.329705	0.360606	0.388357	0.379252	0.303576	0.316343	0.486037	0.453110	0.403263	0.380036	0.336924	0.325500	0.323050	0.393402	0.440002	0.419611	0.413502	0.422585	0.399137	
spd	0.118363	0.126272	0.016063	0.039520	0.058303	0.132134	0.072000	0.108135	0.122255	0.087774	0.032653	0.105932	0.132588	0.125878	0.026985	0.011298	0.125864	0.010856	0.016028	0.144985	
aod	0.032081	0.093391	0.020078	0.020637	0.130104	0.101813	0.042511	0.011286	0.127810	0.051329	0.018683	0.081865	0.092116	0.094388	0.077884	0.055986	0.032388	0.075695	0.052896	0.066796	
eod	0.062930	0.060439	0.031928	0.006985	0.108965	0.013501	0.034545	0.017500	0.056862	0.006394	0.008478	0.092496	0.060294	0.074654	0.045720	0.044199	0.011204	0.056795	0.041379	0.110526	
