gen,nevals,avg,std,min,max
0,50,[0.77254 0.11584],[0.01472442 0.03576107],[0.733 0.052],[0.81  0.195]
1,5,[0.7474 0.1214],[0.02943875 0.0361696 ],[0.7   0.085],[0.777 0.182]
2,4,[0.7546 0.117 ],[0.02926841 0.03520227],[0.7   0.074],[0.783 0.172]
3,5,[0.7608 0.1372],[0.02542754 0.03140955],[0.727 0.095],[0.787 0.172]
4,4,[0.75   0.1212],[0.02598461 0.06055543],[0.707 0.06 ],[0.787 0.229]
5,5,[0.73   0.1188],[0.0176522 0.0267088],[0.713 0.078],[0.76 0.16]
6,4,[0.7188 0.1428],[0.01592985 0.05537292],[0.697 0.078],[0.743 0.234]
7,5,[0.7506 0.1048],[0.02100095 0.05246866],[0.723 0.065],[0.78  0.207]
8,4,[0.7494 0.1402],[0.02940476 0.04813897],[0.697 0.065],[0.773 0.201]
9,3,[0.7672 0.1632],[0.01230285 0.05914524],[0.743 0.06 ],[0.777 0.217]
10,2,[0.762  0.1866],[0.0121326  0.02679254],[0.743 0.145],[0.777 0.217]
11,5,[0.7688 0.1084],[0.01121428 0.02558593],[0.747 0.075],[0.777 0.136]
12,3,[0.7694 0.1168],[0.00574804 0.02700667],[0.76  0.065],[0.777 0.136]
13,4,[0.7614 0.1268],[0.00628013 0.03920408],[0.753 0.065],[0.77  0.185]
14,3,[0.766  0.1136],[0.00660303 0.04466587],[0.753 0.071],[0.77  0.185]
15,5,[0.7632 0.0826],[0.01835647 0.03191614],[0.73  0.042],[0.783 0.121]
16,5,[0.7734 0.072 ],[0.00924338 0.02035682],[0.763 0.041],[0.787 0.101]
17,4,[0.7644 0.1246],[0.02349127 0.0867147 ],[0.733 0.05 ],[0.803 0.292]
18,4,[0.7614 0.0968],[0.01412232 0.0442285 ],[0.74  0.051],[0.777 0.178]
19,4,[0.7562 0.0896],[0.01545833 0.04562718],[0.73  0.049],[0.77  0.178]
20,4,[0.7594 0.1064],[0.01135958 0.01945867],[0.74  0.084],[0.77  0.134]
21,4,[0.7594 0.091 ],[0.01005187 0.02139159],[0.74  0.069],[0.767 0.132]
22,5,[0.7522 0.1034],[0.0138766  0.03172759],[0.74  0.052],[0.777 0.132]
23,3,[0.7554 0.1012],[0.01265859 0.02936256],[0.74  0.054],[0.777 0.131]
24,4,[0.7512 0.0966],[0.01378985 0.01576832],[0.73  0.078],[0.77 0.12]
25,4,[0.752  0.0822],[0.00869483 0.02150721],[0.74  0.054],[0.76  0.107]
