,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,AVG_SPD,AVG_AOD,AVG_EOD,Run
0,0.86,0.78,0.823,0.798,0.601,0.22,0.109,0.141,0.133,0.058499999999999996,0.07100000000000001,9
1,0.859,0.77,0.829,0.793,0.596,0.199,0.099,0.138,0.12,0.043000000000000003,0.0475,9
2,0.856,0.758,0.829,0.784,0.583,0.193,0.102,0.145,0.116,0.043500000000000004,0.049999999999999996,9
3,0.855,0.756,0.829,0.782,0.581,0.185,0.081,0.108,0.1125,0.042499999999999996,0.051,9
4,0.861,0.77,0.833,0.794,0.6,0.188,0.069,0.08,0.1195,0.047,0.0555,8
5,0.861,0.773,0.832,0.795,0.602,0.195,0.084,0.104,0.125,0.0545,0.0665,8
6,0.851,0.747,0.826,0.774,0.567,0.172,0.066,0.077,0.107,0.0395,0.045,8
7,0.85,0.745,0.824,0.772,0.563,0.178,0.09,0.119,0.1125,0.051000000000000004,0.0635,8
8,0.849,0.75,0.815,0.773,0.561,0.219,0.172,0.259,0.1385,0.101,0.1485,8
9,0.858,0.784,0.818,0.798,0.601,0.228,0.154,0.232,0.14300000000000002,0.07400000000000001,0.0975,18
10,0.861,0.789,0.823,0.803,0.611,0.225,0.146,0.217,0.1375,0.058499999999999996,0.0715,18
11,0.857,0.765,0.828,0.788,0.589,0.208,0.144,0.221,0.1275,0.061,0.081,18
12,0.857,0.765,0.827,0.788,0.588,0.213,0.148,0.224,0.1295,0.0635,0.08349999999999999,18
13,0.853,0.75,0.829,0.777,0.574,0.2,0.145,0.227,0.124,0.0725,0.107,18
14,0.854,0.752,0.832,0.779,0.578,0.201,0.153,0.244,0.1235,0.07050000000000001,0.10400000000000001,18
15,0.848,0.731,0.833,0.762,0.555,0.19,0.155,0.254,0.118,0.08299999999999999,0.133,18
16,0.849,0.732,0.834,0.763,0.557,0.189,0.146,0.234,0.11649999999999999,0.076,0.1185,18
17,0.851,0.737,0.837,0.768,0.565,0.185,0.139,0.224,0.1135,0.065,0.098,18
18,0.842,0.707,0.84,0.741,0.531,0.155,0.112,0.184,0.0985,0.059,0.0925,18
19,0.858,0.768,0.828,0.791,0.593,0.204,0.132,0.195,0.124,0.059,0.0735,19
20,0.862,0.77,0.836,0.795,0.602,0.191,0.108,0.159,0.11599999999999999,0.045,0.052000000000000005,19
21,0.858,0.766,0.829,0.79,0.593,0.202,0.135,0.205,0.122,0.059,0.07600000000000001,19
22,0.854,0.75,0.831,0.778,0.576,0.18,0.104,0.155,0.11,0.056,0.079,19
23,0.862,0.78,0.831,0.8,0.608,0.208,0.124,0.197,0.1245,0.045,0.047,17
24,0.86,0.77,0.834,0.794,0.601,0.19,0.096,0.164,0.11349999999999999,0.031,0.025500000000000002,17
25,0.861,0.774,0.833,0.797,0.604,0.2,0.108,0.181,0.1185,0.0375,0.037,17
26,0.859,0.767,0.833,0.792,0.597,0.194,0.09,0.126,0.11599999999999999,0.038,0.038,17
27,0.858,0.768,0.829,0.791,0.594,0.191,0.106,0.156,0.11599999999999999,0.0425,0.048,17
28,0.86,0.766,0.835,0.791,0.597,0.192,0.095,0.142,0.11399999999999999,0.037,0.037,17
29,0.849,0.763,0.811,0.782,0.572,0.2,0.106,0.151,0.123,0.041999999999999996,0.035500000000000004,17
30,0.846,0.73,0.827,0.76,0.549,0.178,0.134,0.23,0.105,0.050499999999999996,0.068,17
31,0.842,0.723,0.823,0.753,0.537,0.175,0.124,0.204,0.106,0.057999999999999996,0.0815,17
32,0.863,0.784,0.83,0.803,0.613,0.21,0.09,0.111,0.134,0.06,0.0745,16
33,0.862,0.774,0.836,0.797,0.606,0.193,0.079,0.099,0.1235,0.0495,0.058499999999999996,16
34,0.86,0.763,0.838,0.79,0.597,0.188,0.088,0.119,0.1175,0.052000000000000005,0.0685,16
35,0.861,0.766,0.837,0.792,0.599,0.19,0.093,0.131,0.1205,0.057499999999999996,0.0795,16
36,0.86,0.765,0.837,0.791,0.598,0.192,0.099,0.14,0.1215,0.056,0.074,16
37,0.854,0.747,0.835,0.776,0.576,0.185,0.096,0.133,0.11549999999999999,0.057999999999999996,0.08,16
38,0.846,0.726,0.832,0.757,0.548,0.171,0.113,0.174,0.1065,0.0605,0.09,16
39,0.861,0.773,0.834,0.796,0.603,0.2,0.09,0.114,0.1185,0.04,0.0405,14
40,0.861,0.774,0.833,0.797,0.605,0.201,0.093,0.121,0.124,0.0475,0.0535,14
41,0.858,0.762,0.836,0.789,0.594,0.188,0.083,0.107,0.11449999999999999,0.041999999999999996,0.048499999999999995,14
42,0.856,0.757,0.834,0.784,0.587,0.183,0.076,0.104,0.109,0.038000000000000006,0.044000000000000004,14
43,0.853,0.754,0.828,0.78,0.578,0.199,0.117,0.167,0.124,0.0655,0.088,14
44,0.841,0.725,0.818,0.754,0.535,0.188,0.15,0.239,0.1185,0.084,0.13,14
45,0.862,0.777,0.833,0.799,0.608,0.201,0.098,0.13,0.1195,0.046,0.051500000000000004,15
46,0.861,0.773,0.832,0.796,0.602,0.197,0.1,0.139,0.1175,0.049,0.061,15
47,0.858,0.763,0.834,0.788,0.592,0.186,0.085,0.114,0.11,0.047,0.0605,15
48,0.846,0.729,0.829,0.759,0.549,0.178,0.13,0.207,0.107,0.068,0.10400000000000001,15
49,0.861,0.775,0.833,0.798,0.606,0.208,0.108,0.152,0.1295,0.049,0.057,11
50,0.859,0.77,0.832,0.793,0.599,0.207,0.112,0.159,0.13,0.055,0.068,11
51,0.859,0.767,0.835,0.792,0.598,0.204,0.131,0.202,0.128,0.056,0.07300000000000001,11
52,0.859,0.765,0.836,0.791,0.597,0.201,0.127,0.195,0.1255,0.053,0.0665,11
53,0.852,0.751,0.83,0.778,0.576,0.192,0.107,0.156,0.123,0.062,0.087,11
54,0.853,0.753,0.83,0.779,0.577,0.2,0.128,0.193,0.125,0.061,0.0815,11
55,0.85,0.747,0.827,0.774,0.569,0.189,0.103,0.148,0.1215,0.059,0.08,11
56,0.848,0.737,0.83,0.766,0.559,0.184,0.122,0.199,0.1145,0.0575,0.08,11
57,0.849,0.742,0.829,0.771,0.565,0.189,0.13,0.205,0.1185,0.061,0.08700000000000001,11
58,0.859,0.773,0.832,0.795,0.602,0.2,0.1,0.165,0.119,0.03,0.03,10
59,0.86,0.774,0.833,0.796,0.604,0.197,0.081,0.099,0.1215,0.0415,0.042,10
60,0.862,0.776,0.837,0.799,0.61,0.201,0.097,0.134,0.1245,0.046,0.0495,10
61,0.858,0.77,0.832,0.793,0.598,0.205,0.11,0.15,0.127,0.055,0.065,10
62,0.855,0.759,0.832,0.785,0.587,0.193,0.095,0.128,0.119,0.05,0.06,10
63,0.855,0.757,0.833,0.784,0.585,0.198,0.122,0.179,0.1205,0.055,0.07050000000000001,10
64,0.85,0.748,0.828,0.775,0.57,0.196,0.128,0.191,0.11699999999999999,0.057999999999999996,0.0785,10
65,0.847,0.744,0.822,0.77,0.56,0.19,0.11,0.155,0.1155,0.054,0.068,10
66,0.842,0.723,0.829,0.753,0.541,0.183,0.136,0.213,0.113,0.0725,0.109,10
67,0.86,0.777,0.831,0.798,0.606,0.195,0.099,0.141,0.122,0.051500000000000004,0.07050000000000001,12
68,0.86,0.779,0.83,0.799,0.607,0.195,0.106,0.159,0.123,0.05450000000000001,0.077,12
69,0.856,0.767,0.828,0.79,0.591,0.203,0.114,0.16,0.1275,0.064,0.087,12
70,0.848,0.746,0.824,0.773,0.565,0.187,0.114,0.173,0.11850000000000001,0.0685,0.10400000000000001,12
71,0.841,0.729,0.818,0.757,0.54,0.188,0.14,0.218,0.11800000000000001,0.0805,0.124,12
72,0.857,0.776,0.822,0.794,0.596,0.199,0.09,0.106,0.128,0.056999999999999995,0.0655,13
73,0.856,0.776,0.818,0.794,0.593,0.196,0.101,0.134,0.1275,0.055999999999999994,0.065,13
74,0.857,0.767,0.827,0.79,0.591,0.196,0.101,0.13,0.124,0.055499999999999994,0.0675,13
75,0.849,0.743,0.825,0.77,0.562,0.175,0.08,0.095,0.11,0.0475,0.055999999999999994,13
76,0.849,0.742,0.826,0.77,0.562,0.176,0.092,0.12,0.113,0.057999999999999996,0.0775,13
77,0.849,0.745,0.826,0.772,0.565,0.185,0.106,0.145,0.117,0.0655,0.091,13
78,0.856,0.781,0.821,0.798,0.601,0.216,0.115,0.152,0.1405,0.072,0.096,0
79,0.858,0.781,0.824,0.798,0.603,0.214,0.117,0.159,0.1375,0.07,0.0945,0
80,0.854,0.768,0.824,0.79,0.59,0.209,0.107,0.146,0.133,0.071,0.09849999999999999,0
81,0.853,0.765,0.825,0.787,0.587,0.201,0.102,0.141,0.128,0.066,0.0925,0
82,0.853,0.757,0.83,0.783,0.582,0.193,0.095,0.131,0.1235,0.0615,0.08399999999999999,0
83,0.846,0.746,0.82,0.771,0.561,0.2,0.129,0.194,0.128,0.08,0.1165,0
84,0.835,0.721,0.809,0.748,0.523,0.162,0.124,0.193,0.107,0.058,0.08600000000000001,0
85,0.838,0.721,0.821,0.75,0.533,0.141,0.083,0.124,0.09,0.042,0.0635,0
86,0.862,0.781,0.83,0.801,0.609,0.197,0.068,0.083,0.116,0.026500000000000003,0.028499999999999998,1
87,0.861,0.785,0.825,0.802,0.609,0.2,0.062,0.073,0.121,0.030000000000000002,0.0245,1
88,0.859,0.766,0.834,0.791,0.596,0.195,0.09,0.134,0.118,0.0395,0.0395,1
89,0.857,0.765,0.831,0.789,0.593,0.191,0.108,0.177,0.11299999999999999,0.032,0.0325,1
90,0.85,0.751,0.823,0.777,0.57,0.186,0.092,0.142,0.1105,0.036,0.0385,1
91,0.845,0.739,0.818,0.765,0.551,0.194,0.151,0.251,0.1135,0.049,0.067,1
92,0.854,0.77,0.819,0.79,0.587,0.191,0.063,0.061,0.122,0.0395,0.032,3
93,0.854,0.757,0.828,0.783,0.581,0.177,0.052,0.056,0.11049999999999999,0.03,0.0275,3
94,0.853,0.756,0.826,0.781,0.578,0.174,0.053,0.065,0.108,0.027,0.032,3
95,0.849,0.737,0.831,0.767,0.56,0.17,0.093,0.137,0.108,0.0525,0.07050000000000001,3
96,0.844,0.731,0.823,0.76,0.546,0.169,0.102,0.15,0.1075,0.053,0.0695,3
97,0.86,0.777,0.834,0.799,0.608,0.214,0.124,0.18,0.134,0.065,0.0875,2
98,0.855,0.768,0.827,0.791,0.593,0.205,0.12,0.183,0.1255,0.0565,0.07550000000000001,2
99,0.853,0.763,0.826,0.786,0.586,0.202,0.108,0.149,0.1265,0.058499999999999996,0.0745,2
100,0.853,0.763,0.826,0.786,0.586,0.203,0.109,0.15,0.1265,0.057999999999999996,0.074,2
101,0.852,0.776,0.815,0.792,0.59,0.221,0.121,0.162,0.1365,0.064,0.0815,2
102,0.865,0.78,0.838,0.803,0.615,0.201,0.097,0.13,0.1275,0.0565,0.072,6
103,0.862,0.771,0.837,0.796,0.604,0.199,0.116,0.168,0.1225,0.055,0.07100000000000001,6
104,0.862,0.769,0.837,0.794,0.602,0.197,0.114,0.164,0.1225,0.055999999999999994,0.0735,6
105,0.855,0.768,0.82,0.788,0.586,0.207,0.117,0.156,0.134,0.0745,0.1005,6
106,0.852,0.764,0.816,0.784,0.577,0.223,0.148,0.209,0.1385,0.08449999999999999,0.1155,6
107,0.85,0.736,0.835,0.767,0.563,0.188,0.163,0.27,0.11699999999999999,0.0845,0.136,6
108,0.848,0.737,0.828,0.766,0.557,0.175,0.106,0.158,0.1085,0.056999999999999995,0.082,6
109,0.849,0.742,0.825,0.77,0.561,0.197,0.162,0.258,0.1215,0.0825,0.1265,6
