,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,AVG_SPD,AVG_AOD,AVG_EOD,Run
21,0.78,0.658,0.752,0.676,0.399,0.102,0.119,0.167,0.047,0.042,0.0375,19
22,0.78,0.69,0.733,0.704,0.42,0.056,0.166,0.113,0.032,0.10600000000000001,0.0385,19
23,0.783,0.685,0.741,0.702,0.423,0.093,0.071,0.015,0.0445,0.02,0.009,19
24,0.793,0.656,0.789,0.677,0.425,0.101,0.139,0.077,0.026000000000000002,0.034499999999999996,0.0125,7
25,0.8,0.746,0.75,0.748,0.497,0.157,0.169,0.071,0.0335,0.078,0.015,7
26,0.823,0.763,0.783,0.771,0.545,0.119,0.044,0.154,0.06,0.0165,0.033,7
27,0.81,0.701,0.79,0.725,0.483,0.125,0.079,0.131,0.0645,0.006,0.0385,7
28,0.813,0.759,0.768,0.763,0.527,0.124,0.125,0.154,0.049,0.086,0.0445,7
29,0.81,0.701,0.79,0.725,0.483,0.126,0.023,0.036,0.0645,0.007,0.024,7
30,0.72,0.639,0.698,0.645,0.331,0.207,0.15,0.012,0.045,0.013,0.007,6
31,0.733,0.658,0.715,0.667,0.368,0.154,0.082,0.11,0.07200000000000001,0.02,0.046,6
32,0.743,0.67,0.729,0.681,0.395,0.154,0.082,0.128,0.076,0.025500000000000002,0.031,6
33,0.683,0.59,0.641,0.587,0.225,0.129,0.166,0.091,0.0395,0.05,0.0465,6
34,0.733,0.649,0.724,0.656,0.365,0.138,0.113,0.091,0.0225,0.035500000000000004,0.034,6
35,0.697,0.6,0.668,0.597,0.259,0.225,0.125,0.273,0.1295,0.10550000000000001,0.0315,6
36,0.757,0.678,0.731,0.69,0.405,0.106,0.056,0.114,0.043500000000000004,0.0155,0.0665,4
37,0.74,0.636,0.725,0.644,0.349,0.124,0.116,0.147,0.0365,0.0305,0.0755,4
38,0.753,0.645,0.759,0.655,0.388,0.04,0.061,0.049,0.0215,0.022,0.0295,4
39,0.753,0.637,0.778,0.644,0.391,0.102,0.108,0.062,0.013000000000000001,0.0285,0.021500000000000002,4
40,0.767,0.638,0.711,0.652,0.341,0.139,0.142,0.125,0.0345,0.0195,0.0275,5
