,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,AVG_SPD,AVG_AOD,AVG_EOD,Run
0,0.68,0.673,0.683,0.672,0.356,0.181,0.139,0.075,0.1195,0.085,0.0415,0
1,0.648,0.637,0.657,0.632,0.294,0.107,0.078,0.079,0.0595,0.034,0.02,0
2,0.653,0.644,0.658,0.641,0.303,0.136,0.11,0.035,0.0875,0.0625,0.0085,0
3,0.657,0.648,0.663,0.645,0.311,0.175,0.147,0.079,0.108,0.0835,0.04,0
4,0.662,0.654,0.667,0.651,0.32,0.19,0.153,0.065,0.118,0.091,0.035500000000000004,0
5,0.666,0.658,0.672,0.656,0.329,0.167,0.131,0.065,0.10650000000000001,0.0795,0.033,0
6,0.664,0.656,0.668,0.655,0.324,0.204,0.161,0.098,0.1105,0.0785,0.041999999999999996,0
7,0.662,0.653,0.667,0.651,0.32,0.148,0.101,0.048,0.105,0.078,0.024,0
8,0.643,0.632,0.654,0.626,0.285,0.091,0.052,0.012,0.0615,0.035,0.0045000000000000005,0
9,0.657,0.646,0.668,0.641,0.314,0.098,0.067,0.038,0.067,0.0355,0.014,0
10,0.662,0.651,0.674,0.646,0.324,0.11,0.079,0.047,0.0675,0.0365,0.0225,0
11,0.64,0.631,0.644,0.627,0.274,0.103,0.079,0.02,0.0685,0.041499999999999995,0.01,0
12,0.607,0.586,0.658,0.545,0.234,0.053,0.041,0.037,0.022,0.0165,0.016,0
13,0.689,0.683,0.692,0.682,0.375,0.202,0.145,0.113,0.1375,0.0935,0.0655,1
14,0.676,0.668,0.686,0.665,0.353,0.139,0.107,0.075,0.0865,0.0485,0.019,1
15,0.673,0.665,0.68,0.663,0.345,0.178,0.143,0.107,0.1075,0.0685,0.041,1
16,0.68,0.672,0.688,0.67,0.36,0.176,0.13,0.078,0.1115,0.0695,0.0445,1
17,0.686,0.678,0.697,0.675,0.374,0.148,0.111,0.065,0.098,0.057499999999999996,0.023,1
18,0.673,0.662,0.69,0.655,0.351,0.175,0.134,0.061,0.11750000000000001,0.083,0.036000000000000004,1
19,0.67,0.665,0.671,0.665,0.337,0.22,0.189,0.147,0.1355,0.10300000000000001,0.0665,1
20,0.666,0.659,0.669,0.658,0.329,0.162,0.126,0.101,0.10400000000000001,0.072,0.041,1
21,0.665,0.658,0.668,0.656,0.326,0.13,0.094,0.108,0.079,0.0465,0.036000000000000004,1
22,0.655,0.651,0.654,0.651,0.305,0.218,0.196,0.134,0.14350000000000002,0.112,0.0735,1
23,0.665,0.658,0.668,0.656,0.325,0.185,0.15,0.116,0.123,0.093,0.047,1
24,0.661,0.649,0.687,0.637,0.333,0.129,0.084,0.05,0.09,0.058499999999999996,0.018500000000000003,1
25,0.661,0.651,0.663,0.649,0.313,0.285,0.248,0.166,0.1885,0.16349999999999998,0.10300000000000001,3
26,0.661,0.647,0.668,0.643,0.314,0.25,0.215,0.148,0.1595,0.1275,0.093,3
27,0.655,0.647,0.653,0.647,0.3,0.264,0.234,0.137,0.16649999999999998,0.1405,0.08549999999999999,3
28,0.657,0.64,0.674,0.632,0.312,0.224,0.188,0.115,0.14350000000000002,0.11699999999999999,0.0685,3
29,0.645,0.634,0.646,0.632,0.279,0.212,0.18,0.159,0.154,0.1245,0.0975,3
30,0.663,0.656,0.661,0.656,0.317,0.34,0.303,0.232,0.20800000000000002,0.1755,0.14,3
31,0.659,0.645,0.666,0.641,0.311,0.191,0.153,0.119,0.136,0.10550000000000001,0.068,3
32,0.649,0.643,0.646,0.643,0.289,0.205,0.169,0.181,0.136,0.10450000000000001,0.08349999999999999,3
33,0.628,0.605,0.661,0.58,0.26,0.158,0.137,0.067,0.111,0.096,0.0375,3
34,0.63,0.604,0.682,0.571,0.275,0.15,0.126,0.06,0.0965,0.078,0.034,3
35,0.677,0.668,0.674,0.669,0.342,0.263,0.206,0.213,0.185,0.1525,0.1345,2
36,0.662,0.654,0.658,0.655,0.313,0.252,0.217,0.225,0.1765,0.1435,0.14100000000000001,2
37,0.664,0.65,0.664,0.649,0.313,0.251,0.217,0.161,0.16949999999999998,0.15000000000000002,0.095,2
38,0.661,0.652,0.657,0.652,0.308,0.226,0.189,0.172,0.16749999999999998,0.14,0.113,2
39,0.649,0.633,0.649,0.631,0.281,0.138,0.111,0.101,0.0905,0.063,0.0525,2
40,0.648,0.624,0.664,0.613,0.285,0.154,0.125,0.117,0.108,0.09,0.051500000000000004,2
41,0.649,0.63,0.654,0.626,0.283,0.168,0.14,0.1,0.113,0.092,0.0565,2
42,0.679,0.67,0.679,0.67,0.349,0.28,0.247,0.158,0.181,0.148,0.0895,6
43,0.681,0.67,0.683,0.67,0.353,0.223,0.175,0.1,0.14250000000000002,0.10450000000000001,0.0655,6
44,0.681,0.667,0.69,0.665,0.357,0.22,0.178,0.098,0.1405,0.10350000000000001,0.0605,6
45,0.68,0.669,0.682,0.668,0.351,0.222,0.183,0.088,0.1385,0.10200000000000001,0.0605,6
46,0.673,0.662,0.674,0.662,0.336,0.214,0.175,0.123,0.13899999999999998,0.1035,0.066,6
47,0.663,0.647,0.673,0.642,0.319,0.162,0.125,0.054,0.10400000000000001,0.0725,0.031,6
48,0.663,0.657,0.661,0.658,0.318,0.287,0.248,0.175,0.159,0.123,0.096,6
49,0.659,0.649,0.659,0.648,0.308,0.178,0.131,0.077,0.11499999999999999,0.082,0.0475,6
50,0.663,0.651,0.665,0.65,0.316,0.184,0.156,0.059,0.1125,0.0825,0.0315,6
51,0.68,0.664,0.675,0.665,0.338,0.25,0.214,0.114,0.156,0.1385,0.0635,7
52,0.665,0.654,0.658,0.655,0.312,0.21,0.185,0.118,0.14450000000000002,0.126,0.065,7
53,0.672,0.64,0.682,0.635,0.32,0.193,0.174,0.061,0.1195,0.10800000000000001,0.0305,7
54,0.686,0.663,0.687,0.664,0.35,0.171,0.147,0.074,0.1035,0.0855,0.0405,7
55,0.678,0.658,0.675,0.658,0.332,0.251,0.214,0.132,0.1595,0.14200000000000002,0.077,7
56,0.681,0.662,0.677,0.663,0.338,0.219,0.195,0.077,0.126,0.109,0.039,7
57,0.676,0.668,0.678,0.668,0.346,0.213,0.186,0.106,0.1395,0.113,0.06,5
58,0.68,0.671,0.681,0.671,0.352,0.183,0.149,0.088,0.115,0.085,0.0485,5
59,0.673,0.665,0.673,0.665,0.338,0.232,0.202,0.119,0.14850000000000002,0.1195,0.08049999999999999,5
60,0.663,0.65,0.674,0.645,0.323,0.137,0.126,0.088,0.083,0.0585,0.0435,5
61,0.656,0.64,0.674,0.631,0.313,0.095,0.07,0.042,0.063,0.038,0.018,5
62,0.669,0.658,0.673,0.657,0.331,0.175,0.148,0.109,0.1075,0.084,0.052500000000000005,5
63,0.66,0.649,0.664,0.647,0.313,0.143,0.121,0.091,0.0885,0.0625,0.045,5
64,0.666,0.652,0.676,0.648,0.327,0.155,0.124,0.066,0.101,0.0755,0.0325,5
65,0.659,0.643,0.675,0.634,0.316,0.1,0.089,0.063,0.0525,0.041,0.031,5
66,0.68,0.668,0.688,0.666,0.355,0.267,0.203,0.165,0.1475,0.1045,0.0875,4
67,0.667,0.66,0.666,0.661,0.326,0.26,0.195,0.165,0.174,0.138,0.10550000000000001,4
68,0.662,0.655,0.66,0.656,0.315,0.204,0.175,0.12,0.13999999999999999,0.1045,0.07450000000000001,4
69,0.613,0.586,0.667,0.545,0.24,0.095,0.076,0.025,0.0575,0.04,0.0115,4
70,0.689,0.682,0.692,0.682,0.374,0.331,0.29,0.242,0.224,0.189,0.14900000000000002,18
71,0.681,0.672,0.69,0.67,0.362,0.235,0.198,0.13,0.1535,0.119,0.076,18
72,0.681,0.673,0.687,0.671,0.359,0.275,0.241,0.169,0.17149999999999999,0.1375,0.1,18
73,0.651,0.638,0.668,0.629,0.305,0.172,0.134,0.132,0.1115,0.0795,0.0725,18
74,0.662,0.658,0.662,0.658,0.319,0.274,0.241,0.179,0.17149999999999999,0.14100000000000001,0.1015,18
75,0.652,0.642,0.659,0.638,0.3,0.17,0.131,0.125,0.1065,0.074,0.063,18
76,0.656,0.652,0.655,0.652,0.307,0.216,0.181,0.15,0.1395,0.10650000000000001,0.0925,18
77,0.662,0.66,0.661,0.66,0.321,0.229,0.189,0.169,0.14150000000000001,0.105,0.0925,18
78,0.637,0.631,0.637,0.63,0.267,0.189,0.163,0.126,0.10250000000000001,0.075,0.0655,18
79,0.63,0.63,0.629,0.63,0.259,0.206,0.175,0.148,0.1295,0.10250000000000001,0.0815,18
80,0.628,0.608,0.697,0.57,0.291,0.123,0.104,0.052,0.077,0.05450000000000001,0.035,18
81,0.628,0.611,0.661,0.589,0.268,0.195,0.17,0.127,0.1315,0.1115,0.07350000000000001,18
82,0.593,0.568,0.691,0.499,0.228,0.083,0.065,0.038,0.041,0.0265,0.024,18
83,0.663,0.656,0.662,0.656,0.318,0.27,0.231,0.178,0.187,0.16,0.1175,19
84,0.676,0.667,0.68,0.666,0.346,0.188,0.161,0.093,0.127,0.098,0.049,19
85,0.673,0.661,0.681,0.658,0.342,0.211,0.172,0.098,0.1335,0.10550000000000001,0.0595,19
86,0.663,0.659,0.661,0.659,0.319,0.233,0.192,0.135,0.1525,0.124,0.0875,19
87,0.67,0.661,0.673,0.66,0.333,0.184,0.158,0.084,0.1245,0.09849999999999999,0.046,19
88,0.668,0.653,0.687,0.645,0.338,0.161,0.136,0.073,0.091,0.063,0.029,19
89,0.669,0.656,0.68,0.652,0.335,0.172,0.146,0.088,0.11699999999999999,0.08700000000000001,0.056999999999999995,19
90,0.665,0.651,0.679,0.645,0.329,0.176,0.152,0.084,0.099,0.07150000000000001,0.0345,19
91,0.639,0.619,0.678,0.596,0.291,0.09,0.07,0.029,0.064,0.0415,0.0195,19
92,0.6,0.576,0.634,0.538,0.202,0.084,0.05,0.068,0.0525,0.036500000000000005,0.028499999999999998,19
93,0.65,0.633,0.653,0.63,0.286,0.119,0.096,0.046,0.07450000000000001,0.054,0.0245,17
94,0.686,0.672,0.689,0.672,0.361,0.167,0.114,0.062,0.1095,0.078,0.041999999999999996,17
95,0.681,0.672,0.679,0.673,0.351,0.222,0.173,0.106,0.136,0.105,0.0675,17
96,0.667,0.66,0.664,0.661,0.324,0.245,0.23,0.167,0.1525,0.127,0.08149999999999999,17
97,0.637,0.619,0.641,0.614,0.259,0.142,0.135,0.112,0.0685,0.07150000000000001,0.053,17
98,0.613,0.581,0.648,0.544,0.219,0.081,0.079,0.13,0.0275,0.03,0.042499999999999996,17
99,0.684,0.678,0.684,0.678,0.361,0.219,0.156,0.152,0.14450000000000002,0.1075,0.0935,16
100,0.678,0.669,0.68,0.668,0.348,0.198,0.163,0.118,0.11249999999999999,0.0755,0.068,16
101,0.67,0.657,0.678,0.654,0.334,0.189,0.154,0.126,0.10450000000000001,0.07,0.066,16
102,0.672,0.666,0.67,0.666,0.336,0.216,0.177,0.146,0.14650000000000002,0.1135,0.093,16
103,0.654,0.648,0.651,0.648,0.299,0.196,0.144,0.131,0.117,0.08800000000000001,0.0685,16
104,0.653,0.649,0.651,0.65,0.3,0.188,0.149,0.166,0.1135,0.078,0.092,16
105,0.643,0.637,0.64,0.638,0.277,0.149,0.108,0.114,0.10250000000000001,0.075,0.059,16
106,0.67,0.66,0.667,0.66,0.327,0.202,0.165,0.121,0.139,0.11049999999999999,0.074,14
107,0.686,0.675,0.684,0.676,0.359,0.218,0.17,0.147,0.1405,0.1105,0.067,14
108,0.681,0.664,0.689,0.662,0.352,0.201,0.166,0.086,0.11699999999999999,0.0865,0.055999999999999994,14
