accuracy,recall,precision,f1,mcc,spd,aod,eod
0.629,0.623,0.629,0.622,0.252,0.166,0.146,0.122
0.532,0.502,0.552,0.36,0.022,0.002,0.004,0.002
0.576,0.58,0.581,0.575,0.162,0.112,0.1,0.07
0.557,0.531,0.625,0.435,0.123,0.042,0.04,0.011
0.646,0.641,0.644,0.641,0.286,0.098,0.074,0.042
0.536,0.507,0.627,0.367,0.059,0.011,0.015,0.002
0.572,0.547,0.635,0.472,0.159,0.015,0.009,0.021
0.589,0.575,0.596,0.557,0.169,0.105,0.095,0.062
0.58,0.583,0.584,0.579,0.167,0.124,0.113,0.072
0.551,0.534,0.549,0.503,0.082,0.074,0.069,0.062
0.545,0.517,0.597,0.404,0.081,0.019,0.015,0.021
0.536,0.506,0.595,0.37,0.05,0.004,0.002,0.009
0.538,0.508,0.734,0.364,0.084,0.0,0.002,0.002
0.565,0.545,0.579,0.502,0.119,0.083,0.075,0.071
0.602,0.613,0.628,0.594,0.24,0.049,0.028,0.02
0.551,0.525,0.588,0.435,0.095,0.009,0.002,0.021
0.551,0.529,0.562,0.467,0.085,0.187,0.187,0.152
0.578,0.563,0.584,0.542,0.145,0.078,0.068,0.047
0.572,0.559,0.573,0.542,0.131,0.099,0.093,0.05
0.593,0.591,0.591,0.591,0.182,0.041,0.022,0.026
0.656,0.649,0.657,0.648,0.306,0.176,0.154,0.101
0.592,0.591,0.591,0.591,0.182,0.11,0.093,0.086
0.546,0.518,0.628,0.399,0.096,0.001,0.003,0.004
0.584,0.583,0.583,0.583,0.166,0.117,0.106,0.066
0.587,0.59,0.59,0.587,0.18,0.101,0.084,0.082
0.569,0.552,0.577,0.522,0.127,0.076,0.068,0.053
0.53,0.501,0.509,0.366,0.006,0.006,0.006,0.008
0.63,0.628,0.628,0.628,0.256,0.236,0.218,0.173
0.59,0.58,0.59,0.573,0.17,0.053,0.038,0.029
0.538,0.511,0.549,0.404,0.045,0.005,0.003,0.034
0.617,0.61,0.616,0.608,0.226,0.07,0.051,0.03
0.529,0.5,0.495,0.363,-0.003,0.007,0.007,0.007
0.553,0.537,0.551,0.511,0.088,0.076,0.071,0.059
0.595,0.59,0.593,0.589,0.183,0.346,0.343,0.252
0.556,0.54,0.555,0.513,0.094,0.074,0.068,0.056
0.524,0.504,0.507,0.456,0.011,0.014,0.017,0.003
0.545,0.517,0.605,0.403,0.085,0.005,0.002,0.001
0.536,0.507,0.577,0.375,0.046,0.012,0.012,0.004
0.606,0.592,0.62,0.574,0.209,0.127,0.113,0.082
0.574,0.576,0.576,0.574,0.153,0.065,0.056,0.009
0.577,0.566,0.576,0.555,0.142,0.107,0.099,0.07
0.548,0.519,0.674,0.395,0.115,0.027,0.026,0.012
0.572,0.551,0.597,0.501,0.14,0.042,0.035,0.013
0.534,0.505,0.586,0.364,0.04,0.007,0.008,0.007
0.585,0.585,0.584,0.584,0.169,0.108,0.099,0.039
0.559,0.561,0.561,0.559,0.122,0.051,0.04,0.034
0.589,0.586,0.587,0.586,0.172,0.092,0.077,0.066
0.614,0.61,0.612,0.609,0.222,0.177,0.165,0.096
0.595,0.594,0.594,0.594,0.187,0.158,0.142,0.128
0.568,0.561,0.564,0.559,0.125,0.111,0.102,0.083
0.573,0.581,0.585,0.57,0.166,0.187,0.177,0.141
0.58,0.577,0.578,0.577,0.155,0.073,0.062,0.03
0.61,0.607,0.609,0.607,0.216,0.11,0.094,0.06
0.534,0.507,0.557,0.379,0.039,0.01,0.009,0.004
0.665,0.658,0.669,0.657,0.327,0.151,0.126,0.085
0.613,0.605,0.613,0.602,0.218,0.05,0.037,0.023
0.661,0.657,0.661,0.657,0.318,0.109,0.081,0.057
0.66,0.657,0.658,0.657,0.316,0.13,0.102,0.085
0.558,0.554,0.555,0.554,0.11,0.035,0.023,0.035
0.61,0.608,0.608,0.608,0.216,0.112,0.096,0.063
0.669,0.665,0.669,0.665,0.334,0.157,0.133,0.069
0.643,0.635,0.647,0.632,0.282,0.118,0.095,0.072
0.614,0.613,0.613,0.613,0.225,0.112,0.093,0.075
0.537,0.513,0.542,0.422,0.047,0.01,0.012,0.014
0.646,0.636,0.655,0.63,0.291,0.125,0.103,0.067
0.634,0.631,0.633,0.631,0.264,0.131,0.109,0.086
0.637,0.634,0.636,0.634,0.27,0.107,0.086,0.051
0.665,0.659,0.665,0.659,0.325,0.133,0.109,0.053
0.621,0.618,0.619,0.618,0.237,0.033,0.012,0.003
0.64,0.637,0.638,0.637,0.275,0.152,0.131,0.091
0.591,0.6,0.609,0.585,0.209,0.174,0.156,0.154
0.65,0.651,0.651,0.65,0.302,0.131,0.107,0.067
0.536,0.509,0.578,0.381,0.052,0.014,0.016,0.01
0.627,0.624,0.625,0.624,0.249,0.126,0.11,0.051
0.608,0.602,0.607,0.6,0.209,0.068,0.051,0.027
0.628,0.624,0.626,0.624,0.25,0.087,0.068,0.028
0.554,0.528,0.647,0.421,0.128,0.021,0.018,0.0
0.645,0.642,0.643,0.643,0.285,0.121,0.095,0.084
0.654,0.649,0.654,0.649,0.304,0.174,0.154,0.085
0.62,0.619,0.618,0.618,0.237,0.075,0.059,0.0
0.649,0.645,0.648,0.645,0.294,0.122,0.101,0.046
0.615,0.611,0.614,0.611,0.225,0.09,0.072,0.047
0.621,0.618,0.62,0.618,0.238,0.107,0.086,0.071
0.628,0.625,0.627,0.625,0.252,0.07,0.051,0.01
0.569,0.551,0.585,0.512,0.132,0.098,0.094,0.048
0.624,0.623,0.623,0.623,0.246,0.079,0.063,0.001
0.615,0.612,0.613,0.612,0.224,0.106,0.086,0.077
0.649,0.645,0.648,0.645,0.293,0.15,0.129,0.079
0.641,0.635,0.642,0.633,0.277,0.111,0.094,0.021
0.607,0.588,0.665,0.544,0.241,0.032,0.013,0.027
0.621,0.617,0.619,0.617,0.236,0.089,0.071,0.031
0.642,0.633,0.651,0.627,0.283,0.012,0.039,0.032
0.601,0.599,0.599,0.599,0.198,0.083,0.062,0.077
0.6,0.596,0.598,0.596,0.194,0.085,0.069,0.047
0.634,0.627,0.635,0.625,0.262,0.089,0.071,0.017
0.614,0.611,0.612,0.611,0.223,0.066,0.048,0.017
0.657,0.646,0.674,0.638,0.319,0.154,0.134,0.072
0.597,0.592,0.595,0.591,0.187,0.031,0.015,0.0
0.605,0.605,0.604,0.604,0.209,0.097,0.081,0.049
0.648,0.641,0.649,0.64,0.291,0.132,0.113,0.054
0.666,0.663,0.664,0.663,0.327,0.082,0.057,0.008
0.59,0.58,0.591,0.572,0.171,0.118,0.108,0.064
0.603,0.603,0.603,0.603,0.207,0.13,0.117,0.07
0.607,0.59,0.637,0.561,0.222,0.098,0.088,0.026
0.619,0.617,0.617,0.617,0.234,0.092,0.073,0.041
0.632,0.621,0.642,0.612,0.262,0.12,0.105,0.039
0.634,0.633,0.633,0.633,0.265,0.089,0.07,0.017
0.677,0.673,0.676,0.674,0.35,0.127,0.1,0.046
0.594,0.59,0.591,0.59,0.181,0.16,0.147,0.116
0.616,0.612,0.614,0.611,0.226,0.071,0.053,0.022
0.662,0.653,0.673,0.648,0.325,0.147,0.128,0.046
0.606,0.601,0.604,0.601,0.205,0.058,0.041,0.019
0.616,0.61,0.616,0.608,0.226,0.085,0.068,0.029
0.628,0.622,0.627,0.622,0.249,0.111,0.088,0.084
0.626,0.621,0.625,0.62,0.246,0.069,0.053,0.008
0.63,0.618,0.642,0.608,0.259,0.141,0.131,0.036
0.603,0.6,0.601,0.6,0.201,0.111,0.094,0.081
0.612,0.609,0.61,0.609,0.219,0.091,0.074,0.044
0.578,0.569,0.577,0.561,0.145,0.188,0.205,0.192
0.626,0.621,0.624,0.621,0.246,0.103,0.082,0.061
0.634,0.629,0.634,0.628,0.263,0.107,0.086,0.055
0.612,0.608,0.61,0.608,0.218,0.065,0.046,0.032
0.635,0.632,0.633,0.632,0.265,0.129,0.106,0.089
0.594,0.589,0.592,0.588,0.181,0.31,0.301,0.247
0.601,0.597,0.599,0.596,0.195,0.092,0.074,0.076
0.635,0.631,0.634,0.63,0.264,0.093,0.07,0.053
0.625,0.624,0.624,0.624,0.248,0.106,0.087,0.048
0.632,0.629,0.63,0.629,0.259,0.112,0.09,0.07
0.573,0.564,0.571,0.557,0.135,0.085,0.072,0.084
0.594,0.592,0.592,0.592,0.184,0.081,0.068,0.032
0.625,0.626,0.626,0.625,0.251,0.078,0.064,0.024
0.591,0.589,0.589,0.589,0.179,0.028,0.018,0.04
0.626,0.618,0.629,0.614,0.247,0.041,0.024,0.029
0.603,0.601,0.602,0.601,0.203,0.059,0.045,0.002
0.599,0.586,0.606,0.573,0.191,0.128,0.145,0.15
0.629,0.621,0.631,0.618,0.252,0.183,0.174,0.065
0.575,0.56,0.585,0.533,0.142,0.201,0.216,0.2
0.653,0.651,0.652,0.651,0.303,0.143,0.123,0.046
0.619,0.612,0.62,0.609,0.232,0.054,0.038,0.012
0.608,0.603,0.606,0.603,0.209,0.017,0.029,0.104
0.567,0.551,0.573,0.522,0.122,0.032,0.026,0.005
0.614,0.603,0.623,0.592,0.225,0.141,0.129,0.064
0.61,0.609,0.609,0.609,0.218,0.154,0.139,0.098
0.617,0.622,0.624,0.616,0.246,0.11,0.089,0.075
0.61,0.605,0.609,0.604,0.214,0.022,0.005,0.021
0.632,0.624,0.635,0.621,0.259,0.102,0.079,0.067
0.587,0.593,0.597,0.584,0.191,0.151,0.135,0.129
0.575,0.557,0.597,0.516,0.148,0.211,0.225,0.217
0.643,0.638,0.642,0.638,0.28,0.104,0.081,0.058
0.629,0.622,0.629,0.621,0.252,0.066,0.046,0.019
0.618,0.616,0.616,0.616,0.232,0.148,0.134,0.074
0.585,0.587,0.587,0.585,0.174,0.111,0.095,0.093
0.647,0.646,0.646,0.646,0.292,0.137,0.116,0.058
0.668,0.666,0.667,0.667,0.333,0.112,0.083,0.053
0.625,0.623,0.623,0.623,0.246,0.141,0.121,0.095
0.63,0.625,0.63,0.623,0.255,0.012,0.013,0.014
0.637,0.63,0.639,0.627,0.269,0.132,0.111,0.075
0.664,0.659,0.665,0.658,0.323,0.149,0.126,0.068
0.606,0.604,0.604,0.604,0.208,0.123,0.108,0.068
0.587,0.568,0.626,0.522,0.185,0.043,0.037,0.016
0.563,0.542,0.591,0.483,0.124,0.042,0.052,0.036
0.592,0.597,0.598,0.591,0.195,0.101,0.084,0.072
0.606,0.601,0.604,0.601,0.205,0.128,0.117,0.047
0.637,0.633,0.636,0.633,0.27,0.144,0.124,0.079
0.56,0.536,0.62,0.449,0.131,0.039,0.035,0.012
0.629,0.625,0.628,0.625,0.253,0.12,0.102,0.056
0.59,0.571,0.638,0.522,0.197,0.053,0.044,0.001
0.613,0.609,0.611,0.609,0.22,0.094,0.073,0.078
0.643,0.64,0.642,0.64,0.281,0.131,0.11,0.064
0.641,0.637,0.64,0.636,0.276,0.112,0.09,0.055
0.615,0.607,0.617,0.602,0.224,0.006,0.026,0.04
0.562,0.538,0.628,0.453,0.14,0.016,0.008,0.013
0.645,0.643,0.644,0.643,0.286,0.158,0.134,0.116
0.601,0.594,0.6,0.592,0.195,0.08,0.067,0.028
0.629,0.626,0.628,0.626,0.254,0.144,0.123,0.098
0.567,0.552,0.571,0.528,0.122,0.075,0.069,0.033
0.613,0.614,0.613,0.613,0.227,0.277,0.261,0.225
0.63,0.626,0.629,0.626,0.255,0.131,0.113,0.068
0.634,0.624,0.641,0.617,0.265,0.002,0.024,0.014
0.637,0.634,0.635,0.634,0.27,0.151,0.13,0.09
0.601,0.601,0.6,0.6,0.201,0.103,0.087,0.062
0.632,0.627,0.632,0.626,0.258,0.09,0.068,0.053
0.595,0.58,0.613,0.555,0.19,0.17,0.157,0.147
0.588,0.577,0.589,0.568,0.166,0.114,0.108,0.037
0.603,0.603,0.602,0.602,0.205,0.117,0.099,0.095
0.578,0.562,0.589,0.535,0.149,0.091,0.085,0.035
0.668,0.666,0.667,0.666,0.333,0.127,0.097,0.08
0.629,0.626,0.628,0.626,0.254,0.158,0.134,0.138
0.642,0.633,0.651,0.627,0.283,0.116,0.095,0.056
0.642,0.641,0.641,0.641,0.282,0.157,0.139,0.072
0.579,0.557,0.638,0.493,0.178,0.064,0.056,0.034
0.574,0.553,0.62,0.491,0.159,0.115,0.114,0.046
0.566,0.542,0.637,0.459,0.152,0.044,0.038,0.02
0.536,0.509,0.593,0.379,0.058,0.0,0.002,0.003
0.599,0.582,0.629,0.55,0.205,0.077,0.065,0.037
0.655,0.644,0.668,0.637,0.312,0.124,0.102,0.055
0.663,0.658,0.663,0.657,0.321,0.094,0.067,0.04
0.652,0.643,0.659,0.639,0.302,0.109,0.088,0.041
0.593,0.591,0.591,0.591,0.183,0.148,0.135,0.105
0.615,0.607,0.617,0.602,0.224,0.464,0.457,0.371
0.592,0.572,0.648,0.519,0.206,0.061,0.051,0.019
0.642,0.635,0.645,0.632,0.28,0.049,0.027,0.013
0.575,0.56,0.581,0.537,0.14,0.102,0.095,0.06
0.6,0.591,0.601,0.585,0.192,0.065,0.058,0.027
0.608,0.609,0.609,0.608,0.218,0.277,0.256,0.269
0.574,0.56,0.577,0.541,0.137,0.105,0.102,0.04
0.59,0.577,0.599,0.559,0.175,0.113,0.105,0.058
0.626,0.619,0.621,0.619,0.239,0.182,0.166,0.126
0.613,0.606,0.608,0.607,0.214,0.045,0.027,0.01
0.651,0.641,0.647,0.642,0.288,0.151,0.125,0.12
0.609,0.602,0.603,0.602,0.205,0.134,0.12,0.087
0.659,0.653,0.654,0.653,0.307,0.182,0.152,0.153
0.571,0.531,0.582,0.463,0.101,0.033,0.043,0.024
0.588,0.559,0.588,0.533,0.144,0.03,0.022,0.0
