gen,nevals,avg,std,min,max
0,50,[0.67266 0.13192],[0.01290056 0.03331597],[0.636 0.045],[0.696 0.211]
1,5,[0.6752 0.1278],[0.0059127 0.0250072],[0.666 0.099],[0.683 0.171]
2,4,[0.6722 0.1412],[0.00982649 0.00934666],[0.655 0.128],[0.682 0.154]
3,4,[0.6718 0.14  ],[0.01279687 0.03297878],[0.653 0.094],[0.688 0.181]
4,4,[0.676  0.1364],[0.01106345 0.02781798],[0.655 0.094],[0.685 0.181]
5,4,[0.6678 0.15  ],[0.010008   0.03861606],[0.653 0.094],[0.679 0.206]
6,5,[0.6608 0.1326],[0.00863481 0.03327221],[0.647 0.087],[0.674 0.182]
7,4,[0.6672 0.127 ],[0.01151347 0.02236068],[0.646 0.087],[0.677 0.156]
8,5,[0.6646 0.1504],[0.01240323 0.03293387],[0.649 0.093],[0.682 0.191]
9,5,[0.6758 0.1342],[0.00945304 0.05090933],[0.657 0.039],[0.682 0.181]
10,4,[0.6734 0.1306],[0.0088227  0.04927718],[0.657 0.039],[0.682 0.183]
11,2,[0.6726 0.121 ],[0.0108922  0.04645428],[0.657 0.039],[0.683 0.183]
12,4,[0.6824 0.1578],[0.00224499 0.02992257],[0.679 0.12 ],[0.686 0.195]
13,4,[0.6728 0.1176],[0.00837616 0.02466252],[0.659 0.073],[0.682 0.148]
14,2,[0.6724 0.131 ],[0.01684755 0.02674322],[0.64  0.098],[0.686 0.18 ]
15,5,[0.6788 0.1396],[0.00426146 0.02187784],[0.674 0.112],[0.686 0.168]
16,4,[0.683  0.1486],[0.00296648 0.01336563],[0.679 0.123],[0.686 0.161]
17,4,[0.6844 0.1478],[0.00682935 0.01741723],[0.677 0.123],[0.696 0.177]
18,4,[0.6752 0.1352],[0.00915205 0.02633932],[0.657 0.103],[0.681 0.178]
19,4,[0.681  0.1336],[0.00481664 0.01710672],[0.674 0.103],[0.688 0.155]
20,4,[0.6822 0.1452],[0.00354401 0.02109407],[0.677 0.123],[0.688 0.185]
21,5,[0.6752 0.1508],[0.00570614 0.01452446],[0.668 0.13 ],[0.684 0.17 ]
22,5,[0.6812 0.1608],[0.00908625 0.03072068],[0.669 0.128],[0.695 0.208]
23,5,[0.6782 0.1402],[0.0069685  0.02417768],[0.669 0.1  ],[0.69  0.167]
24,2,[0.6794 0.152 ],[0.00382623 0.01425482],[0.674 0.127],[0.686 0.167]
25,3,[0.678  0.1454],[0.00357771 0.01986555],[0.672 0.118],[0.683 0.171]
