gen,nevals,avg,std,min,max
0,50,[0.61522 0.13008],[0.02710372 0.13510275],[0.563 0.018],[0.67  0.776]
1,5,[0.6162 0.072 ],[0.03513631 0.04804581],[0.555 0.006],[0.659 0.122]
2,5,[0.6248 0.112 ],[0.01282809 0.0480999 ],[0.602 0.023],[0.637 0.161]
3,4,[0.6256 0.057 ],[0.01958162 0.0363263 ],[0.588 0.008],[0.645 0.1  ]
4,5,[0.6336 0.1128],[0.01410815 0.03495368],[0.607 0.055],[0.649 0.159]
5,5,[0.625  0.0892],[0.03376981 0.04554295],[0.559 0.002],[0.65  0.123]
6,3,[0.6286 0.1124],[0.01752256 0.02053874],[0.603 0.073],[0.65  0.132]
7,4,[0.6318 0.1192],[0.01357056 0.03020199],[0.607 0.076],[0.648 0.157]
8,4,[0.6384 0.1184],[0.00873155 0.02112439],[0.626 0.083],[0.651 0.144]
9,4,[0.6398 0.1208],[0.01133843 0.02103711],[0.623 0.083],[0.653 0.142]
10,4,[0.6388 0.2192],[0.01554863 0.19771839],[0.621 0.102],[0.662 0.614]
11,5,[0.631  0.1208],[0.01458767 0.02647565],[0.61  0.081],[0.652 0.151]
12,4,[0.6368 0.1194],[0.01666613 0.04063791],[0.61  0.042],[0.654 0.158]
13,4,[0.6252 0.093 ],[0.01112475 0.02651038],[0.612 0.064],[0.642 0.13 ]
14,4,[0.624 0.1  ],[0.01700588 0.03268639],[0.594 0.042],[0.641 0.131]
15,5,[0.6386 0.0934],[0.02156479 0.02731007],[0.61  0.058],[0.667 0.129]
16,5,[0.6338 0.0926],[0.03456819 0.02538976],[0.587 0.07 ],[0.686 0.139]
17,4,[0.631  0.0828],[0.02219009 0.04653773],[0.607 0.003],[0.658 0.143]
18,5,[0.6302 0.0954],[0.02867333 0.05244273],[0.593 0.02 ],[0.662 0.158]
19,4,[0.6156 0.0824],[0.0152     0.03697891],[0.601 0.02 ],[0.645 0.129]
20,3,[0.6162 0.0816],[0.00921737 0.02383779],[0.609 0.047],[0.634 0.107]
21,5,[0.6284 0.0904],[0.01493452 0.05259506],[0.603 0.009],[0.643 0.156]
22,5,[0.6154 0.0736],[0.01405133 0.03855697],[0.604 0.012],[0.643 0.112]
23,3,[0.623  0.0818],[0.01247397 0.04364126],[0.61  0.012],[0.643 0.131]
24,4,[0.6182 0.0946],[0.01183892 0.02539764],[0.6  0.06],[0.632 0.131]
25,3,[0.622  0.0968],[0.01188276 0.03230108],[0.6  0.06],[0.632 0.151]
