accuracy,recall,precision,f1,mcc,spd,aod,eod
0.853,0.669,0.664,0.666,0.333,0.177,0.117,0.109
0.865,0.643,0.677,0.657,0.318,0.152,0.091,0.062
0.859,0.678,0.676,0.677,0.354,0.192,0.12,0.094
0.865,0.643,0.677,0.657,0.318,0.157,0.104,0.093
0.858,0.661,0.67,0.665,0.331,0.184,0.135,0.146
0.857,0.68,0.674,0.677,0.354,0.207,0.139,0.124
0.867,0.654,0.684,0.667,0.336,0.193,0.147,0.158
0.86,0.683,0.68,0.681,0.363,0.204,0.141,0.137
0.874,0.636,0.7,0.658,0.329,0.2,0.16,0.171
0.851,0.672,0.663,0.667,0.335,0.176,0.102,0.069
0.871,0.639,0.689,0.658,0.325,0.161,0.118,0.127
0.866,0.682,0.689,0.685,0.371,0.198,0.119,0.08
0.856,0.662,0.666,0.664,0.329,0.184,0.118,0.095
0.859,0.686,0.679,0.682,0.365,0.174,0.094,0.058
0.862,0.68,0.682,0.681,0.362,0.196,0.127,0.109
0.866,0.697,0.694,0.695,0.39,0.182,0.109,0.094
0.864,0.696,0.689,0.692,0.385,0.207,0.13,0.107
0.86,0.7,0.684,0.691,0.384,0.186,0.107,0.082
0.878,0.719,0.719,0.719,0.438,0.213,0.137,0.135
0.871,0.714,0.706,0.71,0.42,0.213,0.13,0.109
0.852,0.668,0.663,0.665,0.33,0.158,0.093,0.075
0.863,0.687,0.685,0.686,0.373,0.145,0.053,0.007
0.888,0.66,0.745,0.69,0.397,0.202,0.172,0.224
0.879,0.728,0.723,0.725,0.45,0.173,0.079,0.045
0.86,0.674,0.677,0.675,0.351,0.207,0.15,0.154
0.874,0.729,0.713,0.72,0.442,0.204,0.126,0.124
0.851,0.659,0.659,0.659,0.318,0.23,0.178,0.18
0.875,0.704,0.711,0.707,0.415,0.188,0.094,0.043
0.885,0.705,0.734,0.718,0.439,0.201,0.116,0.084
0.87,0.717,0.704,0.71,0.421,0.194,0.104,0.067
0.861,0.681,0.681,0.681,0.362,0.218,0.165,0.181
0.876,0.712,0.715,0.714,0.427,0.193,0.124,0.13
0.869,0.712,0.701,0.706,0.412,0.208,0.138,0.141
0.857,0.661,0.668,0.664,0.329,0.165,0.095,0.063
0.875,0.708,0.712,0.71,0.42,0.18,0.101,0.086
0.852,0.666,0.661,0.664,0.328,0.238,0.2,0.237
0.891,0.664,0.759,0.696,0.413,0.205,0.172,0.219
